PEP_ID;National_ID;LON;LAT;ALT;NAME
7216;94608;-6.35;37.4;340;CAMPILLOELZUMAJO
7217;98006;-0.583333;38.4333;600;CAUDETEELDERRAMADOR
7218;95637;-4.58333;37.2167;209;ELRUBIO
7219;94426;-6.23333;38.2333;519;LAPUEBLADESANCHOPEREZ
7220;91426;-8.25;43.2;306;MONTAOS-ORDENES
7221;91726;-8.36667;42.3;45;PARAMOSGUILLAREY
7222;92382;-4.28333;42.1667;785;REVENGADECAMPOS
7223;92903;-6.1;40.3667;998;RINCONADADELASIERRA
7224;99726;1.146;41.508;660;ROCALLAURA
7225;95246;-3.31667;38.2;743;SANTAELENA
7226;95316;-4.4;37.2667;730;SOLANADELPINO
7227;93117;-3.31667;40.4333;654;TALAMANCADELJARAMA
7228;91271;-6.28333;43.2167;600;TINEO-VALLEDELTABLADO
7229;92278;-4.36667;42.4833;1180;VILLANUEVADELAPENA
7230;90213;2.355;41.638;195;CARDEDEU
20386;0;3.14494;42.3091;73;Palau-saverdera
20387;0;1.60923;41.575;316;Santa Margarida de Montbui
20388;0;1.53435;41.4735;600;La Llacuna - 1
20389;0;1.42535;41.7184;746;Pujalt - Observatori
20390;0;1.512;41.7368;713;Calaf
20392;0;1.84471;41.3519;332;Olesa de Bonesvalls
20393;0;1.70141;41.3465;223;Vilafranca del Penedès
20394;0;0.81718;42.3701;1250;Viu de Llevata
20395;0;2.09657;41.8144;740;Moià
20397;0;0.49354;40.8195;47;Roquetes - Observatori de l Ebre
20398;0;0.96555;41.0836;87;Mont-roig del Camp
20399;0;1.013;41.1268;132;Montbrió del Camp
20400;0;3.04342;41.9689;50;La Bisbal de Empordà
20401;0;3.04744;42.0662;14;Verges
20402;0;3.13077;42.0426;23;Torroella de Montgrí
20404;0;1.86369;42.2547;801;Bagà
20406;0;1.89791;41.5526;164;Olesa de Montserrat
20407;0;2.04738;41.3831;25;Sant Feliu de Llobregat
20408;0;2.12488;41.418;410;Barcelona - Observatori Fabra
20409;0;2.24538;41.4623;58;Badalona
20411;0;1.60442;41.2682;166;L Arboç
20412;0;0.82721;41.5478;262;Juneda
20414;0;2.81744;41.9757;70;Girona - 1
20416;0;2.82608;42.0173;70;Sarrià de Ter
20419;0;2.53512;42.1493;610;Santa Pau
20420;0;2.41269;42.2336;436;La Vall de Bianya
20423;0;2.44894;41.5543;106;Mataró
20424;0;2.39024;41.5039;22;Vilassar de Mar
20425;0;0.49748;40.5326;234;Alcanar
20426;0;2.0969;41.9869;572;Olost
20427;0;0.99138;42.2262;648;Sant Martí de Canals
20428;0;0.85732;41.1894;316;Porrera
20429;0;1.06555;42.3247;591;Baix Pallars
20430;0;0.66664;41.2876;343;La Palma de Ebre
20432;0;0.48486;41.2505;110;Riba-Roja de Ebre
20434;0;2.10392;42.318;1151;Planoles
20435;0;0.47654;41.7133;305;Almacelles
20436;0;1.521;41.9969;664;Solsona
20437;0;2.66386;41.8622;134;Santa Coloma de Farners
20438;0;2.6658;41.8649;376;Breda
20440;0;1.14726;41.5084;637;Rocallaura - Vallbona de les Monges
20441;0;0.79622;42.7035;974;Vielha-Mijaran
20442;0;2.1259;41.7499;706;Castellterçol
20443;0;2.23536;41.5195;112;Sant Fost de Campsentelles
20444;0;2.47388;41.7267;339;Campins
20445;0;2.30228;41.5331;153;Vallromanes
20446;0;2.16516;41.6897;480;Sant Feliu de Codines
20648;0;-4.01056;40.7931;1894;Navacerrada
20649;0;-3.92028;38.9892;628;Ciudad Real
20650;0;-2.04111;43.3064;251;San Sebastián. Igueldo
20651;0;-1.41;41.1144;779;Daroca
20652;0;-3.15;40.6303;721;Guadalajara
