Effect,biglm_winterc,biglm_nointerc,biglm_nornd,brm_rndslopes (subset),brm_cent (subset),brm_spinter (subset)
Intercept,2.304,-0.25,1.12,0.15,0.33,0.29
nao,-0.22,-0.22,-0.15,-0.16,-0.04,-0.15
mat,-0.034,-0.03,-0.03,-0.02,-0.08,-0.05
elev,0.111,0.11,0.08,0.073,0.17,0.12
space,0.89,0.89,0.69,0.51,0.18,0.95
cc,0.26,0.26,0.18,0.1,0.05,0.18
nao:cc,0.093,0.093,0.1,0.046,0.02,0.08
mat:cc,0.0087,0.0087,-0.01,-0.0016,-0.01,0
elev:cc,0.016,0.016,-0.02,-0.0052,-0.02,0
space:cc,0.019,0.019,0,0.13,0,-0.25
sigma,0.945,0.945,0.96,0.94,0.96,0.98
