Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Individual_ID,Phenophase_ID,Phenophase_Description,First_Yes_Year,First_Yes_Month,First_Yes_Day,First_Yes_DOY,First_Yes_Julian_Date,NumDays_Since_Prior_No,Last_Yes_Year,Last_Yes_Month,Last_Yes_Day,Last_Yes_DOY,Last_Yes_Julian_Date,NumDays_Until_Next_No
2,43.08535,-70.69133,12,ME,99,Betula,papyrifera,paper birch,Plantae,2111,180,>=75% of full leaf size (deciduous),2010,5,2,122,2455319,2,2010,5,10,130,2455327,8
2,43.08535,-70.69133,12,ME,99,Betula,papyrifera,paper birch,Plantae,2111,180,>=75% of full leaf size (deciduous),2010,6,30,181,2455378,23,2010,11,7,311,2455508,6
2,43.08535,-70.69133,12,ME,99,Betula,papyrifera,paper birch,Plantae,2111,181,>=50% of leaves colored (deciduous),2010,9,25,268,2455465,23,2010,11,7,311,2455508,6
2,43.08535,-70.69133,12,ME,99,Betula,papyrifera,paper birch,Plantae,2111,182,All leaves colored (deciduous),2010,10,20,293,2455490,6,2010,11,7,311,2455508,6
2,43.08535,-70.69133,12,ME,99,Betula,papyrifera,paper birch,Plantae,2111,183,>=50% of leaves fallen (deciduous),2010,10,3,276,2455473,8,2010,11,7,311,2455508,6
2,43.08535,-70.69133,12,ME,99,Betula,papyrifera,paper birch,Plantae,2111,184,All leaves fallen (deciduous),2010,10,28,301,2455498,8,2010,11,7,311,2455508,6
2,43.08535,-70.69133,12,ME,99,Betula,papyrifera,paper birch,Plantae,2111,371,Breaking leaf buds,2010,4,6,96,2455293,4,2010,4,30,120,2455317,5
2,43.08535,-70.69133,12,ME,99,Betula,papyrifera,paper birch,Plantae,2111,371,Breaking leaf buds,2010,5,18,138,2455335,8,2010,6,7,158,2455355,32
2,43.08535,-70.69133,12,ME,99,Betula,papyrifera,paper birch,Plantae,2111,483,Leaves,2010,4,13,103,2455300,7,2010,10,20,293,2455490,8
2,43.08535,-70.69133,12,ME,102,Quercus,rubra,northern red oak,Plantae,2104,180,>=75% of full leaf size (deciduous),2010,5,5,125,2455322,3,2010,11,13,317,2455514,15
2,43.08535,-70.69133,12,ME,102,Quercus,rubra,northern red oak,Plantae,2104,181,>=50% of leaves colored (deciduous),2010,10,28,301,2455498,8,2010,11,13,317,2455514,15
2,43.08535,-70.69133,12,ME,102,Quercus,rubra,northern red oak,Plantae,2104,182,All leaves colored (deciduous),2010,11,2,306,2455503,5,2010,11,13,317,2455514,15
2,43.08535,-70.69133,12,ME,102,Quercus,rubra,northern red oak,Plantae,2104,183,>=50% of leaves fallen (deciduous),2010,11,5,309,2455506,3,2010,11,13,317,2455514,15
2,43.08535,-70.69133,12,ME,102,Quercus,rubra,northern red oak,Plantae,2104,184,All leaves fallen (deciduous),2010,11,13,317,2455514,6,2010,11,13,317,2455514,15
2,43.08535,-70.69133,12,ME,102,Quercus,rubra,northern red oak,Plantae,2104,371,Breaking leaf buds,2010,4,13,103,2455300,7,2010,4,20,110,2455307,2
2,43.08535,-70.69133,12,ME,102,Quercus,rubra,northern red oak,Plantae,2104,483,Leaves,2010,4,13,103,2455300,7,2010,11,7,311,2455508,6
38,45.407852,-93.200974,281,MN,99,Betula,papyrifera,paper birch,Plantae,5108,180,>=75% of full leaf size (deciduous),2010,5,14,134,2455331,14,2010,8,18,230,2455427,7
38,45.407852,-93.200974,281,MN,99,Betula,papyrifera,paper birch,Plantae,5108,181,>=50% of leaves colored (deciduous),2010,8,25,237,2455434,7,2010,10,4,277,2455474,3
38,45.407852,-93.200974,281,MN,99,Betula,papyrifera,paper birch,Plantae,5108,182,All leaves colored (deciduous),2010,9,1,244,2455441,7,2010,10,4,277,2455474,3
38,45.407852,-93.200974,281,MN,99,Betula,papyrifera,paper birch,Plantae,5108,183,>=50% of leaves fallen (deciduous),2010,8,12,224,2455421,14,2010,10,7,280,2455477,-9999
38,45.407852,-93.200974,281,MN,99,Betula,papyrifera,paper birch,Plantae,5108,184,All leaves fallen (deciduous),2010,10,7,280,2455477,3,2010,10,7,280,2455477,-9999
