Inference for Stan model: lm.
4 chains, each with iter=2000; warmup=1000; thin=1; 
post-warmup draws per chain=1000, total post-warmup draws=4000.

                          mean se_mean   sd      2.5%       25%       50%       75%     97.5% n_eff Rhat
(Intercept)              -0.07    0.00 0.00     -0.08     -0.07     -0.07     -0.07     -0.06  2852 1.00
nao.z                     0.01    0.00 0.00      0.01      0.01      0.01      0.01      0.02  4000 1.00
mat.z                    -0.07    0.00 0.00     -0.07     -0.07     -0.07     -0.07     -0.06  4000 1.00
elev.z                   -0.01    0.00 0.00     -0.02     -0.01     -0.01     -0.01     -0.01  4000 1.00
dist.z                    0.03    0.00 0.00      0.02      0.03      0.03      0.03      0.03  4000 1.00
cc.z                      0.01    0.00 0.00      0.01      0.01      0.01      0.01      0.02  4000 1.00
speciesAESHIP             0.06    0.00 0.00      0.05      0.06      0.06      0.06      0.06  3372 1.00
speciesALNGLU             0.00    0.00 0.00     -0.01      0.00      0.00      0.00      0.00  4000 1.00
speciesBETPEN             0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.04  3387 1.00
speciesFRAEXC            -0.01    0.00 0.00     -0.01     -0.01     -0.01     -0.01      0.00  3337 1.00
speciesQUEROB             0.00    0.00 0.00      0.00      0.00      0.00      0.00      0.00  3050 1.00
nao.z:speciesAESHIP       0.03    0.00 0.00      0.03      0.03      0.03      0.03      0.03  4000 1.00
nao.z:speciesALNGLU      -0.01    0.00 0.00     -0.01     -0.01     -0.01     -0.01      0.00  4000 1.00
nao.z:speciesBETPEN       0.03    0.00 0.00      0.03      0.03      0.03      0.04      0.04  4000 1.00
nao.z:speciesFRAEXC      -0.01    0.00 0.00     -0.01     -0.01     -0.01     -0.01     -0.01  4000 1.00
nao.z:speciesQUEROB       0.00    0.00 0.00     -0.01      0.00      0.00      0.00      0.00  4000 1.00
mat.z:speciesAESHIP      -0.10    0.00 0.00     -0.11     -0.11     -0.10     -0.10     -0.10  4000 1.00
mat.z:speciesALNGLU       0.05    0.00 0.00      0.04      0.05      0.05      0.05      0.06  4000 1.00
mat.z:speciesBETPEN      -0.13    0.00 0.00     -0.13     -0.13     -0.13     -0.12     -0.12  4000 1.00
mat.z:speciesFRAEXC       0.06    0.00 0.00      0.05      0.06      0.06      0.06      0.06  4000 1.00
mat.z:speciesQUEROB       0.01    0.00 0.00      0.00      0.01      0.01      0.01      0.01  4000 1.00
elev.z:speciesAESHIP      0.09    0.00 0.00      0.09      0.09      0.09      0.09      0.10  4000 1.00
elev.z:speciesALNGLU      0.00    0.00 0.00      0.00      0.00      0.00      0.01      0.01  4000 1.00
elev.z:speciesBETPEN      0.08    0.00 0.00      0.07      0.08      0.08      0.08      0.08  4000 1.00
elev.z:speciesFRAEXC      0.00    0.00 0.00     -0.01      0.00      0.00      0.00      0.01  4000 1.00
elev.z:speciesQUEROB      0.00    0.00 0.00      0.00      0.00      0.00      0.00      0.01  4000 1.00
dist.z:speciesAESHIP      0.01    0.00 0.00      0.00      0.00      0.01      0.01      0.01  4000 1.00
dist.z:speciesALNGLU     -0.01    0.00 0.00     -0.02     -0.01     -0.01     -0.01      0.00  4000 1.00
dist.z:speciesBETPEN     -0.03    0.00 0.00     -0.04     -0.04     -0.03     -0.03     -0.03  4000 1.00
dist.z:speciesFRAEXC     -0.01    0.00 0.00     -0.02     -0.01     -0.01     -0.01      0.00  4000 1.00
dist.z:speciesQUEROB     -0.01    0.00 0.00     -0.02     -0.01     -0.01     -0.01      0.00  4000 1.00
cc.z:speciesAESHIP       -0.05    0.00 0.00     -0.05     -0.05     -0.05     -0.04     -0.04  4000 1.00
cc.z:speciesALNGLU       -0.01    0.00 0.00     -0.02     -0.02     -0.01     -0.01     -0.01  4000 1.00
cc.z:speciesBETPEN       -0.03    0.00 0.00     -0.03     -0.03     -0.03     -0.02     -0.02  4000 1.00
cc.z:speciesFRAEXC       -0.01    0.00 0.00     -0.02     -0.02     -0.01     -0.01     -0.01  4000 1.00
cc.z:speciesQUEROB        0.00    0.00 0.00     -0.01     -0.01      0.00      0.00      0.00  4000 1.00
nao.z:cc.z               -0.03    0.00 0.00     -0.03     -0.03     -0.03     -0.03     -0.03  4000 1.00
mat.z:cc.z                0.07    0.00 0.00      0.06      0.07      0.07      0.07      0.07  4000 1.00
elev.z:cc.z              -0.02    0.00 0.00     -0.02     -0.02     -0.02     -0.02     -0.01  4000 1.00
dist.z:cc.z              -0.05    0.00 0.00     -0.05     -0.05     -0.05     -0.04     -0.04  4000 1.00
sigma                     0.26    0.00 0.00      0.25      0.25      0.26      0.26      0.26  4000 1.00
log-fit_ratio             0.00    0.00 0.00      0.00      0.00      0.00      0.00      0.00  4000 1.00
R2                        0.10    0.00 0.00      0.10      0.10      0.10      0.10      0.10  4000 1.00
mean_PPD                  0.03    0.00 0.00      0.03      0.03      0.03      0.03      0.03  3740 1.00
log-posterior        -40003.55    0.38 6.28 -40016.99 -40007.52 -40003.25 -39999.24 -39992.38   276 1.01

Samples were drawn using NUTS(diag_e) at Thu Sep 27 15:05:17 2018.
For each parameter, n_eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor on split chains (at 
convergence, Rhat=1).
