"PEP_ID","year","lat","long","growth","frz","fs","total","events","freq","Col"
6479,1950,47.32,12.78,1,0,0,1,0,0,"#FF0000"
6533,2016,48.33,13.37,30,0,0,1,0,0,"#FF0000"
6539,1980,47.25,15.4,1,0,0,1,0,0,"#FF0000"
6550,1983,46.98,16.27,1,0,0,1,0,0,"#FF0000"
6589,2012,47.4,16.25,6,0,0,1,0,0,"#FF0000"
6615,1972,48.6,14.75,1,0,0,1,0,0,"#FF0000"
6624,1950,47.57,14.45,1,0,0,1,0,0,"#FF0000"
6628,2016,48.35,14.88,16,0,0,1,0,0,"#FF0000"
6638,1952,47.8,14.92,1,0,0,1,0,0,"#FF0000"
6642,1969,48.2,13.82,1,0,0,1,0,0,"#FF0000"
6646,2016,47.13,13.87,10,7,1,1,1,1,"#FF0000"
6656,1964,46.9,10.5,1,0,0,3,0,0,"#FF0000"
6656,1966,46.9,10.5,1,0,0,3,0,0,"#FF0000"
6656,1967,46.9,10.5,1,0,0,3,0,0,"#FF0000"
6660,1981,47.3,14.37,1,0,0,1,0,0,"#FF0000"
6675,1953,47.83,16.92,1,0,0,1,0,0,"#FF0000"
6687,2010,47,12.63,1,0,0,1,0,0,"#FF0000"
6705,2016,47.57,12.68,16,0,0,1,0,0,"#FF0000"
6708,2016,48.07,14.45,30,0,0,1,0,0,"#FF0000"
6714,2015,46.5,7.57,1,0,0,1,0,0,"#FF0000"
6727,1996,46.33,9.55,1,0,0,4,0,0,"#FF0000"
6727,1998,46.33,9.55,1,0,0,4,0,0,"#FF0000"
6727,2001,46.33,9.55,1,0,0,4,0,0,"#FF0000"
6727,2004,46.33,9.55,1,0,0,4,0,0,"#FF0000"
6732,2005,46.4,6.23,1,0,0,1,0,0,"#FF0000"
6737,2005,46.92,6.63,1,0,0,1,0,0,"#FF0000"
6745,2014,46.9,7.93,1,0,0,1,0,0,"#FF0000"
6751,1999,46.73,8.35,1,0,0,1,0,0,"#FF0000"
6756,2014,47.45,9.43,1,0,0,1,0,0,"#FF0000"
6762,1999,46.5,7.67,1,0,0,3,0,0,"#FF0000"
6762,2010,46.5,7.67,1,0,0,3,0,0,"#FF0000"
6762,2012,46.5,7.67,1,0,0,3,0,0,"#FF0000"
6775,2009,46.38,7.38,1,0,0,1,0,0,"#FF0000"
6783,2006,47.13,7.62,1,0,0,1,0,0,"#FF0000"
6795,2009,46.8,10.3,1,0,0,1,0,0,"#FF0000"
6803,1996,46.62,9.18,1,0,0,3,0,0,"#FF0000"
6803,2004,46.62,9.18,1,0,0,3,0,0,"#FF0000"
6803,2009,46.62,9.18,1,0,0,3,0,0,"#FF0000"
6825,2002,46.98,6.6,1,0,0,2,0,0,"#FF0000"
6825,2010,46.98,6.6,1,0,0,2,0,0,"#FF0000"
6827,2004,46.35,7.15,1,0,0,2,0,0,"#FF0000"
6827,2005,46.35,7.15,1,0,0,2,0,0,"#FF0000"
6831,2013,46.97,9.63,1,0,0,1,0,0,"#FF0000"
6834,2004,47.05,6.75,1,0,0,4,0,0,"#FF0000"
6834,2007,47.05,6.75,1,0,0,4,0,0,"#FF0000"
6834,2008,47.05,6.75,1,0,0,4,0,0,"#FF0000"
6834,2013,47.05,6.75,1,0,0,4,0,0,"#FF0000"
6838,2010,46.22,7.6,1,0,0,1,0,0,"#FF0000"
6843,2007,45.98,7.18,1,0,0,7,0,0,"#FF0000"
6843,2008,45.98,7.18,1,0,0,7,0,0,"#FF0000"
6843,2009,45.98,7.18,1,0,0,7,0,0,"#FF0000"
6843,2011,45.98,7.18,1,0,0,7,0,0,"#FF0000"
6843,2013,45.98,7.18,1,0,0,7,0,0,"#FF0000"
6843,2014,45.98,7.18,1,0,0,7,0,0,"#FF0000"
6843,2015,45.98,7.18,1,0,0,7,0,0,"#FF0000"
6847,2006,46.38,9.67,1,0,0,3,0,0,"#FF0000"
6847,2010,46.38,9.67,1,0,0,3,0,0,"#FF0000"
6847,2013,46.38,9.67,1,0,0,3,0,0,"#FF0000"
6848,1996,46.5,9.83,1,0,0,11,0,0,"#FF0000"
6848,1998,46.5,9.83,1,0,0,11,0,0,"#FF0000"
6848,2000,46.5,9.83,1,0,0,11,0,0,"#FF0000"
6848,2003,46.5,9.83,1,0,0,11,0,0,"#FF0000"
6848,2004,46.5,9.83,1,0,0,11,0,0,"#FF0000"
6848,2006,46.5,9.83,1,0,0,11,0,0,"#FF0000"
6848,2008,46.5,9.83,1,0,0,11,0,0,"#FF0000"
6848,2009,46.5,9.83,1,0,0,11,0,0,"#FF0000"
6848,2012,46.5,9.83,1,0,0,11,0,0,"#FF0000"
6848,2013,46.5,9.83,1,0,0,11,0,0,"#FF0000"
6848,2015,46.5,9.83,1,0,0,11,0,0,"#FF0000"
6851,2005,46.88,10.47,1,0,0,1,0,0,"#FF0000"
6853,2004,46.25,6.85,1,0,0,4,0,0,"#FF0000"
6853,2007,46.25,6.85,1,0,0,4,0,0,"#FF0000"
6853,2008,46.25,6.85,1,0,0,4,0,0,"#FF0000"
6853,2009,46.25,6.85,1,0,0,4,0,0,"#FF0000"
6854,2014,46.7,8.85,1,0,0,1,0,0,"#FF0000"
6855,2014,46.7,8.85,1,0,0,1,0,0,"#FF0000"
6861,1997,46.72,9.53,1,0,0,1,0,0,"#FF0000"
7006,1976,56.1,27.52,1,0,0,2,0,0,"#FF0000"
7006,1978,56.1,27.52,1,0,0,2,0,0,"#FF0000"
7009,1985,56.33,21.67,1,0,0,1,0,0,"#FF0000"
7010,1985,56.2,25.3,1,0,0,1,0,0,"#FF0000"
7024,2008,46.72,9.43,1,0,0,1,0,0,"#FF0000"
8019,2006,47.5,13.88,1,0,0,5,0,0,"#FF0000"
8019,2008,47.5,13.88,1,0,0,5,0,0,"#FF0000"
8019,2010,47.5,13.88,1,0,0,5,0,0,"#FF0000"
8019,2014,47.5,13.88,14,0,0,5,0,0,"#FF0000"
8019,2015,47.5,13.88,12,0,0,5,0,0,"#FF0000"
8020,2016,47.5,16.03,2,0,0,1,0,0,"#FF0000"
8090,2016,48.18,16.28,1,0,0,1,0,0,"#FF0000"
8459,2004,50.4,-4.83,1,0,0,1,0,0,"#FF0000"
9409,2004,50.9,0.32,1,0,0,1,0,0,"#FF0000"
9459,2000,50.93,-0.12,1,0,0,1,0,0,"#FF0000"
9539,2000,50.97,-1.3,1,0,0,1,0,0,"#FF0000"
9766,2000,51.03,-0.27,1,0,0,1,0,0,"#FF0000"
10599,2001,51.27,1.08,1,0,0,1,0,0,"#FF0000"
10759,2000,51.33,-0.23,1,0,0,1,0,0,"#FF0000"
11093,2000,51.38,0.3,1,0,0,1,0,0,"#FF0000"
11343,2000,51.45,-2.73,1,0,0,1,0,0,"#FF0000"
11912,2000,51.55,0.23,1,0,0,1,0,0,"#FF0000"
11988,2000,51.58,-1.4,1,0,0,1,0,0,"#FF0000"
12358,2002,51.65,0.05,1,0,0,1,0,0,"#FF0000"
12708,2005,51.75,-3.22,1,0,0,1,0,0,"#FF0000"
12786,1999,51.77,-1.32,1,0,0,1,0,0,"#FF0000"
13209,2001,51.88,0.72,1,0,0,1,0,0,"#FF0000"
13499,2005,52,-4.37,1,0,0,1,0,0,"#FF0000"
13689,2001,52.1,-2.33,1,0,0,1,0,0,"#FF0000"
13912,2000,52.15,-0.47,1,0,0,1,0,0,"#FF0000"
13971,2004,52.15,1.18,1,0,0,1,0,0,"#FF0000"
13975,2001,52.2,-3.12,1,0,0,1,0,0,"#FF0000"
14395,2002,52.35,-1.55,1,0,0,1,0,0,"#FF0000"
14424,2000,52.33,0.52,1,0,0,1,0,0,"#FF0000"
14443,1999,52.37,-0.53,1,0,0,1,0,0,"#FF0000"
14488,1999,52.38,-0.17,1,0,0,1,0,0,"#FF0000"
14542,2000,52.4,-0.23,1,0,0,1,0,0,"#FF0000"
14669,1999,52.43,-0.33,1,0,0,1,0,0,"#FF0000"
14674,2004,52.45,-2.77,1,0,0,1,0,0,"#FF0000"
14733,2001,52.48,-2.23,1,0,0,1,0,0,"#FF0000"
14789,2003,52.52,-1.83,1,0,0,1,0,0,"#FF0000"
14925,2000,52.57,-2.15,1,0,0,1,0,0,"#FF0000"
15034,2001,52.6,-1.83,1,0,0,1,0,0,"#FF0000"
15102,1983,52.63,-2,1,0,0,4,0,0,"#FF0000"
15102,1992,52.63,-2,1,0,0,4,0,0,"#FF0000"
15102,1993,52.63,-2,1,0,0,4,0,0,"#FF0000"
15102,1996,52.63,-2,1,0,0,4,0,0,"#FF0000"
15208,2001,52.62,1.27,1,0,0,1,0,0,"#FF0000"
15468,2000,52.77,-1.23,1,0,0,1,0,0,"#FF0000"
15484,2001,52.78,-1.53,1,0,0,1,0,0,"#FF0000"
15726,2001,52.92,-1.25,1,0,0,1,0,0,"#FF0000"
15754,2002,52.92,-0.62,1,0,0,1,0,0,"#FF0000"
15883,1999,53,-2.2,1,0,0,1,0,0,"#FF0000"
15908,2002,53.02,-2.33,1,0,0,1,0,0,"#FF0000"
16037,1999,53.08,-2.83,1,0,0,1,0,0,"#FF0000"
16040,2005,53.08,-2.25,1,0,0,1,0,0,"#FF0000"
16075,2003,53.1,-2.87,1,0,0,1,0,0,"#FF0000"
16183,1999,53.18,-1.85,1,0,0,2,0,0,"#FF0000"
16183,2004,53.18,-1.85,1,0,0,2,0,0,"#FF0000"
16286,2000,53.23,-2.98,1,0,0,1,0,0,"#FF0000"
16345,2001,53.25,-1.38,1,0,0,1,0,0,"#FF0000"
16384,2005,53.27,-2.53,1,0,0,1,0,0,"#FF0000"
16681,2001,53.38,-2.8,1,0,0,1,0,0,"#FF0000"
16863,2002,53.47,-2.68,1,0,0,1,0,0,"#FF0000"
16968,2001,53.53,-1.97,1,0,0,1,0,0,"#FF0000"
17058,2003,53.57,-0.55,1,0,0,1,0,0,"#FF0000"
17143,2004,53.63,-1.8,1,0,0,1,0,0,"#FF0000"
17216,2002,53.65,-1.4,1,0,0,1,0,0,"#FF0000"
17259,2002,53.7,-1.97,1,0,0,1,0,0,"#FF0000"
17266,2005,53.7,-1.02,1,0,0,1,0,0,"#FF0000"
17289,2001,53.72,-2.08,1,0,0,1,0,0,"#FF0000"
17346,2000,53.75,-2.87,1,0,0,1,0,0,"#FF0000"
17371,2001,53.75,-1.45,1,0,0,1,0,0,"#FF0000"
17535,2002,53.83,-1.4,1,0,0,1,0,0,"#FF0000"
17604,2001,53.87,-0.95,1,0,0,1,0,0,"#FF0000"
