"PEP_ID","year","lat","long","growth","frz","fs","total","events","freq"
1,1955,54.77,9.43,1,0,0,3,0,0
1,1960,54.77,9.43,1,0,0,3,0,0
1,1962,54.77,9.43,1,0,0,3,0,0
13,1977,54.62,9.98,1,0,0,1,0,0
43,1975,54,10.67,1,0,0,1,0,0
52,1977,54.15,10.68,1,0,0,1,0,0
57,1955,54.7,9.55,1,0,0,2,0,0
57,1964,54.7,9.55,1,0,0,2,0,0
76,1953,54.78,9.53,1,0,0,1,0,0
81,1970,54.77,9.17,1,0,0,1,0,0
84,1975,54.73,9.73,1,0,0,1,0,0
100,1959,53.78,10.63,1,0,0,1,0,0
139,1966,54.25,9.08,1,0,0,2,0,0
139,1968,54.25,9.08,1,0,0,2,0,0
173,1961,53.73,9.88,1,0,0,1,0,0
190,1963,54.28,10.47,1,0,0,1,0,0
192,1956,54.17,10.42,1,0,0,2,0,0
192,1957,54.17,10.42,1,0,0,2,0,0
193,1954,54.37,10.3,1,0,0,1,0,0
215,1966,54.23,9.67,1,0,0,2,0,0
215,1974,54.23,9.67,1,0,0,2,0,0
230,1957,54.6,9.57,1,0,0,1,0,0
231,1962,54.42,9.4,1,0,0,1,0,0
239,1978,54.67,9.93,1,0,0,1,0,0
241,1957,54.55,9.52,1,0,0,2,0,0
241,1966,54.55,9.52,1,0,0,2,0,0
247,1951,54.35,9.22,1,0,0,1,0,0
269,1964,54.03,10.32,1,0,0,1,0,0
271,1964,53.78,9.98,1,0,0,3,0,0
271,1968,53.78,9.98,1,0,0,3,0,0
271,1969,53.78,9.98,1,0,0,3,0,0
272,1968,53.95,10.22,1,0,0,2,0,0
272,1969,53.95,10.22,1,0,0,2,0,0
307,1952,54.15,9.28,1,0,0,1,0,0
309,1978,54,9.27,1,0,0,1,0,0
321,1959,53.95,9.15,1,0,0,3,0,0
321,1962,53.95,9.15,1,0,0,3,0,0
321,1963,53.95,9.15,1,0,0,3,0,0
323,1962,54.82,9.15,1,0,0,2,0,0
323,1965,54.82,9.15,1,0,0,2,0,0
326,1979,54.82,9.18,1,0,0,1,0,0
334,1958,53.65,10.18,1,0,0,1,0,0
336,1952,53.58,9.77,1,0,0,1,0,0
382,1961,52.87,8.5,1,0,0,1,0,0
383,1969,52.9,9.03,1,0,0,1,0,0
384,1952,52.92,8.82,1,0,0,1,0,0
385,1954,52.87,8.9,1,0,0,1,0,0
406,1953,52.07,9.58,1,0,0,1,0,0
416,1966,52.32,9.8,1,0,0,1,0,0
417,1952,52.3,9.8,1,0,0,1,0,0
431,1960,52.52,9.52,1,0,0,1,0,0
471,1974,52.28,9.38,1,0,0,1,0,0
478,1953,52.22,9.63,1,0,0,1,0,0
491,1954,51.98,9.78,1,0,0,4,0,0
491,1961,51.98,9.78,1,0,0,4,0,0
491,1964,51.98,9.78,1,0,0,4,0,0
491,1968,51.98,9.78,1,0,0,4,0,0
498,1966,51.5,10.18,1,0,0,1,0,0
517,1956,52.1,10.17,1,0,0,1,0,0
519,1951,51.95,10.12,1,0,0,1,0,0
524,1974,52.23,9.85,1,0,0,1,0,0
525,1974,52.13,10.07,1,0,0,1,0,0
559,1957,51.77,10.18,1,0,0,1,0,0
563,1957,51.8,10.03,1,0,0,1,0,0
568,1951,51.6,10.55,1,0,0,1,0,0
569,1969,51.82,10.07,1,0,0,1,0,0
573,1964,52.38,10.27,1,0,0,2,0,0
573,1966,52.38,10.27,1,0,0,2,0,0
576,1971,52.32,10.23,1,0,0,1,0,0
582,1958,51.87,10.33,1,0,0,6,0,0
582,1960,51.87,10.33,1,0,0,6,0,0
582,1961,51.87,10.33,1,0,0,6,0,0
582,1969,51.87,10.33,1,0,0,6,0,0
582,1974,51.87,10.33,1,0,0,6,0,0
582,1975,51.87,10.33,1,0,0,6,0,0
585,1961,51.72,10.52,1,0,0,2,0,0
585,1970,51.72,10.52,1,0,0,2,0,0
594,1957,52.58,9.75,1,0,0,2,0,0
594,1968,52.58,9.75,1,0,0,2,0,0
612,1961,52.73,9.98,1,0,0,1,0,0
629,1963,52.82,9.93,1,0,0,1,0,0
648,1962,52.42,10.72,1,0,0,1,0,0
678,1960,53.4,10.17,1,0,0,1,0,0
689,1968,53.23,9.75,1,0,0,1,0,0
698,1976,53.32,9.8,1,0,0,1,0,0
702,1957,53.23,9.67,1,0,0,1,0,0
707,1958,53.1,11.1,1,0,0,7,0,0
707,1959,53.1,11.1,1,0,0,7,0,0
707,1960,53.1,11.1,1,0,0,7,0,0
707,1961,53.1,11.1,1,0,0,7,0,0
707,1964,53.1,11.1,1,0,0,7,0,0
707,1965,53.1,11.1,1,0,0,7,0,0
707,1967,53.1,11.1,1,0,0,7,0,0
723,1954,52.97,11.15,1,0,0,1,0,0
753,1958,53.08,10,1,0,0,2,0,0
753,1974,53.08,10,1,0,0,2,0,0
758,1955,53.12,9.8,1,0,0,1,0,0
760,1957,53.1,10.07,1,0,0,1,0,0
765,1951,53.03,9.83,1,0,0,1,0,0
773,1961,52.95,10.83,1,0,0,1,0,0
778,1955,53.1,10.73,1,0,0,1,0,0
782,1952,53.02,10.68,1,0,0,1,0,0
784,1969,52.8,10.63,1,0,0,2,0,0
784,1973,52.8,10.63,1,0,0,2,0,0
792,1956,53.07,10.45,1,0,0,1,0,0
798,1969,53.27,9.2,1,0,0,1,0,0
817,1956,53.63,8.97,1,0,0,1,0,0
819,1957,53.8,9.03,1,0,0,1,0,0
826,1962,53.68,9.15,1,0,0,1,0,0
833,1978,53.22,8.8,1,0,0,1,0,0
851,1957,53.12,9.17,1,0,0,2,0,0
851,1968,53.12,9.17,1,0,0,2,0,0
855,1966,53.57,9.52,1,0,0,1,0,0
871,1964,53.53,9.68,1,0,0,1,0,0
898,1969,53.68,8.68,1,0,0,1,0,0
901,1963,53.4,8.78,1,0,0,2,0,0
901,1966,53.4,8.78,1,0,0,2,0,0
902,1958,53.5,8.8,1,0,0,2,0,0
902,1967,53.5,8.8,1,0,0,2,0,0
903,1969,53.4,8.87,1,0,0,1,0,0
909,1955,52.97,7.77,1,0,0,1,0,0
919,1953,52.55,7.95,1,0,0,1,0,0
931,1973,52.3,7.17,1,0,0,1,0,0
938,1958,52.28,7.28,1,0,0,1,0,0
941,1960,52.55,6.73,1,0,0,1,0,0
942,1951,52.52,7.13,1,0,0,1,0,0
955,1972,52.25,8.4,1,0,0,1,0,0
956,1955,52.2,8.35,1,0,0,5,0,0
956,1956,52.2,8.35,1,0,0,5,0,0
956,1958,52.2,8.35,1,0,0,5,0,0
956,1960,52.2,8.35,1,0,0,5,0,0
956,1961,52.2,8.35,1,0,0,5,0,0
971,1966,52.2,7.97,1,0,0,1,0,0
976,1966,52.1,8.08,1,0,0,1,0,0
987,1962,52.32,8.37,1,0,0,1,0,0
998,1955,53.55,7.62,1,0,0,1,0,0
1023,1967,53.17,7.35,1,0,0,1,0,0
1036,1973,53.48,7.07,1,0,0,1,0,0
1042,1960,53.53,7.7,1,0,0,1,0,0
1048,1958,53.48,7.98,1,0,0,1,0,0
1058,1957,51.9,10.43,1,0,0,1,0,0
1060,1967,52.1,10.43,1,0,0,1,0,0
1061,1951,51.72,10.62,1,0,0,2,0,0
1061,1953,51.72,10.62,1,0,0,2,0,0
1063,1954,51.67,10.67,1,0,0,4,0,0
1063,1955,51.67,10.67,1,0,0,4,0,0
1063,1965,51.67,10.67,1,0,0,4,0,0
1063,1967,51.67,10.67,1,0,0,4,0,0
1072,1965,52.3,10.43,1,0,0,1,0,0
1073,1958,51.78,9.98,1,0,0,2,0,0
1073,1961,51.78,9.98,1,0,0,2,0,0
1074,1978,51.9,9.85,1,0,0,1,0,0
1080,1953,51.82,10,1,0,0,1,0,0
1098,1954,52.23,11,1,0,0,1,0,0
1102,1973,52.13,11.03,1,0,0,2,0,0
1102,1979,52.13,11.03,1,0,0,2,0,0
1107,1957,52.28,10.75,1,0,0,1,0,0
1111,1967,52.43,10.85,1,0,0,2,0,0
1111,1975,52.43,10.85,1,0,0,2,0,0
1112,1959,52.18,10.93,1,0,0,1,0,0
1114,1962,52.18,10.85,1,0,0,1,0,0
1118,1961,51.88,10.55,1,0,0,2,0,0
1118,1965,51.88,10.55,1,0,0,2,0,0
