"PEP_ID","BBCH","YEAR","DAY","National_ID","LON","LAT","ALT","species"
7153,10,1997,134,11,23.0333,60.05,15,"BETPUB"
7155,10,1997,135,13,22.75,60.4333,50,"BETPUB"
7160,10,1997,135,23,23.0333,62.0167,113,"BETPUB"
7170,10,1997,135,41,21.7167,63.0667,5,"BETPUB"
7171,10,1997,135,42,25.1833,62.7333,160,"BETPUB"
7156,10,1997,136,14,26.1667,60.6167,30,"BETPUB"
7161,10,1997,136,24,24.4833,62.0667,135,"BETPUB"
7153,11,1997,138,11,23.0333,60.05,15,"BETPUB"
7158,10,1997,139,21,24.45,61.0167,130,"BETPUB"
7164,10,1997,139,32,27.05,62.6333,119,"BETPUB"
7165,10,1997,139,33,29.7167,62.6,80,"BETPUB"
7154,10,1997,142,12,24.9833,60.35,55,"BETPUB"
7163,10,1997,142,31,29.3167,61.8,81,"BETPUB"
7172,10,1997,142,44,23.8833,63.9167,40,"BETPUB"
7158,11,1997,142,21,24.45,61.0167,130,"BETPUB"
7155,11,1997,145,13,22.75,60.4333,50,"BETPUB"
7170,11,1997,145,41,21.7167,63.0667,5,"BETPUB"
7169,10,1997,146,37,27.7167,63,115,"BETPUB"
7156,11,1997,146,14,26.1667,60.6167,30,"BETPUB"
7161,11,1997,146,24,24.4833,62.0667,135,"BETPUB"
7159,10,1997,147,22,25.0333,61.3833,120,"BETPUB"
7166,10,1997,148,34,30.9667,62.7667,148,"BETPUB"
7164,11,1997,149,32,27.05,62.6333,119,"BETPUB"
7165,11,1997,149,33,29.7167,62.6,80,"BETPUB"
7171,11,1997,149,42,25.1833,62.7333,160,"BETPUB"
7173,10,1997,150,51,26,64.8,25,"BETPUB"
7167,10,1997,151,35,29.8167,63.0667,135,"BETPUB"
7159,11,1997,151,22,25.0333,61.3833,120,"BETPUB"
7163,11,1997,151,31,29.3167,61.8,81,"BETPUB"
7168,10,1997,152,36,29.0167,63.55,142,"BETPUB"
7180,10,1997,153,71,23.8167,67.35,160,"BETPUB"
7154,11,1997,153,12,24.9833,60.35,55,"BETPUB"
7160,11,1997,153,23,23.0333,62.0167,113,"BETPUB"
7166,11,1997,153,34,30.9667,62.7667,148,"BETPUB"
7167,11,1997,153,35,29.8167,63.0667,135,"BETPUB"
7169,11,1997,153,37,27.7167,63,115,"BETPUB"
7173,11,1997,153,51,26,64.8,25,"BETPUB"
7175,10,1997,154,53,29.3,66.3667,170,"BETPUB"
7186,10,1997,154,61,25,66.3,117,"BETPUB"
7177,10,1997,156,62,27.25,67.0167,215,"BETPUB"
7168,11,1997,156,36,29.0167,63.55,142,"BETPUB"
7172,11,1997,156,44,23.8833,63.9167,40,"BETPUB"
7174,10,1997,157,52,28.05,64.65,295,"BETPUB"
7174,11,1997,157,52,28.05,64.65,295,"BETPUB"
7175,11,1997,158,53,29.3,66.3667,170,"BETPUB"
7186,11,1997,158,61,25,66.3,117,"BETPUB"
7181,10,1997,159,72,24.15,68.0167,275,"BETPUB"
7183,10,1997,159,74,27.3833,68.4,300,"BETPUB"
7178,10,1997,160,63,29.6,67.7333,320,"BETPUB"
7182,10,1997,160,73,23.65,68.3833,300,"BETPUB"
7185,10,1997,160,77,27,69.75,120,"BETPUB"
7177,11,1997,160,62,27.25,67.0167,215,"BETPUB"
7180,11,1997,160,71,23.8167,67.35,160,"BETPUB"
7181,11,1997,160,72,24.15,68.0167,275,"BETPUB"
7183,11,1997,162,74,27.3833,68.4,300,"BETPUB"
7185,11,1997,162,77,27,69.75,120,"BETPUB"
7178,11,1997,163,63,29.6,67.7333,320,"BETPUB"
7182,11,1997,163,73,23.65,68.3833,300,"BETPUB"
7184,11,1997,166,75,27.1,69.05,155,"BETPUB"
7184,10,1997,167,75,27.1,69.05,155,"BETPUB"
7153,10,1998,123,11,23.0333,60.05,15,"BETPUB"
7158,10,1998,124,21,24.45,61.0167,130,"BETPUB"
7153,11,1998,124,11,23.0333,60.05,15,"BETPUB"
7157,10,1998,127,15,27.5333,60.5333,25,"BETPUB"
7160,10,1998,127,23,23.0333,62.0167,113,"BETPUB"
7154,10,1998,130,12,24.9833,60.35,55,"BETPUB"
7156,10,1998,131,14,26.1667,60.6167,30,"BETPUB"
7171,10,1998,131,42,25.1833,62.7333,160,"BETPUB"
7158,11,1998,131,21,24.45,61.0167,130,"BETPUB"
7155,10,1998,132,13,22.75,60.4333,50,"BETPUB"
7170,10,1998,133,41,21.7167,63.0667,5,"BETPUB"
7162,10,1998,134,25,21.4333,61.6,5,"BETPUB"
7169,10,1998,134,37,27.7167,63,115,"BETPUB"
7172,10,1998,134,44,23.8833,63.9167,40,"BETPUB"
7154,11,1998,134,12,24.9833,60.35,55,"BETPUB"
7157,11,1998,134,15,27.5333,60.5333,25,"BETPUB"
7159,10,1998,135,22,25.0333,61.3833,120,"BETPUB"
7161,10,1998,135,24,24.4833,62.0667,135,"BETPUB"
7163,10,1998,135,31,29.3167,61.8,81,"BETPUB"
7164,10,1998,135,32,27.05,62.6333,119,"BETPUB"
7156,11,1998,135,14,26.1667,60.6167,30,"BETPUB"
7165,10,1998,136,33,29.7167,62.6,80,"BETPUB"
7170,11,1998,137,41,21.7167,63.0667,5,"BETPUB"
7166,10,1998,138,34,30.9667,62.7667,148,"BETPUB"
7167,10,1998,138,35,29.8167,63.0667,135,"BETPUB"
7168,10,1998,138,36,29.0167,63.55,142,"BETPUB"
7173,10,1998,138,51,26,64.8,25,"BETPUB"
7174,10,1998,138,52,28.05,64.65,295,"BETPUB"
7155,11,1998,138,13,22.75,60.4333,50,"BETPUB"
7159,11,1998,138,22,25.0333,61.3833,120,"BETPUB"
7160,11,1998,138,23,23.0333,62.0167,113,"BETPUB"
7161,11,1998,138,24,24.4833,62.0667,135,"BETPUB"
7163,11,1998,138,31,29.3167,61.8,81,"BETPUB"
7164,11,1998,138,32,27.05,62.6333,119,"BETPUB"
7165,11,1998,138,33,29.7167,62.6,80,"BETPUB"
7169,11,1998,138,37,27.7167,63,115,"BETPUB"
7171,11,1998,138,42,25.1833,62.7333,160,"BETPUB"
7175,10,1998,139,53,29.3,66.3667,170,"BETPUB"
7172,11,1998,139,44,23.8833,63.9167,40,"BETPUB"
7168,11,1998,140,36,29.0167,63.55,142,"BETPUB"
7167,11,1998,141,35,29.8167,63.0667,135,"BETPUB"
7173,11,1998,142,51,26,64.8,25,"BETPUB"
7162,11,1998,145,25,21.4333,61.6,5,"BETPUB"
7166,11,1998,145,34,30.9667,62.7667,148,"BETPUB"
7180,10,1998,147,71,23.8167,67.35,160,"BETPUB"
7174,11,1998,149,52,28.05,64.65,295,"BETPUB"
7186,10,1998,151,61,25,66.3,117,"BETPUB"
7177,10,1998,154,62,27.25,67.0167,215,"BETPUB"
7186,11,1998,158,61,25,66.3,117,"BETPUB"
7175,11,1998,159,53,29.3,66.3667,170,"BETPUB"
7177,11,1998,159,62,27.25,67.0167,215,"BETPUB"
7180,11,1998,159,71,23.8167,67.35,160,"BETPUB"
7184,10,1998,160,75,27.1,69.05,155,"BETPUB"
7181,10,1998,162,72,24.15,68.0167,275,"BETPUB"
7182,10,1998,162,73,23.65,68.3833,300,"BETPUB"
7183,10,1998,162,74,27.3833,68.4,300,"BETPUB"
7178,10,1998,164,63,29.6,67.7333,320,"BETPUB"
7185,10,1998,166,77,27,69.75,120,"BETPUB"
7178,11,1998,166,63,29.6,67.7333,320,"BETPUB"
7182,11,1998,167,73,23.65,68.3833,300,"BETPUB"
7183,11,1998,169,74,27.3833,68.4,300,"BETPUB"
7185,11,1998,173,77,27,69.75,120,"BETPUB"
7181,11,1998,175,72,24.15,68.0167,275,"BETPUB"
7184,11,1998,175,75,27.1,69.05,155,"BETPUB"
7156,10,1999,119,14,26.1667,60.6167,30,"BETPUB"
7153,10,1999,123,11,23.0333,60.05,15,"BETPUB"
7157,10,1999,123,15,27.5333,60.5333,25,"BETPUB"
7166,10,1999,123,34,30.9667,62.7667,148,"BETPUB"
7160,10,1999,132,23,23.0333,62.0167,113,"BETPUB"
7153,11,1999,133,11,23.0333,60.05,15,"BETPUB"
7162,10,1999,134,25,21.4333,61.6,5,"BETPUB"
7161,10,1999,136,24,24.4833,62.0667,135,"BETPUB"
7155,10,1999,137,13,22.75,60.4333,50,"BETPUB"
7158,10,1999,137,21,24.45,61.0167,130,"BETPUB"
7169,10,1999,137,37,27.7167,63,115,"BETPUB"
7156,11,1999,137,14,26.1667,60.6167,30,"BETPUB"
7157,11,1999,137,15,27.5333,60.5333,25,"BETPUB"
7154,10,1999,139,12,24.9833,60.35,55,"BETPUB"
7161,11,1999,139,24,24.4833,62.0667,135,"BETPUB"
7159,10,1999,140,22,25.0333,61.3833,120,"BETPUB"
7163,10,1999,140,31,29.3167,61.8,81,"BETPUB"
7164,10,1999,140,32,27.05,62.6333,119,"BETPUB"
7165,10,1999,140,33,29.7167,62.6,80,"BETPUB"
7170,10,1999,140,41,21.7167,63.0667,5,"BETPUB"
7171,10,1999,140,42,25.1833,62.7333,160,"BETPUB"
7158,11,1999,140,21,24.45,61.0167,130,"BETPUB"
7169,11,1999,140,37,27.7167,63,115,"BETPUB"
7173,10,1999,141,51,26,64.8,25,"BETPUB"
7167,10,1999,142,35,29.8167,63.0667,135,"BETPUB"
7172,10,1999,142,44,23.8833,63.9167,40,"BETPUB"
7174,10,1999,142,52,28.05,64.65,295,"BETPUB"
7154,11,1999,142,12,24.9833,60.35,55,"BETPUB"
7180,10,1999,144,71,23.8167,67.35,160,"BETPUB"
7186,10,1999,144,61,25,66.3,117,"BETPUB"
7159,11,1999,144,22,25.0333,61.3833,120,"BETPUB"
7160,11,1999,144,23,23.0333,62.0167,113,"BETPUB"
7162,11,1999,144,25,21.4333,61.6,5,"BETPUB"
7163,11,1999,144,31,29.3167,61.8,81,"BETPUB"
7164,11,1999,144,32,27.05,62.6333,119,"BETPUB"
7165,11,1999,144,33,29.7167,62.6,80,"BETPUB"
7166,11,1999,144,34,30.9667,62.7667,148,"BETPUB"
7167,11,1999,144,35,29.8167,63.0667,135,"BETPUB"
7170,11,1999,144,41,21.7167,63.0667,5,"BETPUB"
7171,11,1999,144,42,25.1833,62.7333,160,"BETPUB"
7173,11,1999,144,51,26,64.8,25,"BETPUB"
7168,10,1999,145,36,29.0167,63.55,142,"BETPUB"
7175,10,1999,145,53,29.3,66.3667,170,"BETPUB"
7172,11,1999,145,44,23.8833,63.9167,40,"BETPUB"
7177,10,1999,147,62,27.25,67.0167,215,"BETPUB"
7155,11,1999,147,13,22.75,60.4333,50,"BETPUB"
7168,11,1999,147,36,29.0167,63.55,142,"BETPUB"
7174,11,1999,147,52,28.05,64.65,295,"BETPUB"
7186,11,1999,149,61,25,66.3,117,"BETPUB"
7180,11,1999,154,71,23.8167,67.35,160,"BETPUB"
7175,11,1999,157,53,29.3,66.3667,170,"BETPUB"
7181,10,1999,158,72,24.15,68.0167,275,"BETPUB"
7182,10,1999,158,73,23.65,68.3833,300,"BETPUB"
7184,10,1999,160,75,27.1,69.05,155,"BETPUB"
7185,10,1999,160,77,27,69.75,120,"BETPUB"
7178,10,1999,161,63,29.6,67.7333,320,"BETPUB"
7183,10,1999,161,74,27.3833,68.4,300,"BETPUB"
7177,11,1999,161,62,27.25,67.0167,215,"BETPUB"
7178,11,1999,165,63,29.6,67.7333,320,"BETPUB"
7181,11,1999,165,72,24.15,68.0167,275,"BETPUB"
7182,11,1999,165,73,23.65,68.3833,300,"BETPUB"
7183,11,1999,165,74,27.3833,68.4,300,"BETPUB"
7185,11,1999,165,77,27,69.75,120,"BETPUB"
7184,11,1999,166,75,27.1,69.05,155,"BETPUB"
7155,10,2000,117,13,22.75,60.4333,50,"BETPUB"
7153,10,2000,119,11,23.0333,60.05,15,"BETPUB"
7157,10,2000,121,15,27.5333,60.5333,25,"BETPUB"
7158,10,2000,121,21,24.45,61.0167,130,"BETPUB"
7153,11,2000,121,11,23.0333,60.05,15,"BETPUB"
7156,10,2000,125,14,26.1667,60.6167,30,"BETPUB"
7166,10,2000,125,34,30.9667,62.7667,148,"BETPUB"
7169,10,2000,127,37,27.7167,63,115,"BETPUB"
7154,10,2000,128,12,24.9833,60.35,55,"BETPUB"
7171,10,2000,128,42,25.1833,62.7333,160,"BETPUB"
7155,11,2000,128,13,22.75,60.4333,50,"BETPUB"
7157,11,2000,128,15,27.5333,60.5333,25,"BETPUB"
7161,10,2000,129,24,24.4833,62.0667,135,"BETPUB"
7163,10,2000,129,31,29.3167,61.8,81,"BETPUB"
7165,10,2000,129,33,29.7167,62.6,80,"BETPUB"
7164,10,2000,131,32,27.05,62.6333,119,"BETPUB"
7167,10,2000,131,35,29.8167,63.0667,135,"BETPUB"
7154,11,2000,131,12,24.9833,60.35,55,"BETPUB"
7158,11,2000,131,21,24.45,61.0167,130,"BETPUB"
7159,10,2000,132,22,25.0333,61.3833,120,"BETPUB"
7170,10,2000,133,41,21.7167,63.0667,5,"BETPUB"
7160,10,2000,135,23,23.0333,62.0167,113,"BETPUB"
7156,11,2000,135,14,26.1667,60.6167,30,"BETPUB"
7163,11,2000,135,31,29.3167,61.8,81,"BETPUB"
7171,11,2000,135,42,25.1833,62.7333,160,"BETPUB"
7168,10,2000,136,36,29.0167,63.55,142,"BETPUB"
7172,10,2000,136,44,23.8833,63.9167,40,"BETPUB"
7159,11,2000,137,22,25.0333,61.3833,120,"BETPUB"
7162,10,2000,138,25,21.4333,61.6,5,"BETPUB"
7173,10,2000,138,51,26,64.8,25,"BETPUB"
7160,11,2000,138,23,23.0333,62.0167,113,"BETPUB"
7167,11,2000,138,35,29.8167,63.0667,135,"BETPUB"
7169,11,2000,138,37,27.7167,63,115,"BETPUB"
7170,11,2000,138,41,21.7167,63.0667,5,"BETPUB"
7168,11,2000,139,36,29.0167,63.55,142,"BETPUB"
7174,10,2000,140,52,28.05,64.65,295,"BETPUB"
7186,10,2000,140,61,25,66.3,117,"BETPUB"
7173,11,2000,140,51,26,64.8,25,"BETPUB"
7175,10,2000,142,53,29.3,66.3667,170,"BETPUB"
7177,10,2000,142,62,27.25,67.0167,215,"BETPUB"
7180,10,2000,142,71,23.8167,67.35,160,"BETPUB"
7162,11,2000,142,25,21.4333,61.6,5,"BETPUB"
7164,11,2000,142,32,27.05,62.6333,119,"BETPUB"
7165,11,2000,142,33,29.7167,62.6,80,"BETPUB"
7172,11,2000,142,44,23.8833,63.9167,40,"BETPUB"
7174,11,2000,142,52,28.05,64.65,295,"BETPUB"
7186,11,2000,142,61,25,66.3,117,"BETPUB"
7166,11,2000,145,34,30.9667,62.7667,148,"BETPUB"
7175,11,2000,145,53,29.3,66.3667,170,"BETPUB"
7181,10,2000,149,72,24.15,68.0167,275,"BETPUB"
7182,10,2000,149,73,23.65,68.3833,300,"BETPUB"
7177,11,2000,149,62,27.25,67.0167,215,"BETPUB"
7180,11,2000,149,71,23.8167,67.35,160,"BETPUB"
7184,10,2000,151,75,27.1,69.05,155,"BETPUB"
7178,10,2000,152,63,29.6,67.7333,320,"BETPUB"
7183,10,2000,152,74,27.3833,68.4,300,"BETPUB"
7185,10,2000,153,77,27,69.75,120,"BETPUB"
7178,11,2000,156,63,29.6,67.7333,320,"BETPUB"
7181,11,2000,156,72,24.15,68.0167,275,"BETPUB"
7185,11,2000,156,77,27,69.75,120,"BETPUB"
7182,11,2000,159,73,23.65,68.3833,300,"BETPUB"
7183,11,2000,159,74,27.3833,68.4,300,"BETPUB"
7184,11,2000,164,75,27.1,69.05,155,"BETPUB"
7169,10,2001,120,37,27.7167,63,115,"BETPUB"
7171,10,2001,120,42,25.1833,62.7333,160,"BETPUB"
7156,10,2001,123,14,26.1667,60.6167,30,"BETPUB"
7153,10,2001,124,11,23.0333,60.05,15,"BETPUB"
7163,10,2001,124,31,29.3167,61.8,81,"BETPUB"
7166,10,2001,124,34,30.9667,62.7667,148,"BETPUB"
7167,10,2001,125,35,29.8167,63.0667,135,"BETPUB"
7157,10,2001,127,15,27.5333,60.5333,25,"BETPUB"
7161,10,2001,127,24,24.4833,62.0667,135,"BETPUB"
7164,10,2001,127,32,27.05,62.6333,119,"BETPUB"
7165,10,2001,127,33,29.7167,62.6,80,"BETPUB"
7157,11,2001,127,15,27.5333,60.5333,25,"BETPUB"
7163,11,2001,127,31,29.3167,61.8,81,"BETPUB"
7169,11,2001,127,37,27.7167,63,115,"BETPUB"
7155,10,2001,128,13,22.75,60.4333,50,"BETPUB"
7158,10,2001,128,21,24.45,61.0167,130,"BETPUB"
7153,11,2001,128,11,23.0333,60.05,15,"BETPUB"
7154,10,2001,129,12,24.9833,60.35,55,"BETPUB"
7160,10,2001,129,23,23.0333,62.0167,113,"BETPUB"
7167,11,2001,129,35,29.8167,63.0667,135,"BETPUB"
7159,10,2001,130,22,25.0333,61.3833,120,"BETPUB"
7156,11,2001,130,14,26.1667,60.6167,30,"BETPUB"
