"PEP_ID","BBCH","YEAR","DAY","National_ID","LON","LAT","ALT","species"
7015,11,1989,94,4220,16.7,48.2667,150,"ROBPSU"
6651,11,2008,122,18630,14.3667,46.8,613,"ROBPSU"
7012,11,2009,110,5901,16.35,48.25,203,"ROBPSU"
6452,11,2011,93,6410,13.1,47.9667,508,"ROBPSU"
6571,11,2011,93,4215,16.65,48.4833,196,"ROBPSU"
6490,11,2011,95,7720,16.5,47.75,160,"ROBPSU"
7015,11,2011,101,4220,16.7,48.2667,150,"ROBPSU"
6480,11,2011,102,18210,13.5667,46.8,719,"ROBPSU"
8025,11,2011,102,11825,11.3833,47.2667,575,"ROBPSU"
6552,11,2011,113,10600,16.0833,47.55,498,"ROBPSU"
8023,11,2011,115,11610,10.9167,47.3,991,"ROBPSU"
6561,11,2011,116,2415,16.3667,48.55,457,"ROBPSU"
6651,11,2011,116,18630,14.3667,46.8,613,"ROBPSU"
6620,11,2011,118,18600,14.4167,46.95,634,"ROBPSU"
6662,11,2011,123,725,15.5,48.85,470,"ROBPSU"
20230,11,2011,125,16030,14.3667,47.1333,750,"ROBPSU"
6695,11,2011,132,500,15.0333,48.95,559,"ROBPSU"
6638,11,2011,133,7101,14.9167,47.8,527,"ROBPSU"
19380,11,2012,95,22270,16.3817,48.2433,161,"ROBPSU"
8023,11,2012,110,11610,10.9167,47.3,991,"ROBPSU"
20215,11,2012,113,22835,15.7167,48.45,200,"ROBPSU"
19427,11,2012,117,22588,11.4447,47.2761,565,"ROBPSU"
7012,11,2012,118,5901,16.35,48.25,203,"ROBPSU"
6708,11,2012,119,5115,14.45,48.0667,340,"ROBPSU"
19353,11,2012,119,21890,16.0147,46.8931,351,"ROBPSU"
6477,11,2012,120,5410,15.2,48.05,297,"ROBPSU"
8080,11,2012,121,21490,15.4333,47.0833,427,"ROBPSU"
19389,11,2012,138,22323,16.3569,48.2367,340,"ROBPSU"
7012,11,2013,113,5901,16.35,48.25,203,"ROBPSU"
20304,11,2013,113,23017,15.5175,47.0739,422,"ROBPSU"
8055,11,2013,116,21421,13.0333,47.8,419,"ROBPSU"
6708,11,2013,117,5115,14.45,48.0667,340,"ROBPSU"
6477,11,2013,118,5410,15.2,48.05,297,"ROBPSU"
20292,11,2013,121,22992,12.1525,47.5731,485,"ROBPSU"
6571,11,2013,122,4215,16.65,48.4833,196,"ROBPSU"
19389,11,2013,130,22323,16.3569,48.2367,340,"ROBPSU"
8080,11,2013,131,21490,15.4333,47.0833,427,"ROBPSU"
8080,11,2014,97,21490,15.4333,47.0833,427,"ROBPSU"
19353,11,2014,99,21890,16.0147,46.8931,351,"ROBPSU"
20304,11,2014,100,23017,15.5175,47.0739,422,"ROBPSU"
20509,11,2014,100,23071,16.3878,48.2964,164,"ROBPSU"
6708,11,2014,101,5115,14.45,48.0667,340,"ROBPSU"
6477,11,2014,109,5410,15.2,48.05,297,"ROBPSU"
7012,11,2014,110,5901,16.35,48.25,203,"ROBPSU"
19380,11,2014,110,22270,16.3817,48.2433,161,"ROBPSU"
8055,11,2014,111,21421,13.0333,47.8,419,"ROBPSU"
20292,11,2014,113,22992,12.1525,47.5731,485,"ROBPSU"
19389,11,2014,134,22323,16.3569,48.2367,340,"ROBPSU"
6651,11,2015,101,18630,14.3667,46.8,613,"ROBPSU"
6495,11,2015,109,18219,13.4833,46.7833,559,"ROBPSU"
20304,11,2015,109,23017,15.5175,47.0739,422,"ROBPSU"
20658,11,2015,110,23199,11.6344,47.295,643,"ROBPSU"
6490,11,2015,111,7720,16.5,47.75,160,"ROBPSU"
19353,11,2015,111,21890,16.0147,46.8931,351,"ROBPSU"
6708,11,2015,114,5115,14.45,48.0667,340,"ROBPSU"
7012,11,2015,114,5901,16.35,48.25,203,"ROBPSU"
8080,11,2015,114,21490,15.4333,47.0833,427,"ROBPSU"
20509,11,2015,114,23071,16.3878,48.2964,164,"ROBPSU"
6620,11,2015,115,18600,14.4167,46.95,634,"ROBPSU"
6477,11,2015,116,5410,15.2,48.05,297,"ROBPSU"
6516,11,2015,116,16710,16.0833,47.2167,400,"ROBPSU"
20668,11,2015,117,23242,16.4203,48.2553,158,"ROBPSU"
6585,11,2015,122,20610,15.2667,46.7167,394,"ROBPSU"
6561,11,2015,127,2415,16.3667,48.55,457,"ROBPSU"
19389,11,2015,129,22323,16.3569,48.2367,340,"ROBPSU"
6695,11,2015,130,500,15.0333,48.95,559,"ROBPSU"
