"PEP_ID","BBCH","YEAR","DAY","National_ID","LON","LAT","ALT","species"
20542,11,1926,103,23105,13.6503,48.5283,554,"TILCOR"
20149,11,1926,108,22757,13.9167,48.6833,626,"TILCOR"
20537,11,1926,110,23100,14.3406,47.9214,360,"TILCOR"
20536,11,1926,114,23099,14.6217,48.3317,489,"TILCOR"
20540,11,1926,114,23103,13.2747,48.2089,400,"TILCOR"
20529,11,1926,116,23092,13.5728,48.2631,475,"TILCOR"
20138,11,1926,118,22738,12.8333,48.0833,429,"TILCOR"
20546,11,1926,118,23109,14.9486,48.2733,470,"TILCOR"
20153,11,1926,120,22762,13.1167,48.15,418,"TILCOR"
20155,11,1926,121,22771,13.65,48,430,"TILCOR"
20151,11,1926,124,22760,14.6167,47.7333,530,"TILCOR"
20535,11,1926,135,23098,13.8811,48.2853,393,"TILCOR"
20529,11,1927,114,23092,13.5728,48.2631,475,"TILCOR"
20532,11,1927,115,23095,14.0375,48.1508,366,"TILCOR"
20544,11,1927,118,23107,13.4844,48.0025,488,"TILCOR"
20155,11,1927,124,22771,13.65,48,430,"TILCOR"
20533,11,1927,124,23096,14.2533,48.0836,367,"TILCOR"
20537,11,1927,124,23100,14.3406,47.9214,360,"TILCOR"
20150,11,1927,125,22759,13.4833,47.8,477,"TILCOR"
20546,11,1927,128,23109,14.9486,48.2733,470,"TILCOR"
20149,11,1927,130,22757,13.9167,48.6833,626,"TILCOR"
6608,11,1943,110,3739,15.4167,48.3667,223,"TILCOR"
6677,11,1943,116,3810,15.7,48.4667,210,"TILCOR"
6699,11,1943,121,3831,15.8167,48.3167,210,"TILCOR"
6608,11,1944,111,3739,15.4167,48.3667,223,"TILCOR"
6699,11,1944,116,3831,15.8167,48.3167,210,"TILCOR"
6677,11,1944,135,3810,15.7,48.4667,210,"TILCOR"
6712,11,1945,125,3838,15.7833,48.4,187,"TILCOR"
6533,11,1987,110,2900,13.3667,48.3333,350,"TILCOR"
6712,11,1987,111,3838,15.7833,48.4,187,"TILCOR"
6526,11,1987,114,5967,16.45,48.25,161,"TILCOR"
6616,11,1987,115,19110,15.7333,46.85,391,"TILCOR"
7015,11,1987,115,4220,16.7,48.2667,150,"TILCOR"
6557,11,1987,118,5995,16.4667,48.1333,163,"TILCOR"
6582,11,1987,120,3200,14.2833,48.3,263,"TILCOR"
6594,11,1987,120,16520,15.6333,47.2167,465,"TILCOR"
7012,11,1987,120,5901,16.35,48.25,203,"TILCOR"
6463,11,1987,121,6420,13.25,47.9833,542,"TILCOR"
6470,11,1987,122,7704,16.5333,47.85,184,"TILCOR"
6614,11,1987,122,2211,15.8333,48.55,259,"TILCOR"
6623,11,1987,122,5804,16.2333,48.2,226,"TILCOR"
6624,11,1987,122,9900,14.45,47.5667,646,"TILCOR"
6446,11,1987,123,5120,14.4167,48.2167,225,"TILCOR"
6625,11,1987,123,13740,16.2167,47.35,350,"TILCOR"
6500,11,1987,124,9520,13.415,47.7267,545,"TILCOR"
6550,11,1987,124,19300,16.2667,46.9833,243,"TILCOR"
6636,11,1987,124,13500,15.6833,47.3667,623,"TILCOR"
6457,11,1987,125,4110,16.35,48.2333,155,"TILCOR"
6689,11,1987,125,3310,14.5333,48.35,416,"TILCOR"
6591,11,1987,126,16005,14.4167,47,650,"TILCOR"
6597,11,1987,127,2700,13.0333,48.25,351,"TILCOR"
6668,11,1987,127,3801,15.6167,48.4167,207,"TILCOR"
6480,11,1987,128,18210,13.5667,46.8,719,"TILCOR"
6603,11,1987,128,1430,13.95,48.7,920,"TILCOR"
6552,11,1987,129,10600,16.0833,47.55,498,"TILCOR"
6498,11,1987,130,10030,14.6167,47.6833,513,"TILCOR"
6622,11,1987,130,3500,14.8333,48.4,608,"TILCOR"
6673,11,1987,130,12510,13.1333,47.3167,600,"TILCOR"
6549,11,1987,131,15202,12.5333,47,975,"TILCOR"
6575,11,1987,132,10620,16.1333,47.5167,579,"TILCOR"
6581,11,1987,132,640,15.1333,48.8667,560,"TILCOR"
6709,11,1987,132,13820,16.5333,47.4333,237,"TILCOR"
6558,11,1987,135,1900,15.25,48.7333,500,"TILCOR"
6695,11,1987,135,500,15.0333,48.95,559,"TILCOR"
6698,11,1987,135,503,15.0333,48.9667,570,"TILCOR"
6635,11,1987,138,12220,12.5667,47.25,803,"TILCOR"
6685,11,1987,138,11500,10.75,47.5,870,"TILCOR"
6507,11,1987,139,9020,12.1167,47.5167,594,"TILCOR"
6613,11,1987,139,13730,16.2,47.45,769,"TILCOR"
6646,11,1987,139,15810,13.8667,47.1333,1122,"TILCOR"
6527,11,1987,142,12625,13.35,47.4167,963,"TILCOR"
6556,11,1987,144,15210,12.45,47,1198,"TILCOR"
