"x","predicted","conf.low","conf.high","group"
-0.46,0.35646077803082,0.352327893753307,0.360690302619842,"AESHIP"
-0.46,0.381412941409166,0.375408801943984,0.387361871820063,"ALNGLU"
-0.46,0.369239684910562,0.36477047364829,0.373474657269059,"BETPEN"
-0.46,0.120713163176435,0.117600586631387,0.123822472294814,"FAGSYL"
-0.46,0.0626391735558973,0.0597259245272783,0.0655575166583457,"FRAEXC"
-0.46,0.0861284507203151,0.0834204013841106,0.0887872745252531,"QUEROB"
0.54,0.385831499858149,0.381100358869282,0.39034230593987,"AESHIP"
0.54,0.423742703950857,0.417811952452834,0.429947137066254,"ALNGLU"
0.54,0.410250152198475,0.405683751265083,0.414861141224106,"BETPEN"
0.54,0.0998704126182469,0.0968323299255293,0.10290857711626,"FAGSYL"
0.54,0.0461950048377365,0.0437757856314009,0.0486699525358851,"FRAEXC"
0.54,0.0699472708565411,0.0673922806773955,0.0724827963845699,"QUEROB"
