"","species","cc","mean","sd"
"1","AESHIP","before",102.204896763081,12.4357274954104
"14","AESHIP","after",95.347116607983,12.0893405466846
"157001","ALNGLU","before",102.814379883878,14.8135152820127
"157003","ALNGLU","after",94.900444914321,14.7078058416384
"248217","BETPEN","before",101.310438173893,11.7616843051088
"248377","BETPEN","after",95.4444183899286,11.2487929139315
"403630","FAGSYL","before",109.070777265066,9.97842438914222
"403689","FAGSYL","after",103.745674497116,9.62933460644718
"532884","FRAEXC","before",119.356588624249,11.7888429509642
"532892","FRAEXC","after",113.484287550267,11.5322117172168
"625589","QUEROB","before",115.852264613231,11.3057516259669
"625652","QUEROB","after",109.597462686567,10.9535414143901
