"year","month","day","Tmin","lat","long"
2012,1,2,-8.49999981001019,47.3,11.4667
2012,1,3,-8.69999980553985,47.3,11.4667
2012,1,4,-5.21999988332391,47.3,11.4667
2012,1,5,-5.25999988242984,47.3,11.4667
2012,1,6,-5.70999987237155,47.3,11.4667
2012,1,7,-7.55999983102083,47.3,11.4667
2012,1,8,-7.5799998305738,47.3,11.4667
2012,1,9,-8.28999981470406,47.3,11.4667
2012,1,10,-4.78999989293516,47.3,11.4667
2012,1,11,-6.57999985292554,47.3,11.4667
2012,1,12,-4.95999988913536,47.3,11.4667
2012,1,13,-2.03999995440245,47.3,11.4667
2012,1,14,-5.24999988265336,47.3,11.4667
2012,1,15,-3.06999993138015,47.3,11.4667
2012,1,16,-4.11999990791082,47.3,11.4667
2012,1,17,-5.66999987326562,47.3,11.4667
2012,1,18,-6.8299998473376,47.3,11.4667
2012,1,19,-8.39999981224537,47.3,11.4667
2012,1,20,-11.5999997407198,47.3,11.4667
2012,1,21,-12.1599997282028,47.3,11.4667
2012,1,22,-13.1399997062981,47.3,11.4667
2012,1,23,-13.8499996904284,47.3,11.4667
2012,1,24,-15.1399996615946,47.3,11.4667
2012,1,25,-17.7099996041507,47.3,11.4667
2012,1,26,-12.2299997266382,47.3,11.4667
2012,1,27,-7.18999983929098,47.3,11.4667
2012,1,28,-9.28999979235232,47.3,11.4667
2012,1,29,-9.43999978899956,47.3,11.4667
2012,1,30,-10.7699997592717,47.3,11.4667
2012,1,31,-13.0899997074157,47.3,11.4667
2012,2,1,-12.1499997284263,47.3,11.4667
2012,2,2,-7.52999983169138,47.3,11.4667
2012,2,3,-7.19999983906746,47.3,11.4667
2012,2,4,-4.28999990411103,47.3,11.4667
2012,2,5,-2.38999994657934,47.3,11.4667
2012,2,6,-3.2699999269098,47.3,11.4667
2012,2,7,-1.92999995686114,47.3,11.4667
2012,2,8,-6.85999984666705,47.3,11.4667
2012,2,9,-9.09999979659915,47.3,11.4667
2012,2,10,-7.8099998254329,47.3,11.4667
2012,2,11,-6.11999986320734,47.3,11.4667
2012,2,12,-3.4999999217689,47.3,11.4667
2012,2,13,-4.78999989293516,47.3,11.4667
2012,2,14,-5.84999986924231,47.3,11.4667
2012,2,15,-6.05999986454844,47.3,11.4667
2012,2,16,-10.5399997644126,47.3,11.4667
2012,2,17,-3.96999991126359,47.3,11.4667
2012,2,18,-2.30999994836748,47.3,11.4667
2015,1,2,-3.39999992400408,46.95,14.4167
2012,1,2,-7.19999983906746,47.4,16.25
2012,1,3,-9.51999978721142,47.4,16.25
2012,1,4,-3.87999991327524,47.4,16.25
2012,1,5,-3.93999991193414,47.4,16.25
2012,1,6,-6.22999986074865,47.4,16.25
2012,1,7,-4.11999990791082,47.4,16.25
2012,1,8,-5.24999988265336,47.4,16.25
2012,1,9,-3.07999993115664,47.4,16.25
2012,1,10,-2.6399999409914,47.4,16.25
2012,1,11,-3.24999992735684,47.4,16.25
2012,1,12,-7.16999983973801,47.4,16.25
