"species","lat","long","elev","intercept","confint","slope","confslope"
"AESHIP",45.8333,13.9333,130,-0.225793030825007,-0.96662798497414,-0.00612000720852706,-0.0829213699832975
"AESHIP",47.5,11.2833,870,0.111222264049212,-0.774825003186582,0.00328257245990811,-0.126421859964822
"AESHIP",47.7333,10.3167,680,-0.594131415537117,-1.26297823782869,-0.0423248547301544,-0.103357216908252
"AESHIP",47.8167,12.65,610,-0.750960779225763,-1.44721040696397,-0.0232990165101317,-0.081234631539721
"AESHIP",48,11.3333,590,-0.525022303265803,-1.31935060912822,0.0161453306748559,-0.0360346668261233
"AESHIP",48.0667,12.7667,390,-1.31158159755684,-2.22212597377117,0.0343751399400005,-0.055842383999673
"AESHIP",48.0833,12.3833,600,-0.690682729991645,-1.80206045754164,-0.156678636995052,-0.44802882469411
"AESHIP",48.4333,8.2,390,-0.623141756072044,-1.34303234586854,-0.0123019285202425,-0.0670401893253405
"AESHIP",48.45,10.2667,450,-0.258965033441209,-0.886988593864236,0.0317230127819274,-0.0163621923491712
"AESHIP",48.4833,9.41667,460,0.267212361248088,-0.402689733104455,0.00277574956992412,-0.0530492431233252
"AESHIP",48.8,8.31667,150,-1.15306025965274,-1.90909460084533,0.0434075394749386,-0.0137046800165723
"AESHIP",48.8,9.8,320,0.686502811004348,-0.241322243458364,-0.122353998110227,-0.25352064259893
"AESHIP",48.85,13.3333,560,0.550469499968741,-0.11507667340342,-0.00906775118781042,-0.058493197178882
"AESHIP",48.9,10.9333,550,-0.143395852925003,-0.791839828812257,-0.07760344995061,-0.143771977170526
"AESHIP",49.1167,7.56667,280,-2.66566970619111,-4.04690928621749,0.0240143925036291,-0.0875580004201701
"AESHIP",49.1333,10.1833,460,-0.182843651497958,-0.809466395637827,-0.0163508019763621,-0.064494734652107
"AESHIP",49.1333,12.7333,480,-0.11202521134549,-0.735697491276714,0.0136055498932853,-0.0332457202280242
"AESHIP",49.2167,12.7667,480,-0.938230918120011,-1.62378601275309,0.0410880637563911,-0.00742690085039473
"AESHIP",49.2667,9.4,250,-0.653926467406554,-1.50825484880479,6.00247409780539e-18,-0.105966394038758
"AESHIP",49.3,8.35,110,-2.58555344649205,-4.49544880072207,0.0270198105614418,-0.289298729490029
"AESHIP",49.3167,12.75,420,-0.0411508225712824,-0.664866311137179,-0.0180714170063256,-0.0657276742568548
"AESHIP",49.4333,12.5833,530,-0.614849323953029,-1.26650583593781,0.00442098464461228,-0.0438559450891782
"AESHIP",49.4667,8.61667,100,-1.72521327859052,-3.05939146427739,0.126395281446436,-0.0744431894475613
"AESHIP",49.8667,11.9,460,-0.352640658673125,-0.987624030215475,-0.0199019968029224,-0.0697943294833499
"AESHIP",49.9333,11.2833,400,-0.266359094952877,-0.895939787348001,-0.0139839958291286,-0.0622997993208328
"AESHIP",49.9833,7.96667,119.507936507937,-0.516509161480733,-1.16472433059994,-0.0259145766320665,-0.0788062555136056
"AESHIP",50.0167,11.95,600,-1.1098934043416,-1.85009817893587,0.0210991927218558,-0.0316828980589848
"AESHIP",50.1167,11.6167,370,0.408814668775283,-0.225691670254471,-0.0188618637357408,-0.0658149606528997
"AESHIP",50.15,10.4333,290,-0.00805858024487414,-0.631867047879081,-0.0222390803661269,-0.0702403114685922
"AESHIP",50.2,6.41667,450,-1.3793318867321,-2.14809872138211,0.0220061266719198,-0.0308816147777891
"AESHIP",50.3167,11.9167,500,0.53316882951087,-0.109930669524104,-0.0182678185981047,-0.0654229487477014
"AESHIP",50.3333,12.2333,485,-2.09507981021918,-3.28576688430142,0.0880462081679557,0.0159148687225831
"AESHIP",50.4667,9.31667,460,-2.28639582263793,-3.37866741001493,0.0270482329902375,-0.0416052614412954
"AESHIP",50.5167,8.81667,170,-0.0760748358924996,-0.699397338714713,-0.00596725519162515,-0.0527684622115665
"AESHIP",50.65,10.6,400,-0.369450055244045,-1.22185724117355,-0.0446425735676938,-0.164212546699751
"AESHIP",50.7,10.8667,520,-1.05546496074936,-2.03807256195051,-0.0284617569433265,-0.170674359879184
"AESHIP",50.7167,7.36667,220,-0.976647770787297,-1.97508066755929,-0.0302559640812339,-0.186314533216188
"AESHIP",50.8833,12.0833,200,-0.850603268284702,-1.77655559808151,0.0465483460309926,-0.052579165913653
"AESHIP",50.9,13.6667,325,-0.467344859980679,-1.21198812511502,0.00363886251396799,-0.0604576963912091
"AESHIP",50.9667,8.1,310,-1.5448865860931,-2.86390905148849,-0.306567008283662,-0.92637103385561
"AESHIP",51.1167,10.2667,200,-1.36787645369154,-2.44350757333593,0.121120430344708,-0.0203844312982417
"AESHIP",51.2167,7.85,250,-0.505935108026945,-1.31381497806912,-0.0615319254387644,-0.156511896259066
"AESHIP",51.2333,11.6833,125,-0.444841869578853,-1.33175542473679,-0.0674159913251593,-0.198783677738351
"AESHIP",51.3167,12.6,140,-0.896102852050163,-1.97069121684304,0.0220416135293785,-0.149268536701348
"AESHIP",51.3333,7.71667,370,-1.68552370106389,-2.79249715055223,0.0611928055270847,-0.033461179585741
"AESHIP",51.45,8.35,320,-1.20956501217742,-1.93934006431332,0.0384467915747307,-0.0112727506936361
"AESHIP",51.6333,6.18333,20,-2.27416700204152,-3.375560909059,0.0317757638921188,-0.04190611273387
"AESHIP",51.6667,8.35,75,0.256585800763421,-0.414471542977725,-0.0155817671945149,-0.0725588108260331
"AESHIP",51.8333,7.3,65,-1.50142620364571,-2.29764760075648,0.0640419421616035,0.0118692758696955
"AESHIP",52.2,8.6,70,-0.820122605499939,-1.57965846889535,0.0485452440829248,-0.0208099781755988
"AESHIP",52.2667,9.35,95,-0.45431783398426,-1.42534326136684,0.0050506591874729,-0.155626742182446
"AESHIP",52.4,9.11667,65,-1.04695796624863,-1.86775940445575,-0.0641101558622368,-0.167703883105719
"AESHIP",52.4,9.45,50,-0.659546127456203,-1.31612106346193,0.00156085639050848,-0.0473582290879985
"AESHIP",52.6,6.85,15,-0.611176084643305,-1.48599674878629,-0.0176631693654162,-0.135335147444209
"AESHIP",52.75,12.1,25,-0.432457650037957,-1.28857126960578,-0.0300906918898442,-0.147060023129815
"AESHIP",52.8333,9.63333,45,-1.40725325910005,-2.3915167826224,0.0303608917022108,-0.0772752063142623
"AESHIP",53.1333,7.98333,5,-1.17142127601451,-2.04330076835964,-0.035826862424574,-0.118465091574538
"AESHIP",53.25,7.91667,8,-1.59970129486162,-2.52069435846616,0.029272363627636,-0.0466277396372099
"AESHIP",53.35,7.11667,1,-6.278350503124,-12.3386305845047,0.171154293140609,-0.118914055284661
"AESHIP",53.4667,12.0333,55,-1.27617512712768,-2.26088741626091,-0.0297450512204906,-0.151681859420086
"AESHIP",53.7667,12.6167,45,-0.857401667737788,-1.95483103830569,-0.120122307334719,-0.374548883432876
"AESHIP",53.9,13.05,20,-0.644360967424204,-1.76901555861837,0.0277787409561327,-0.20228493147904
"AESHIP",53.9667,9.01667,2,-1.64280354198113,-2.8466491495566,-0.010512814639136,-0.191925164806043
"AESHIP",54.0167,10.1667,45,-1.62611425737791,-2.62258708326439,-0.0657891300553308,-0.20407496852989
"AESHIP",54.1,10.8167,10,-2.21292885173182,-3.26444762150779,0.0165925241226926,-0.0538284054927302
"AESHIP",54.4167,9.51667,15,-2.597546566013,-3.98049876997957,0.0163752867164003,-0.0738163752920711
