"species","lat","long","elev","intercept","confint","slope","confslope"
"AESHIP",45.8333,13.9333,130,0.49400299850075,0.300944349371438,-0.00262368815592205,-0.0225361674045215
"AESHIP",47.5,11.2833,870,0.625,0.39197891515163,-0.0073529411764706,-0.0414333198944308
"AESHIP",47.7333,10.3167,680,0.390490000750458,0.237063056310487,-0.0064079442046475,-0.0180809438161493
"AESHIP",47.8167,12.65,610,0.12950412510871,-0.00112225534391547,0.00864980060015825,-0.00128776409507198
"AESHIP",48,11.3333,590,0.359509327400978,0.163056996706183,0.00993251685120417,-0.00321018560477654
"AESHIP",48.0667,12.7667,390,0.218673218673219,0.0525507032240214,0.00149556671295801,-0.0163919044554872
"AESHIP",48.0833,12.3833,600,0.136612021857923,-0.0152391995164202,-0.0163934426229508,-0.0455722295010163
"AESHIP",48.4333,8.2,390,0.242616878566423,0.0845412446256197,0.00320352387626389,-0.0083489852792264
"AESHIP",48.45,10.2667,450,0.428959627329193,0.270322047571954,0.00861095426312817,-0.0032544639525724
"AESHIP",48.4833,9.41667,460,0.618492656932449,0.448908853814503,-0.00395069755608012,-0.0180390718877225
"AESHIP",48.8,8.31667,150,0.138403401039207,0.00142749032837206,0.0114312706660368,0.000152852663298534
"AESHIP",48.8,9.8,320,0.522504576289437,0.28899592207763,-0.0114676429417465,-0.0420629640774343
"AESHIP",48.85,13.3333,560,0.545176219295123,0.383450411613017,0.00671311600467883,-0.00547973489789583
"AESHIP",48.9,10.9333,550,0.399727691518649,0.238287364515931,0.000416282391254849,-0.0114941340711596
"AESHIP",49.1167,7.56667,280,0.100411039342337,-0.0148308327846614,0.00221830756181902,-0.0083348181354258
"AESHIP",49.1333,10.1833,460,0.495341614906832,0.335686536350139,-0.0051171654432524,-0.0170586882541439
"AESHIP",49.1333,12.7333,480,0.5,0.340565071443767,0.00568181818181818,-0.00624323834265087
"AESHIP",49.2167,12.7667,480,0.272127329192547,0.1217584658439,0.0086815358554489,-0.00256541743885587
"AESHIP",49.2667,9.4,250,0.302631578947368,0.0978981707867942,0.0131578947368421,-0.0122361592058988
"AESHIP",49.3,8.35,110,-5.44331621827277e-17,-0.133872599119018,0.021978021978022,-0.00187461608770659
"AESHIP",49.3167,12.75,420,0.531832298136646,0.371790175526898,-0.0057523997741389,-0.0177228718388227
"AESHIP",49.4333,12.5833,530,0.347437888198758,0.190849642559708,0.007128740824393,-0.00458339589008176
"AESHIP",49.4667,8.61667,100,0.0209790209790209,-0.151505051365136,0.037962037962038,0.00722983303883009
"AESHIP",49.8667,11.9,460,0.314829192546584,0.165296228560988,-0.000282326369282896,-0.011466757936113
"AESHIP",49.9333,11.2833,400,0.440217391304348,0.281069978513834,-0.00222332015810277,-0.0141268717225927
"AESHIP",49.9833,7.96667,119.507936507937,0.216226708074534,0.0772230729363666,0.00409373235460191,-0.00630315006721119
"AESHIP",50.0167,11.95,600,0.324328177531696,0.163628038210823,0.00723989641737886,-0.00495736245581355
"AESHIP",50.1167,11.6167,370,0.477484472049689,0.31653246583737,-0.00105872388481084,-0.0130972513843333
"AESHIP",50.15,10.4333,290,0.36917701863354,0.213010098614742,0.000705815923207233,-0.0109748074216301
"AESHIP",50.2,6.41667,450,0.28027950310559,0.141139684129742,-0.00367024280067758,-0.0140773111960209
"AESHIP",50.3167,11.9167,500,0.571040372670807,0.412869451766425,0.00275268210050819,-0.00907783201200527
"AESHIP",50.3333,12.2333,485,0.208254893625635,0.0239437814634178,0.0134207809558511,-0.000845200925543552
"AESHIP",50.4667,9.31667,460,0.140423862041404,0.0162935516056226,0.0031056573521021,-0.00597691321364769
"AESHIP",50.5167,8.81667,170,0.345885093167702,0.190159801746776,0.00352907961603614,-0.00811851178253864
"AESHIP",50.65,10.6,400,0.378510378510378,0.160775506671772,0.0138808559861191,-0.0145664373193625
"AESHIP",50.7,10.8667,520,0.408459214501511,0.186765037636319,-0.00568982880161127,-0.035471790115351
"AESHIP",50.7167,7.36667,220,0.134259259259259,-0.023061501452685,-0.00217864923747276,-0.0251875160477423
"AESHIP",50.8833,12.0833,200,0.165646613922476,-0.0302365812581718,0.0243319898492312,0.0023743267818107
"AESHIP",50.9,13.6667,325,0.310064509654146,0.128544433272137,0.0116418459685648,-0.00407099680143007
"AESHIP",50.9667,8.1,310,0.235412474849095,0.00129580751346622,0.0229376257545271,-0.0159470362067642
"AESHIP",51.1167,10.2667,200,0.37962962962963,0.146067187153121,0.0136165577342048,-0.0205429969647652
"AESHIP",51.2167,7.85,250,0.250839361266548,0.0674187574753286,0.0109867612938447,-0.0046753466483317
"AESHIP",51.2333,11.6833,125,0.22992768403486,0.0353416415012109,0.00111255330984609,-0.0238861529699112
"AESHIP",51.3167,12.6,140,0.0785198555956678,-0.107963511653652,0.0199845281072718,-0.0106096093231334
"AESHIP",51.3333,7.71667,370,0.0482964436707286,-0.10089723120047,0.0195473762745586,0.00453176730363228
"AESHIP",51.45,8.35,320,0.294642857142857,0.143792899999319,0.00405844155844155,-0.00722449551149888
"AESHIP",51.6333,6.18333,20,0.09256806738731,-0.0109215460300683,0.00138998258047582,-0.00676788897557751
"AESHIP",51.6667,8.35,75,0.378419452887538,0.208336724229726,0.00445445970024106,-0.0100370759950248
"AESHIP",51.8333,7.3,65,0.180348270301008,0.0409183074508832,0.00944785733595592,-0.00096518627700156
"AESHIP",51.9667,7.63333,60,0.116114790286976,-0.0160947363090019,0.0151249732963042,0.00459305190950489
"AESHIP",52.2,8.6,70,0.148571428571429,-0.0047274657922852,0.0171428571428571,0.00255948751159063
"AESHIP",52.2667,9.35,95,0.0402414486921529,-0.127388466374191,0.027364185110664,-0.00047762835838842
"AESHIP",52.4,9.11667,65,0.135121807977217,0.00748787228045758,0.00073688701250491,-0.011112604949633
"AESHIP",52.4,9.45,50,0.179347826086956,0.0404879476813584,0.0123517786561265,0.00196564862826614
"AESHIP",52.6,6.85,15,0.163614163614164,-0.0182164191998637,0.0123385386543281,-0.0114178209840646
"AESHIP",52.75,12.1,25,0.33943833943834,0.135580830742244,-0.00713321765953345,-0.0337674186647871
"AESHIP",52.8333,9.63333,45,0.297029702970297,0.105269033753314,0.000565770862800559,-0.0220727779446022
"AESHIP",53.1333,7.98333,5,0.187000305969057,0.0421954374135152,-0.00165844097679513,-0.0128022953208166
"AESHIP",53.25,7.91667,8,0.18972340517056,0.0386913172046353,0.00455972813696391,-0.00931570994133991
"AESHIP",53.35,7.11667,1,-0.00390454238365855,-0.0523313569102084,0.00341771648849501,-0.000998075791112241
"AESHIP",53.4667,12.0333,55,0.213114754098361,0.0366690216004904,0.00168137873055907,-0.0169262511783068
"AESHIP",53.7667,12.6167,45,0.356643356643357,0.110120186837989,-0.013986013986014,-0.0579100730009274
"AESHIP",53.9,13.05,20,0.142857142857143,-0.0858926627568871,0.012987012987013,-0.0347106186962662
"AESHIP",53.9667,9.01667,2,0.115740740740741,-0.0415800199712035,0.00217864923747277,-0.0208302175727968
