"long","lat","year","lat.long","pre.bb"
29.3167,61.8,"1950","61.8 29.3167",-8.78055535929484
27.05,62.6333,"1950","62.6333 27.05",-9.06566646403323
14.5,52.6167,"1950","52.6167 14.5",1.55033329868068
14.3167,53.4667,"1950","53.4667 14.3167",1.26122219403171
14.4167,52.7,"1950","52.7 14.4167",1.65277774083532
14.4333,51.1833,"1950","51.1833 14.4333",1.49811107762572
12.8667,50.5333,"1950","50.5333 12.8667",0.626777763768203
11.1333,52.5333,"1950","52.5333 11.1333",2.43522216779076
13.8667,47.1333,"1950","47.1333 13.8667",-2.7636666048939
10.4167,47.85,"1950","47.85 10.4167",1.26599997170269
7.11667,49.2,"1950","49.2 7.11667",3.50277769948459
13.2,52.2,"1950","52.2 13.2",1.94055551218076
13.1667,54.0833,"1950","54.0833 13.1667",1.73666662784914
13.3333,51.8333,"1950","51.8333 13.3333",1.64377774103648
12.4333,51,"1950","51 12.4333",1.81633329273512
9.2,47.7,"1950","47.7 9.2",2.7869999377057
13.1833,52.1,"1950","52.1 13.1833",1.94055551218076
12.9667,51.2667,"1950","51.2667 12.9667",2.17277772921241
12.7833,50.6667,"1950","50.6667 12.7833",0.626777763768203
10.85,48.8333,"1950","48.8333 10.85",1.14699997436255
12.7,54.4333,"1950","54.4333 12.7",1.68066662910084
13.45,51.15,"1950","51.15 13.45",1.87288884702656
14.75,51.4667,"1950","51.4667 14.75",1.52233329930653
11.35,50.9667,"1950","50.9667 11.35",1.51122218844377
9.86667,49.8333,"1950","49.8333 9.86667",2.68499993998557
10.5,48.3833,"1950","48.3833 10.5",2.13399995230138
10.1333,47.65,"1950","47.65 10.1333",0.5611110985693
13.1,51.3,"1950","51.3 13.1",2.16866661819319
12.85,50.7,"1950","50.7 12.85",0.626777763768203
11.0333,52.5667,"1950","52.5667 11.0333",2.43522216779076
12.8833,50.75,"1950","50.75 12.8833",0.626777763768203
11.0333,51.6833,"1950","51.6833 11.0333",1.03122219917261
11.2167,51.6167,"1950","51.6167 11.2167",1.03122219917261
11.2333,50.3,"1950","50.3 11.2333",0.232222217031651
10.7167,49.1667,"1950","49.1667 10.7167",1.46033330069234
10.9833,48.8167,"1950","48.8167 10.9833",1.14699997436255
