"species","lowclean","highclean","estclean","Jvar","termclean"
"AESHIP",0.121161882775685,0.164134843977474,0.142770840626606,7.8,"nao.z"
"AESHIP",-0.50073730262026,-0.452981029184827,-0.476879481367306,10.8,"mat.z"
"AESHIP",0.376891533935404,0.426911337861423,0.401841717950051,9.8,"dist.z"
"AESHIP",0.164098456907779,0.218298176965376,0.191393518769802,8.8,"elev.z"
"AESHIP",-0.0835923912067022,-0.0452730209376862,-0.0644503372373975,6.8,"space.z"
"AESHIP",0.33245557571075,0.374016520982642,0.353078715672301,5.8,"cc.z"
"ALNGLU",0.014145698720152,0.126643109858884,0.0699616349943934,7.75,"nao.z"
"aaBETPEN",0.007394851773401,0.109908407452861,0.0586046081041308,7.7,"nao.z"
"FAGSYL",0.20820720216801,0.318289550634659,0.263539043047508,7.65,"nao.z"
"zFRAEXC",0.104013707592647,0.243631322637622,0.173984879976252,7.6,"nao.z"
"QUEROB",0.160729439167734,0.279595373792586,0.220107717719892,7.55,"nao.z"
"ALNGLU",-0.398585044476469,-0.271264316900241,-0.334798101903926,10.75,"mat.z"
"aaBETPEN",-0.553896553565905,-0.44053509653258,-0.497162922308506,10.7,"mat.z"
"FAGSYL",-0.597788142893034,-0.476892222185402,-0.537451605597713,10.65,"mat.z"
"zFRAEXC",-0.236616863398308,-0.074313855306697,-0.155623365016865,10.6,"mat.z"
"QUEROB",-0.43677315560664,-0.30696626133228,-0.37244530161774,10.55,"mat.z"
"ALNGLU",0.267611370038796,0.401062802583118,0.334150962816144,9.75,"dist.z"
"aaBETPEN",0.354146369310924,0.473379907586573,0.414108685444189,9.7,"dist.z"
"FAGSYL",0.335677634242296,0.464021681053212,0.39965376066839,9.65,"dist.z"
"zFRAEXC",0.577541174751535,0.73830782949565,0.656973750318841,9.6,"dist.z"
"QUEROB",0.234660315535327,0.373611572016094,0.303966286779883,9.55,"dist.z"
"ALNGLU",0.140024965252084,0.286611065171853,0.213077165678131,8.75,"elev.z"
"aaBETPEN",0.158473342152568,0.285872266147057,0.222251486408013,8.7,"elev.z"
"FAGSYL",0.12361945955174,0.26034742146249,0.192222077180443,8.65,"elev.z"
"zFRAEXC",-0.268164906093509,-0.087420333500328,-0.176191385668104,8.6,"elev.z"
"QUEROB",0.034888804940917,0.185728425547989,0.110256529302681,8.55,"elev.z"
"ALNGLU",-0.0993110378207017,0.000162164904447502,-0.0496965922178107,6.75,"space.z"
"aaBETPEN",-0.118387005027933,-0.0267623940015409,-0.0725153762863547,6.7,"space.z"
"FAGSYL",-0.155115574991385,-0.0573724647801694,-0.106210940006157,6.65,"space.z"
"zFRAEXC",-0.0768160355670389,0.0486744566897324,-0.0140436878586005,6.6,"space.z"
"QUEROB",-0.0987329827059813,0.0064202839331833,-0.0465252896991312,6.55,"space.z"
"ALNGLU",0.358937319211712,0.467939498092794,0.412840323416217,5.75,"cc.z"
"aaBETPEN",0.359114502262976,0.459357419940466,0.40923898081315,5.7,"cc.z"
"FAGSYL",-0.022343101585262,0.08329805306521,0.030802073997432,5.65,"cc.z"
"zFRAEXC",-0.233470501452219,-0.099141553785579,-0.166275984796731,5.6,"cc.z"
"QUEROB",-0.112330308191168,0.00386629622211399,-0.054390233523865,5.55,"cc.z"
"aaall",0.102608797032938,0.207033768059014,0.154828120744797,8,"nao.z"
"aaall",-0.454066177093436,-0.337158796907005,-0.395726796302009,11,"mat.z"
"aaall",0.357754732969047,0.479549188432678,0.41844919399625,10,"dist.z"
"aaall",0.0588233537852631,0.191572836965739,0.125501565278494,9,"elev.z"
"aaall",-0.105325837886624,-0.0123584956986722,-0.0589070372175753,7,"space.z"
"aaall",0.113727247659465,0.214889372419608,0.164215645929751,6,"cc.z"
"aaall",-0.847698906392544,-0.805672944923777,-0.826589558839811,2,"nao.z:cc.z"
"aaall",0.395947078121733,0.44380846478503,0.420034988011463,5,"mat.z:cc.z"
"aaall",-0.148706077624729,-0.0983432827107921,-0.123725598792307,4,"dist.z:cc.z"
"aaall",-0.0266019851451186,0.0262187988424103,-5.28383303065742e-05,3,"elev.z:cc.z"
"aaall",-0.0661620149415059,-0.0280088692389268,-0.0470581457539185,1,"space.z:cc.z"
