"x","predicted","conf.low","conf.high","group"
-1.5,0.000134474580850969,6.80464581576869e-05,0.000212965859999902,"AESHIP"
-1.5,7.58931867752371e-06,4.59614768420724e-08,6.33897568416787e-05,"ALNGLU"
-1.5,0.000137819585701454,7.36724037860373e-05,0.000222048483191331,"BETPEN"
-1.5,1.18872626327235e-05,1.58643298124352e-06,3.74069449900006e-05,"FAGSYL"
-1.5,6.7981980213011e-06,5.90155112389667e-08,6.20142942035012e-05,"FRAEXC"
-1.5,5.79112665593151e-06,7.05878375371627e-07,2.05393357900049e-05,"QUEROB"
-1,0.000147846162012586,8.77894318807434e-05,0.000213332843967142,"AESHIP"
-1,8.93662675144119e-06,2.55451516640871e-07,4.35591001103457e-05,"ALNGLU"
-1,0.00017484725509742,0.000105058864808831,0.000251310233029119,"BETPEN"
-1,9.83845909034883e-06,2.04349049807764e-06,2.54294781204141e-05,"FAGSYL"
-1,8.3605956144306e-06,2.19311175971426e-07,4.24614285294315e-05,"FRAEXC"
-1,6.4413316466478e-06,1.04724736837056e-06,1.79517173725633e-05,"QUEROB"
-0.5,0.00016186590655194,0.000112866571366298,0.000222256267132719,"AESHIP"
-0.5,1.06546635378281e-05,1.14263029018798e-06,3.28940293664737e-05,"ALNGLU"
-0.5,0.000220452098450426,0.000150758851391887,0.000293467113188178,"BETPEN"
-0.5,8.33050235511592e-06,2.33489233261206e-06,1.89573634275644e-05,"FAGSYL"
-0.5,1.00046729990933e-05,7.9200248495309e-07,3.25540599077787e-05,"FRAEXC"
-0.5,7.14604358744626e-06,1.64806028385383e-06,1.65091431335893e-05,"QUEROB"
0,0.000177780919854676,0.00012788105987425,0.000237565516159321,"AESHIP"
0,1.23474285335045e-05,2.81113762693108e-06,3.26550165363003e-05,"ALNGLU"
0,0.000278446423526017,0.000207757616155722,0.00035705171727341,"BETPEN"
0,7.02190950723245e-06,1.67705553807791e-06,1.48527972104871e-05,"FAGSYL"
0,1.21116509629896e-05,1.42173454024724e-06,3.1134001707599e-05,"FRAEXC"
0,7.96836700115995e-06,2.07872547338688e-06,1.74160209421837e-05,"QUEROB"
0.5,0.000195465624008077,0.000135850761137132,0.00026462479019513,"AESHIP"
0.5,1.47577597168883e-05,1.10358969045505e-06,4.40366571536977e-05,"ALNGLU"
0.5,0.000350887646430753,0.000255532223469948,0.000459358046141814,"BETPEN"
0.5,5.90946971154809e-06,1.15204359712617e-06,1.37216280207395e-05,"FAGSYL"
0.5,1.46484195865188e-05,1.4917467791163e-06,4.4605531098727e-05,"FRAEXC"
0.5,8.88185518270116e-06,2.19033271889298e-06,2.09044779508431e-05,"QUEROB"
1,0.000214715832900551,0.000129532749740778,0.000305394521461854,"AESHIP"
1,1.78766262963003e-05,5.48246460481722e-07,8.26260889010167e-05,"ALNGLU"
1,0.000443316510922737,0.000278270846721741,0.000611448388806559,"BETPEN"
1,4.98888222175099e-06,6.38163745862875e-07,1.35447269477749e-05,"FAGSYL"
1,1.75792449635033e-05,2.51769822765408e-07,8.19144667450289e-05,"FRAEXC"
1,9.81967892373686e-06,1.56232188145084e-06,2.6741339632856e-05,"QUEROB"
1.5,0.000236316444171585,0.000128207603251346,0.000371928868319334,"AESHIP"
1.5,2.13098906619935e-05,1.51943461616283e-07,0.000169691949109886,"ALNGLU"
1.5,0.000560211916128804,0.00029817163823185,0.0008497959455724,"BETPEN"
1.5,4.23870503986358e-06,3.52408412326647e-07,1.44584474725109e-05,"FAGSYL"
1.5,2.12547451338606e-05,3.85017074287023e-08,0.000175497620008127,"FRAEXC"
1.5,1.08991705664765e-05,1.07009031810912e-06,3.74657382877809e-05,"QUEROB"
