"x","predicted","conf.low","conf.high","group"
-1,0.0190721249239678,0.0168340797637779,0.0215298045409727,"AESHIP"
-1,0.0173951008312582,0.014669995271437,0.0205528547757174,"ALNGLU"
-1,0.0183888476015117,0.0162900814957263,0.0207596313695178,"BETPEN"
-1,0.00284299154848434,0.00209788290685455,0.00381742504006826,"FAGSYL"
-1,0.00133876398875633,0.000775926954548278,0.00224429295140486,"FRAEXC"
-1,0.00236727955225607,0.00164494614229356,0.00342277305727504,"QUEROB"
-0.5,0.0189492951349224,0.0176044881719505,0.0203786398846037,"AESHIP"
-0.5,0.0192366047651889,0.0172863327034571,0.0212640245408664,"ALNGLU"
-0.5,0.0195093068387304,0.0181233931740785,0.0210013272716403,"BETPEN"
-0.5,0.0036190530496052,0.00300573268853956,0.00436011844642584,"FAGSYL"
-0.5,0.00164619950682402,0.00116901347117647,0.0022573982579995,"FRAEXC"
-0.5,0.00234301311640123,0.0018586829647918,0.00293191437194393,"QUEROB"
0,0.0188255413421509,0.017998398522808,0.019696501144894,"AESHIP"
0,0.0212658971708716,0.0200699968865886,0.0225405266536175,"ALNGLU"
0,0.0206921726655126,0.0197722882326467,0.0216722917627574,"BETPEN"
0,0.00460925771282374,0.00411654815159975,0.00514838987291894,"FAGSYL"
0,0.00202198451572944,0.00166278015043041,0.00242691834439873,"FRAEXC"
0,0.00231772996553389,0.00199405321494258,0.00268358300088577,"QUEROB"
0.5,0.0187005567759393,0.0174297549948664,0.0200879240792562,"AESHIP"
0.5,0.0235092617368412,0.0215905682699911,0.0256370553972403,"ALNGLU"
0.5,0.0219438032733064,0.020462904464489,0.0234821422274663,"BETPEN"
0.5,0.00586347490028422,0.00504894470494839,0.00674742234234452,"FAGSYL"
0.5,0.00248541567094864,0.0019098932855249,0.0031784560777289,"FRAEXC"
0.5,0.00229053719021894,0.00184648206305164,0.00281457327471868,"QUEROB"
1,0.0185920211076418,0.0164676779002063,0.0208900000078829,"AESHIP"
1,0.0259921151198228,0.022393469286905,0.0302372307309334,"ALNGLU"
1,0.0232795336845965,0.0207675541295391,0.0260013896833833,"BETPEN"
1,0.00744645241027572,0.00584508588927115,0.00941041922039857,"FAGSYL"
1,0.00306213863425059,0.00196058614424006,0.0046676870932317,"FRAEXC"
1,0.00226627585155466,0.00160854469027042,0.00317722678615915,"QUEROB"
1.5,0.0184653263711103,0.0155231360182522,0.0218616151341868,"AESHIP"
1.5,0.0287471630391204,0.0230419836807127,0.0358025081308001,"ALNGLU"
1.5,0.024693406205552,0.0209661524388325,0.0289461580150547,"BETPEN"
1.5,0.00944899907064815,0.00660673804033915,0.0133515302465884,"FAGSYL"
1.5,0.00376943778998776,0.0019495903697014,0.00711017371035411,"FRAEXC"
1.5,0.00223675264089628,0.00136103245202988,0.00365825837561862,"QUEROB"
