"LONG","LAT","distance","distkm"
16.25,47.8833,14268360.239522,14268.360239522
16.0667,48.25,14220563.603078,14220.563603078
15.4,48.7833,14140378.9217927,14140.3789217927
13.4828,47.7192,14211281.3419343,14211.2813419343
16.45,47.8833,14273594.2998036,14273.5942998036
16.0167,46.9333,14374097.4448711,14374.0974448711
16.4,47.7333,14289892.3405267,14289.8923405267
13.8167,48.1,14176106.5572444,14176.1065572444
13.65,48.35,14141986.0088638,14141.9860088638
15.7333,46.85,14376453.6094652,14376.4536094652
15.8667,47.7,14279751.0932262,14279.7510932262
16.1167,47.3667,14325584.4473528,14325.5844473528
16.2667,47.1333,14357032.9300281,14357.0329300281
16.4569,48.2264,14233588.9597523,14233.5889597523
15.15,48.2333,14197830.3065388,14197.8303065388
16.3028,48.2508,14226698.4600116,14226.6984600116
15.7,48.4667,14185441.3775278,14185.4413775278
15.8167,48.1167,14229519.4855891,14229.5194855891
15.7167,48.5667,14174209.9181833,14174.2099181833
11.3833,47.2667,14201775.0116878,14201.7750116878
16.2817,48.1789,14234556.6698747,14234.5566698747
16.2831,48.1364,14239568.365753,14239.568365753
13.95,48.7,14109658.9338293,14109.6589338293
15.6167,48.4167,14189043.8292747,14189.0438292747
16.2167,47.7333,14285092.3645196,14285.0923645196
16.2167,47.45,14318402.3314788,14318.4023314788
16.3167,47.2333,14346544.7306402,14346.5447306402
16.4,47.0167,14374266.5339244,14374.2665339244
15.7,47.1,14346007.9285182,14346.0079285182
15.95,48.75,14159070.9368723,14159.0709368723
15.6333,47.2167,14330447.3325227,14330.4473325227
15.0667,48.1833,14201405.1816636,14201.4051816636
15.8333,48.3,14208503.6234956,14208.5036234956
15.7667,48.2,14218425.9331271,14218.4259331271
16.1833,48.7167,14169146.8831624,14169.1468831624
13.25,48.0167,14169488.4381928,14169.4884381928
14.4167,48.35,14163822.5252594,14163.8225252594
13.2167,48.2,14146981.3441971,14146.9813441971
13.1667,47.6,14216136.9757244,14216.1369757244
16.3125,48.1664,14236828.5849338,14236.8285849338
13.0333,48.25,14135725.7456861,14135.7257456861
15.3333,48.25,14200875.8778952,14200.8758778952
14.8333,48.4,14169593.329624,14169.593329624
15.2,48.25,14197241.8405298,14197.2418405298
15.7667,48.1,14230139.3512323,14230.1393512323
16.55,48.7667,14172953.4563106,14172.9534563106
16.8333,48.6333,14195851.3645489,14195.8513645489
16.55,48.4167,14213775.4655165,14213.7754655165
16.4333,47.4167,14327979.4314444,14327.9794314444
14.15,47.8333,14216949.0779071,14216.9490779071
