PEP_ID,National_ID,LON,LAT,ALT,NAME
6714,428,7.56667,46.5,1350,Adelboden
6715,728,8.66667,46.8667,470,Altdorf
6716,630,9.41667,46.6,985,Andeer
6717,352,9.41667,47.3333,775,Appenzell
6718,1519,8.98333,45.9667,660,Arogno
6719,894,8.71667,46.2333,350,Aurigeno
6720,531,9.48333,47.0833,480,Azmoos
6721,983,7.58333,47.55,315,Basel-Binningen
6722,244,8.88333,47.3667,640,Bauma
6723,666,7.16667,47.2667,930,Bellelay
6724,1305,7.25,47.1333,490,Biel
6725,713,8.45,47.35,500,Birmensdorf
6726,287,6.9,46.4667,600,Blonay
6727,935,9.55,46.3333,825,Bondo
6728,1623,9.46667,47.15,450,Buchs
6729,841,6.01667,46.1833,400,Cartigny
6730,1291,6.9,47.05,800,Cernier
6731,884,8.6,46.3167,430,Cevio-Cavergno
6732,1460,6.23333,46.4,435,Changins
6733,829,6.83333,46.4667,655,Chardonne
6734,1595,6.98333,47.05,1150,Chaumont
6735,313,9.51667,46.85,600,Chur
6736,530,9.51667,46.85,600,Comprovasco
6737,1281,6.63333,46.9167,750,Couvet
6738,90,8.75,47.6833,410,Diessenhofen
6739,1012,8.75,47.6833,410,Domat
6740,104,7.61667,47.4833,300,Dornach
6741,987,8.75,47.1333,910,Einsiedeln
6742,486,9.16667,46.9167,1000,Elm
6743,1076,9.21667,47.25,900,EnnetbÌ_hl
6744,988,8.06667,46.9833,765,Entlebuch
6745,1392,7.93333,46.9,910,Escholzmatt
6746,1464,6.85,46.8333,450,Estavayer-le-Lac
6747,404,9.66667,46.9833,910,Fanas
6748,699,8.13333,46.4,1100,Fiesch
6749,343,9.18333,47.4167,630,Flawil
6750,1513,8.88333,47.55,405,Frauenfeld
6751,989,8.35,46.7333,1205,Gadmen
6752,461,7.88333,47.1667,610,Grossdietwil
6753,406,9.65,46.9833,650,GrÌ_sch
6754,131,8.81667,47.5333,460,Gundetswil
6755,338,8.45,47.7,430,Hallau
6756,1048,9.43333,47.45,800,Heiden
6757,1456,7.7,47.1833,450,Herzogenbuchsee
6758,657,7.56667,46.7167,720,HÌ¦fen
6759,985,8.58333,47.2667,450,Horgen
