PEP_ID,BBCH,YEAR,DAY
7230,60,1952,81
7230,60,1953,86
7230,11,1953,95
7230,60,1954,82
7230,11,1954,95
7230,60,1956,85
7230,11,1956,86
7230,60,1957,72
7230,60,1958,78
7230,60,1959,66
7230,60,1960,58
7230,60,1961,64
7230,60,1962,87
7230,60,1964,64
7230,60,1965,88
7230,60,1966,71
7230,60,1967,70
7230,60,1968,88
7230,60,1969,75
7230,11,1969,99
7230,60,1972,86
7230,60,1973,77
7230,11,1973,90
7230,60,1974,78
7230,60,1975,67
7230,11,1975,81
7230,60,1976,72
7230,11,1976,83
7230,60,1977,63
7230,60,1981,73
7230,11,1981,85
7230,60,1982,78
7230,11,1982,89
7230,60,1983,83
7230,11,1983,88
7230,60,1984,101
7230,11,1984,106
7230,60,1985,87
7230,11,1985,94
7230,60,1986,82
7230,11,1986,97
7230,60,1987,83
7230,11,1987,102
7230,11,1988,78
7230,60,1988,83
7230,60,1989,69
7230,11,1989,77
7230,60,1990,56
7230,11,1990,77
7230,60,1991,71
7230,11,1991,76
7230,60,1992,76
7230,11,1992,83
7230,60,1993,77
7230,60,1994,71
7230,11,1994,79
7230,60,1995,81
7230,11,1995,85
7230,60,1996,77
7230,11,1996,86
7230,60,1997,65
7230,11,1997,72
7230,60,1998,80
7230,60,1999,73
7230,11,1999,83
7230,60,2000,76
7230,11,2000,82
20650,7,2014,99
20650,61,2014,123
20650,92,2014,243
20650,95,2014,322
20650,7,2015,106
20650,61,2015,130
20650,87,2015,148
20650,92,2015,239
20650,97,2015,352
20650,11,2016,113
20650,92,2016,269
