PEP_ID,BBCH,YEAR,DAY
19528,11,1971,109
19528,60,1971,117
19527,11,1971,125
19526,11,1971,125
19526,60,1971,129
19527,60,1971,131
19528,11,1972,91
19527,11,1972,97
19526,11,1972,97
19527,60,1972,104
19528,60,1972,104
19528,86,1972,113
19526,60,1972,114
19526,86,1972,119
19527,86,1972,252
19528,94,1972,272
19526,94,1972,274
19527,94,1972,274
19528,60,1973,98
19528,11,1973,100
19527,11,1973,112
19526,11,1973,116
19527,60,1973,120
19526,60,1973,125
19527,86,1973,259
19526,86,1973,267
19528,86,1973,268
19527,94,1973,272
19526,94,1973,278
19528,94,1973,303
19528,11,1974,92
19526,11,1974,93
19527,11,1974,94
19528,60,1974,105
19527,60,1974,114
19526,60,1974,128
19528,86,1974,245
19527,86,1974,270
19526,86,1974,272
19527,94,1974,278
19528,94,1974,285
19526,94,1974,288
19528,11,1976,86
19529,11,1976,99
19525,11,1976,106
19526,11,1976,112
19527,11,1976,119
19529,60,1976,119
19528,60,1976,123
19526,60,1976,131
19525,60,1976,131
19527,60,1976,134
19528,86,1976,240
19526,94,1976,259
19529,86,1976,269
19527,86,1976,270
19525,86,1976,272
19529,94,1976,274
19526,86,1976,275
19528,94,1976,286
19527,94,1976,286
19525,94,1976,304
19528,11,1977,70
19525,11,1977,77
19526,11,1977,87
19527,11,1977,87
19529,11,1977,101
19526,60,1977,101
19527,60,1977,101
19528,60,1977,115
19525,60,1977,115
19529,60,1977,115
19529,86,1977,217
19525,86,1977,217
19528,86,1977,217
19526,86,1977,271
19527,86,1977,271
19527,94,1977,273
19526,94,1977,273
19528,94,1977,288
19529,94,1977,288
19525,94,1977,288
19528,11,1978,92
19527,11,1978,105
19525,11,1978,110
19528,60,1978,110
19529,11,1978,111
19526,11,1978,112
19527,60,1978,117
19529,60,1978,127
19529,86,1978,257
19525,86,1978,258
19528,86,1978,263
19526,94,1978,281
19525,94,1978,293
19528,94,1978,301
19528,11,1979,79
19525,11,1979,84
19527,11,1979,96
19529,11,1979,99
19526,11,1979,102
19528,60,1979,107
19529,60,1979,121
19525,60,1979,122
19527,60,1979,129
19526,60,1979,132
19528,86,1979,264
19526,86,1979,268
19525,86,1979,268
19527,86,1979,270
19529,86,1979,271
19527,94,1979,280
19526,94,1979,283
19525,94,1979,288
19529,94,1979,293
19528,94,1979,303
19525,11,1980,90
19528,11,1980,92
19526,11,1980,106
19527,11,1980,108
19529,11,1980,108
19528,60,1980,113
19529,60,1980,125
19527,60,1980,129
19525,60,1980,131
19526,60,1980,134
19527,86,1980,270
19526,94,1980,271
19529,86,1980,274
19528,86,1980,279
19525,86,1980,284
19527,94,1980,289
19529,94,1980,291
19525,94,1980,299
19528,94,1980,302
19528,11,1981,86
19525,11,1981,90
19526,11,1981,92
19529,11,1981,94
19528,60,1981,99
19527,11,1981,105
19528,65,1981,105
19525,60,1981,112
19525,65,1981,118
19529,60,1981,121
19529,65,1981,126
19527,60,1981,130
19526,60,1981,136
19527,65,1981,143
19526,65,1981,144
19525,86,1981,248
19526,86,1981,260
19529,86,1981,261
19528,86,1981,261
19526,94,1981,269
19527,86,1981,270
19526,97,1981,278
19527,94,1981,281
19529,94,1981,285
19525,94,1981,293
19529,97,1981,295
19527,97,1981,296
19528,94,1981,303
19525,97,1981,306
19528,97,1981,329
19528,11,1982,88
19528,60,1982,108
19525,11,1982,110
19526,11,1982,111
19528,65,1982,114
19527,11,1982,120
19529,11,1982,125
19526,60,1982,130
19525,60,1982,130
19527,60,1982,132
19529,60,1982,132
19526,65,1982,135
19529,65,1982,135
19525,65,1982,140
19527,65,1982,142
19529,86,1982,255
19528,86,1982,262
19526,86,1982,263
19525,86,1982,267
19527,86,1982,271
19526,94,1982,274
19527,94,1982,283
19526,97,1982,288
19529,94,1982,289
19525,94,1982,293
19525,97,1982,302
19527,97,1982,303
19528,94,1982,310
19529,97,1982,314
19528,97,1982,324
19528,11,1983,90
19525,11,1983,95
19527,11,1983,101
19528,60,1983,102
19525,60,1983,105
19526,11,1983,110
19525,65,1983,110
19528,65,1983,112
19529,11,1983,113
19527,60,1983,115
19529,60,1983,117
19526,60,1983,118
19529,65,1983,120
19526,65,1983,121
19527,65,1983,125
19529,86,1983,253
19526,86,1983,263
19528,86,1983,263
19525,86,1983,266
19527,86,1983,270
19526,94,1983,273
19529,94,1983,278
19526,97,1983,278
19529,97,1983,290
19525,94,1983,298
19528,94,1983,303
19527,94,1983,303
19525,97,1983,308
19527,97,1983,312
19528,97,1983,316
19528,11,1984,86
19528,60,1984,97
19528,65,1984,102
19525,11,1984,106
19529,11,1984,110
19526,11,1984,117
19527,11,1984,124
19525,60,1984,124
19525,65,1984,128
19527,60,1984,131
19529,60,1984,138
19526,60,1984,138
19527,65,1984,141
19526,65,1984,141
19529,65,1984,142
19525,86,1984,264
19528,86,1984,269
19527,86,1984,270
19529,86,1984,271
19526,86,1984,275
19526,94,1984,285
19529,94,1984,288
19527,94,1984,289
19526,97,1984,289
19525,94,1984,299
19529,97,1984,305
19528,94,1984,309
19527,97,1984,310
19525,97,1984,310
19528,97,1984,325
19528,11,1985,92
19525,11,1985,98
19528,60,1985,101
19528,65,1985,105
19529,11,1985,106
19526,11,1985,114
19525,60,1985,115
19525,65,1985,120
19529,60,1985,124
19529,65,1985,130
19527,11,1985,131
19526,60,1985,131
19526,65,1985,134
19527,60,1985,140
19527,65,1985,143
19528,86,1985,253
19529,86,1985,268
19527,86,1985,269
19525,86,1985,273
19528,94,1985,274
19526,86,1985,276
19526,94,1985,278
19529,94,1985,280
19526,97,1985,283
19527,94,1985,293
19529,97,1985,294
19525,94,1985,298
19525,97,1985,304
19527,97,1985,314
19528,97,1985,322
19528,11,1987,97
19525,11,1987,100
19528,60,1987,100
19528,65,1987,106
19529,11,1987,114
19526,11,1987,119
19525,60,1987,120
19525,65,1987,130
19529,60,1987,131
19529,65,1987,134
19527,11,1987,135
19526,60,1987,135
19526,65,1987,139
19527,60,1987,150
19527,65,1987,166
19527,86,1987,263
19525,86,1987,268
19526,86,1987,274
19528,86,1987,283
19527,94,1987,288
19525,94,1987,293
19526,94,1987,293
19529,86,1987,299
19525,97,1987,302
19526,97,1987,304
19529,94,1987,306
19528,94,1987,306
19527,97,1987,314
19528,97,1987,327
