PEP_ID,BBCH,YEAR,DAY
7230,11,1953,93
7230,11,1954,111
7230,11,1955,98
7230,11,1969,91
7230,11,1972,90
7230,11,1973,97
7230,11,1974,104
7230,11,1977,99
7230,11,1980,86
7230,11,1981,98
7230,11,1982,95
7230,11,1983,98
7230,11,1984,106
7230,11,1985,87
7230,11,1986,97
7230,11,1987,100
7230,11,1989,86
7230,11,1990,83
7230,11,1991,89
7230,11,1992,93
7230,11,1993,98
7230,11,1994,86
7230,11,1995,85
7230,11,1996,86
7230,11,1997,74
7230,11,1998,79
7230,11,1999,83
7230,11,2000,88
