PEP_ID,National_ID,LON,LAT,ALT,NAME
7188,1,23.7,54.1,119,Veisejai
7189,2,24.05,54.1,137,Liskiava
7190,3,23.5167,54.2167,118,Lazdijai
7191,4,23.8167,54.2167,152,Seirijai
7192,5,24.55,54.25,110,Varena
7193,6,23.15,54.55,110,Keturvalakiai
7194,9,23.1667,54.95,74,Luksiai
7195,10,23.5,54.9667,83,Lekeciai
7196,11,24.95,55.05,126,Sirvintos
7197,12,24.2667,55.0667,65,Jonava
7198,13,22.3,55.1167,33,Jurava
7199,14,21.9667,55.15,35,Piktupenai
7200,15,23.9,55.1667,54,Kruopiai
7201,16,23.4667,55.2667,91,Ariogala
7202,17,21.4667,55.35,11,Silute
7203,18,26.3,55.3667,180,Daugeliskiai
7204,19,23.8667,55.4,82,Akademija
7205,20,23.15,55.4667,60,Radviliskis
7206,21,23.6167,55.5667,118,Grinkiskis
7207,22,26.3167,55.5167,164,Dukstas
7208,23,22.9167,55.6167,128,Kelme
7209,24,24.9667,55.8167,101,Kupiskis
7210,25,24.9,55.9167,81,Salamiestis
7211,26,24.1667,56.0167,78,Joniskelis
7212,27,24.15,56.1,77,Gruziai
7213,28,22.8,56.15,93,Papile
7214,29,24.75,56.2,67,Birzai
7215,30,25.05,56.25,83,Virskupenai
8015,7,25.1,54.6333,142,Traku Voke
8016,8,23.5,54.4833,197,Kazlu Ruda
