PEP_ID,BBCH,YEAR,DAY
19297,60,1961,66
19297,11,1961,96
19297,60,1962,87
19297,11,1962,118
19297,60,1963,85
19297,11,1963,108
19297,60,1964,86
19297,11,1964,111
19297,60,1965,79
19297,11,1965,100
19297,60,1966,53
19297,11,1966,107
19297,60,1967,70
19297,11,1967,108
19297,60,1968,66
19297,11,1968,107
19297,60,1969,71
19297,11,1969,117
19297,60,1970,92
19297,11,1970,113
19297,60,1971,84
19297,11,1971,110
19297,60,1972,77
19297,11,1972,101
19297,60,1973,89
19297,11,1973,116
19297,60,1974,79
19297,11,1974,101
19297,60,1975,65
19297,11,1975,106
19297,60,1976,63
19297,11,1976,115
19297,60,1977,67
19297,11,1977,101
19297,60,1978,55
19297,11,1978,121
19297,60,1979,69
19297,11,1979,113
19297,60,1980,75
19297,11,1980,107
19297,60,1981,72
19297,11,1981,99
19297,60,1982,72
19297,11,1982,121
19297,60,1983,67
19297,11,1983,102
19297,60,1984,79
19297,11,1984,111
19297,60,1985,90
19297,11,1985,110
19297,60,1986,88
19297,11,1986,109
19297,60,1987,89
19297,11,1987,110
19297,60,1988,47
19297,11,1988,109
19297,60,1989,64
19297,11,1989,94
19297,60,1990,55
19297,11,1990,90
19297,60,1991,73
19297,11,1991,92
19297,60,1992,77
19297,11,1992,95
19297,60,1993,74
19297,11,1993,108
19297,60,1994,63
19297,11,1994,90
19297,60,1995,80
19297,11,1995,102
19297,60,1996,85
19297,11,1996,116
19297,60,1997,66
19297,11,1997,104
19297,60,1998,55
19297,11,1998,100
19297,60,1999,70
19297,11,1999,102
19297,60,2000,67
19297,11,2000,107
19297,60,2001,61
19297,11,2001,114
19297,60,2002,67
19297,11,2002,110
19297,60,2003,72
19297,11,2003,108
19297,60,2004,75
19297,11,2004,110
19297,60,2005,79
19297,11,2005,109
19297,60,2006,74
19297,11,2006,111
19297,60,2007,61
19297,11,2007,104
19297,60,2008,64
19297,11,2008,107
19297,60,2009,77
19297,11,2009,104
19297,60,2010,75
19297,11,2010,115
19297,60,2011,72
19297,11,2011,110
