PEP_ID,BBCH,YEAR,DAY
20451,11,1955,122
20451,95,1955,292
20451,11,1956,112
20451,11,1957,89
20449,11,1957,92
20450,11,1957,92
20449,11,1958,92
20451,60,1961,79
20451,60,1962,88
20451,11,1963,117
20451,60,1964,72
20451,65,1964,80
20451,11,1964,119
20451,60,1965,68
20451,65,1965,76
20451,11,1965,123
20451,60,1966,61
20451,65,1966,70
20451,11,1966,115
20451,60,1967,70
20451,60,1968,83
20451,65,1968,92
20451,11,1968,111
20451,60,1969,65
20451,65,1969,74
20451,11,1969,117
20451,11,1970,117
20451,60,1973,55
20451,65,1973,63
20451,11,1973,107
20451,60,1974,40
20451,65,1974,50
20451,60,1975,59
20451,65,1975,70
20451,11,1975,107
20451,60,1976,80
20451,65,1976,92
20451,11,1976,116
20451,60,1977,42
20451,65,1977,50
20451,11,1977,92
20451,60,1978,55
20451,65,1978,59
20451,60,1979,50
20451,65,1979,59
20451,11,1979,114
20451,60,1980,47
20451,65,1980,55
20451,60,1981,67
20451,65,1981,72
20451,11,1981,124
20451,60,1982,68
20451,65,1982,78
20451,11,1982,114
20451,60,1983,68
20451,65,1983,79
20451,11,1983,111
20451,60,1984,119
20451,11,1984,125
20451,94,1984,300
20451,95,1984,306
20451,60,1985,64
20451,65,1985,98
20451,11,1985,111
20451,60,1986,97
20451,65,1986,106
20451,11,1986,115
20451,11,1987,122
20451,60,1988,33
20451,65,1988,40
20451,11,1988,111
20451,60,1989,90
20451,11,1989,96
20451,65,1989,106
20451,60,1990,68
20451,11,1990,86
20451,65,1990,106
20452,60,1993,77
20452,65,1993,90
20452,11,1993,99
20451,11,1993,120
20451,60,1993,165
20451,60,2002,78
20451,65,2002,90
20451,11,2002,109
20451,86,2002,231
20451,94,2002,273
20451,95,2002,302
20451,60,2004,80
20451,65,2004,92
20451,11,2004,106
20451,60,2005,99
20451,65,2005,109
20451,11,2005,114
20451,60,2006,83
20451,65,2006,94
20451,11,2006,99
20451,60,2007,68
20451,11,2007,90
20451,65,2007,90
20451,60,2008,70
20451,11,2008,92
20451,65,2008,92
20451,11,2009,104
20451,60,2010,59
20451,65,2010,73
20452,11,2010,90
20451,11,2010,114
20451,60,2011,68
20451,65,2011,75
20452,11,2011,83
20451,11,2011,120
20451,94,2011,313
20451,95,2011,323
20452,11,2012,116
20451,11,2012,122
20452,94,2012,315
20452,95,2012,320
20451,60,2014,112
20451,96,2014,300
20451,97,2014,330
