PEP_ID,BBCH,YEAR,DAY
7881,60,1868,55
7929,60,1868,56
7801,60,1868,58
7811,60,1868,58
7612,60,1868,66
8001,60,1868,69
8001,11,1868,97
7929,11,1868,101
7639,11,1868,112
7801,11,1868,116
7686,60,1869,34
7801,60,1869,40
7929,60,1869,41
7881,60,1869,44
7811,60,1869,44
7582,60,1869,46
7881,11,1869,101
7612,11,1869,102
7929,11,1869,103
7532,11,1869,104
7801,11,1869,105
7639,11,1869,114
7699,60,1870,64
7801,60,1870,80
7706,11,1870,99
7475,60,1870,105
7532,60,1870,106
7811,11,1870,108
7881,60,1870,108
7929,11,1870,109
7801,11,1870,114
7797,60,1870,118
7639,11,1870,121
7706,60,1870,181
7929,60,1871,60
7706,60,1871,60
7881,60,1871,62
7686,60,1871,62
7801,60,1871,64
8001,60,1871,64
7811,60,1871,65
7699,60,1871,67
7475,60,1871,70
7881,11,1871,101
7706,11,1871,104
7929,11,1871,107
7797,11,1871,112
7801,11,1871,112
7612,11,1871,122
7797,60,1872,39
7801,60,1872,40
7868,60,1872,42
7881,60,1872,43
7612,60,1872,56
7699,60,1872,64
7706,11,1872,70
7923,60,1872,80
7811,11,1872,86
7929,11,1872,92
7923,11,1872,92
7811,60,1872,92
7801,11,1872,94
7881,11,1872,94
7532,11,1872,97
7612,11,1872,99
7923,60,1873,2
7706,60,1873,11
7923,11,1873,28
7612,60,1873,43
7686,60,1873,46
7881,60,1873,59
7475,60,1873,63
7801,60,1873,63
7929,60,1873,65
7797,60,1873,71
7706,11,1873,88
7929,11,1873,91
7811,11,1873,92
7475,11,1873,92
7881,11,1873,93
7639,11,1873,94
7801,11,1873,98
7532,11,1873,99
7801,60,1874,56
7929,60,1874,59
7923,11,1874,96
7532,11,1874,97
7881,11,1874,98
7929,11,1874,101
7475,11,1874,105
7801,11,1874,111
7706,11,1874,113
7881,60,1875,51
7801,60,1875,74
7929,60,1875,75
7881,11,1875,102
7475,11,1875,109
7929,11,1875,110
7706,11,1875,114
7532,11,1875,115
7801,11,1875,124
7706,60,1875,129
7923,60,1875,133
7929,60,1876,54
7801,60,1876,61
7881,60,1876,62
7923,11,1876,85
7929,11,1876,96
7639,60,1876,96
7475,11,1876,98
7699,11,1876,100
7532,11,1876,100
7801,11,1876,116
7535,60,1877,11
7881,60,1877,14
7612,60,1877,16
7475,60,1877,39
7699,60,1877,45
7801,60,1877,47
7475,11,1877,99
7929,11,1877,101
7801,11,1877,126
7475,60,1878,14
7801,60,1878,51
7881,60,1878,54
7699,11,1878,90
7475,11,1878,98
7532,11,1878,104
7881,11,1878,106
7873,11,1878,110
7662,60,1879,46
7881,60,1879,67
7873,60,1879,94
7699,11,1879,103
7881,11,1879,109
7532,11,1879,121
7873,11,1879,140
7884,60,1880,53
7662,60,1880,57
7881,60,1880,58
7699,60,1880,66
7873,60,1880,72
7699,11,1880,80
7532,11,1880,96
7881,11,1880,100
7669,60,1881,59
7662,60,1881,62
7881,60,1881,67
7669,11,1881,92
7881,11,1881,97
7639,60,1881,100
7873,11,1881,102
7923,60,1881,107
7923,60,1882,37
7669,60,1882,49
7881,60,1882,51
7569,60,1882,57
7699,60,1882,59
7873,60,1882,59
7669,11,1882,78
7881,11,1882,79
7873,11,1882,105
7669,60,1883,38
7662,60,1883,43
7881,60,1883,44
7569,60,1883,52
7923,60,1883,57
7665,11,1883,103
7873,11,1883,106
7881,11,1883,115
7662,60,1884,14
7923,60,1884,24
7669,60,1884,31
7699,60,1884,36
7660,60,1884,36
7881,60,1884,37
7884,60,1884,48
7873,11,1884,82
7934,11,1884,97
7881,11,1884,97
7669,60,1885,47
7884,60,1885,48
7569,60,1885,56
7873,60,1885,60
7881,11,1885,109
7699,60,1886,82
7669,60,1886,82
7569,60,1886,86
7884,60,1886,86
7669,11,1886,94
7873,60,1886,100
7873,11,1886,106
7962,60,1887,57
7669,60,1887,62
7881,60,1887,67
7873,60,1887,89
7697,11,1887,92
7569,11,1887,94
7669,11,1887,96
7873,11,1887,108
7881,11,1887,120
7962,60,1888,87
7699,60,1888,87
7881,60,1888,89
7873,60,1888,111
7669,11,1888,116
7873,11,1888,120
7881,11,1888,122
7699,60,1889,52
7669,60,1889,85
7881,60,1889,85
7873,60,1889,94
7669,11,1889,108
7990,60,1889,109
7962,60,1890,36
7881,60,1890,73
7873,60,1890,75
7873,11,1890,95
7669,11,1890,98
7699,11,1891,63
7669,11,1891,68
7881,11,1891,73
7701,11,1891,77
7873,11,1891,91
7640,11,1891,104
7962,60,1892,45
7881,60,1892,73
7873,60,1892,78
7669,60,1892,83
7640,11,1892,97
7669,11,1892,99
7873,11,1892,109
7881,11,1892,111
7962,60,1893,48
7881,60,1893,62
7881,11,1893,96
7962,60,1894,36
7669,60,1894,59
8000,60,1894,67
7873,60,1894,85
7640,11,1894,86
7669,11,1894,102
7962,60,1895,79
7669,60,1895,98
7640,11,1895,107
7881,11,1895,111
7905,11,1895,111
7473,11,1896,26
7990,60,1896,67
7669,60,1896,76
7873,60,1896,79
7640,11,1896,127
7669,60,1897,53
7873,60,1897,69
7669,11,1897,80
7640,11,1897,97
7990,60,1897,138
7962,60,1898,17
7873,60,1898,73
