PEP_ID,BBCH,YEAR,DAY
7811,11,1868,106
7801,11,1868,113
7929,11,1868,113
7929,60,1868,114
7801,60,1868,122
7801,11,1869,105
7929,11,1869,105
7929,60,1869,106
7612,11,1869,109
7612,60,1869,109
7801,60,1869,110
7699,11,1870,110
7929,11,1870,111
7706,11,1870,114
7929,60,1870,114
7801,60,1870,115
7801,11,1870,118
7475,60,1870,125
7706,11,1871,56
7706,60,1871,88
7801,11,1871,105
7811,11,1871,105
7929,60,1871,112
7929,11,1871,113
7612,60,1871,113
7801,60,1871,117
7475,11,1871,125
7475,60,1871,134
7801,11,1872,98
7923,11,1872,101
7801,60,1872,101
7929,11,1872,102
7706,11,1872,103
7612,11,1872,103
7881,60,1872,106
7797,11,1872,107
7797,60,1872,133
7923,60,1872,136
7923,11,1873,79
7706,11,1873,84
7811,11,1873,93
7929,60,1873,104
7929,11,1873,105
7801,11,1873,110
7801,60,1873,119
7923,60,1873,126
7923,60,1874,99
7929,11,1874,109
7929,60,1874,109
7801,11,1874,111
7475,11,1874,112
7923,11,1874,115
7801,60,1874,126
7911,11,1875,85
7706,60,1875,107
7706,11,1875,111
7801,11,1875,118
7929,11,1875,120
7929,60,1875,122
7612,60,1875,123
7828,11,1875,124
7612,11,1875,125
7990,60,1875,125
7801,60,1875,126
7797,60,1876,64
7923,60,1876,77
7929,11,1876,108
7706,11,1876,108
7923,11,1876,109
7929,60,1876,111
7801,11,1876,114
7475,11,1876,119
7801,60,1876,127
7923,60,1877,48
7801,11,1877,111
7929,11,1877,118
7797,11,1877,125
7801,60,1877,126
7929,11,1878,108
7475,11,1878,109
7934,11,1880,73
7797,11,1880,93
7929,11,1880,103
7929,60,1880,106
7669,11,1881,123
7669,11,1883,105
7934,11,1883,111
7929,60,1884,92
7934,11,1884,93
7934,60,1884,107
7881,60,1884,138
7697,60,1884,141
7934,60,1885,98
7929,60,1885,112
7692,11,1886,104
7962,60,1890,104
7640,11,1890,114
7640,11,1891,119
7640,11,1892,116
7640,11,1893,95
7962,60,1893,99
7729,60,1893,99
7962,11,1893,108
7640,11,1894,95
8000,11,1895,113
7640,11,1895,114
7640,11,1896,118
