PEP_ID,BBCH,YEAR,DAY
7153,10,1997,132
7155,10,1997,133
7156,10,1997,133
7154,10,1997,135
7158,10,1997,135
7159,10,1997,135
7160,10,1997,135
7163,10,1997,135
7165,10,1997,135
7170,10,1997,135
7171,10,1997,135
7154,11,1997,135
7156,11,1997,135
7158,11,1997,135
7161,10,1997,136
7153,11,1997,137
7164,10,1997,139
7169,10,1997,139
7166,10,1997,141
7155,11,1997,141
7172,10,1997,142
7159,11,1997,142
7163,11,1997,142
7170,11,1997,145
7161,11,1997,146
7165,11,1997,146
7167,10,1997,148
7173,10,1997,149
7160,11,1997,149
7164,11,1997,149
7169,11,1997,149
7171,11,1997,149
7168,10,1997,150
7167,11,1997,151
7168,11,1997,152
7173,11,1997,152
7180,10,1997,153
7166,11,1997,153
7172,11,1997,153
7175,10,1997,154
7177,10,1997,156
7186,10,1997,156
7174,10,1997,157
7174,11,1997,157
7175,11,1997,158
7183,10,1997,159
7178,10,1997,160
7177,11,1997,160
7180,11,1997,160
7186,11,1997,160
7183,11,1997,162
7178,11,1997,163
7155,10,1998,121
7156,10,1998,121
7153,10,1998,122
7158,10,1998,122
7159,10,1998,122
7154,10,1998,123
7160,10,1998,123
7157,10,1998,124
7153,11,1998,124
7158,11,1998,124
7161,10,1998,126
7155,11,1998,126
7156,11,1998,127
7154,11,1998,128
7161,11,1998,129
7162,10,1998,131
7169,10,1998,131
7170,10,1998,131
7171,10,1998,131
7157,11,1998,131
7159,11,1998,131
7163,10,1998,132
7164,10,1998,132
7160,11,1998,132
7165,10,1998,134
7172,10,1998,134
7169,11,1998,134
7163,11,1998,135
7164,11,1998,135
7167,10,1998,136
7173,10,1998,136
7165,11,1998,136
7170,11,1998,136
7168,10,1998,137
7166,10,1998,138
7174,10,1998,138
7162,11,1998,138
7167,11,1998,138
7171,11,1998,138
7168,11,1998,139
7172,11,1998,139
7175,10,1998,140
7173,11,1998,140
7166,11,1998,145
7180,10,1998,147
7174,11,1998,149
7186,10,1998,150
7177,10,1998,156
7186,11,1998,157
7175,11,1998,159
