PEP_ID,BBCH,YEAR,DAY
19300,60,1961,85
19291,60,1961,86
19300,11,1961,88
19291,11,1961,90
19297,11,1961,90
19295,60,1961,93
19297,60,1961,93
19293,11,1961,97
19295,11,1961,97
19293,60,1961,101
19291,94,1961,279
19295,94,1961,283
19297,94,1961,283
19300,94,1961,283
19291,95,1961,293
19297,95,1961,295
19295,95,1961,296
19300,95,1961,296
19291,11,1962,102
19291,60,1962,106
19300,60,1962,106
19300,11,1962,107
19295,60,1962,107
19297,60,1962,107
19295,11,1962,110
19297,11,1962,111
19295,94,1962,283
19297,94,1962,284
19300,94,1962,289
19291,94,1962,291
19291,95,1962,301
19297,95,1962,301
19295,95,1962,302
19300,95,1962,303
19291,60,1963,101
19300,60,1963,101
19300,11,1963,103
19295,60,1963,104
19291,11,1963,105
19293,11,1963,106
19295,11,1963,106
19297,11,1963,106
19293,60,1963,112
19297,94,1963,286
19293,94,1963,292
19295,94,1963,292
19293,95,1963,295
19291,94,1963,296
19300,94,1963,296
19295,95,1963,306
19291,95,1963,307
19300,95,1963,309
19291,60,1964,98
19300,60,1964,99
19300,11,1964,100
19295,60,1964,102
19297,60,1964,102
19291,11,1964,103
19295,11,1964,106
19297,11,1964,106
19293,60,1964,110
19293,11,1964,114
19293,94,1964,278
19297,94,1964,283
19295,94,1964,287
19300,94,1964,288
19291,94,1964,290
19293,95,1964,294
19297,95,1964,294
19300,95,1964,298
19291,95,1964,301
19295,95,1964,304
19291,11,1965,94
19295,60,1965,95
19300,60,1965,95
19300,11,1965,96
19295,11,1965,97
19297,60,1965,101
19297,11,1965,102
19293,60,1965,108
19293,11,1965,111
19297,94,1965,290
19295,94,1965,293
19291,94,1965,295
19300,94,1965,296
19295,95,1965,302
19293,94,1965,303
19291,95,1965,306
19297,95,1965,306
19293,95,1965,308
19300,95,1965,308
19291,60,1966,93
19300,11,1966,94
19300,60,1966,94
19291,11,1966,95
19295,60,1966,95
19295,11,1966,97
19297,11,1966,101
19297,60,1966,105
19293,60,1966,107
19293,11,1966,110
19295,94,1966,288
19297,94,1966,291
19291,94,1966,292
19300,94,1966,293
19293,94,1966,300
19297,95,1966,302
19295,95,1966,303
19300,95,1966,303
19291,95,1966,304
19293,95,1966,305
19300,60,1967,90
19291,60,1967,93
19300,11,1967,94
19295,60,1967,94
19291,11,1967,97
19295,11,1967,97
19297,11,1967,103
19297,60,1967,103
19293,11,1967,109
19293,60,1967,111
19295,94,1967,286
19293,94,1967,291
19297,94,1967,291
19300,94,1967,291
19293,95,1967,294
19295,95,1967,298
19297,95,1967,306
19300,95,1967,306
19300,11,1968,91
19300,60,1968,92
19291,60,1968,94
19291,11,1968,95
19297,11,1968,98
19295,60,1968,98
19295,11,1968,100
19297,60,1968,100
19293,11,1968,114
19293,60,1968,117
19297,94,1968,288
19293,94,1968,289
19293,95,1968,294
19295,94,1968,298
19291,94,1968,299
19300,94,1968,300
19297,95,1968,301
19295,95,1968,307
19300,95,1968,309
19291,95,1968,315
19291,11,1969,101
19291,60,1969,104
19300,60,1969,105
19300,11,1969,106
19295,11,1969,110
19295,60,1969,113
19297,11,1969,116
19297,60,1969,116
19293,11,1969,121
19293,60,1969,125
19293,94,1969,285
19297,94,1969,288
19291,94,1969,293
19295,94,1969,293
19293,95,1969,293
19300,94,1969,294
19297,95,1969,297
19295,95,1969,303
19300,95,1969,305
19291,95,1969,314
19295,11,1970,109
19297,11,1970,110
19300,11,1970,110
19291,60,1970,110
19300,60,1970,110
19295,60,1970,111
19291,11,1970,112
19297,60,1970,113
19293,11,1970,126
19293,60,1970,126
19293,94,1970,289
19295,94,1970,292
19293,95,1970,294
19297,94,1970,295
19291,94,1970,298
19300,94,1970,300
19297,95,1970,301
19295,95,1970,302
19300,95,1970,309
19291,95,1970,314
19296,60,1971,99
19295,60,1971,100
19296,11,1971,101
19295,11,1971,102
19300,60,1971,102
19291,11,1971,105
19291,60,1971,105
19300,11,1971,106
19297,11,1971,107
19297,60,1971,107
19293,60,1971,125
19293,11,1971,127
19291,94,1971,288
19297,94,1971,288
19296,94,1971,290
19293,94,1971,291
19295,94,1971,295
19300,94,1971,297
19293,95,1971,297
19291,95,1971,298
19296,95,1971,301
19295,95,1971,304
19297,95,1971,309
19300,95,1971,309
19300,11,1972,88
19296,11,1972,90
19296,60,1972,90
19300,60,1972,90
19295,11,1972,94
19297,11,1972,94
19295,60,1972,95
19297,60,1972,95
19291,11,1972,99
19291,60,1972,100
19295,94,1972,279
19297,94,1972,279
19300,94,1972,284
19296,94,1972,288
19291,94,1972,289
19295,95,1972,289
19300,95,1972,294
19297,95,1972,297
19296,95,1972,301
19291,95,1972,302
19300,60,1973,95
19300,11,1973,98
19295,60,1973,98
19296,60,1973,98
19295,11,1973,102
19296,11,1973,102
19291,60,1973,102
19291,11,1973,104
19297,11,1973,118
19297,60,1973,120
19295,94,1973,285
19297,94,1973,290
19300,94,1973,290
19291,94,1973,291
19296,94,1973,293
19295,95,1973,295
19291,95,1973,303
19300,95,1973,303
19296,95,1973,306
19297,95,1973,310
19296,60,1974,80
19296,11,1974,84
