PEP_ID,BBCH,YEAR,DAY
8274,11,1974,93
8274,11,1975,82
8274,94,1975,282
8274,97,1975,287
8274,11,1976,85
8274,60,1976,113
8274,94,1976,298
8274,97,1976,316
8274,11,1977,105
8274,94,1977,287
8274,97,1977,294
8274,11,1978,125
8274,94,1978,285
8274,97,1978,304
8274,11,1979,113
8274,94,1979,298
8274,97,1979,327
8274,11,1980,112
8274,94,1980,267
8274,97,1980,302
8274,11,1981,98
8274,94,1981,269
8274,97,1981,303
8274,11,1982,97
8274,94,1982,271
8274,97,1982,288
8274,11,1983,109
8274,94,1983,285
8274,97,1983,292
8274,11,1984,107
8274,60,1984,124
8274,94,1984,270
8274,97,1984,288
8274,11,1985,102
8274,94,1985,268
8274,97,1985,288
8274,11,1986,127
8274,94,1986,268
8274,97,1986,289
8274,11,1987,100
8274,94,1987,268
8274,97,1987,274
8274,11,1988,87
8274,60,1988,91
8274,97,1988,273
8274,11,1990,82
8274,94,1990,275
8274,97,1990,281
8274,11,1991,92
8274,11,1992,77
8275,11,1996,95
8275,94,1996,264
8275,97,1996,300
8274,11,1997,105
8274,94,1997,281
8274,97,1997,290
