PEP_ID,BBCH,YEAR,DAY
7195,60,1960,118
7195,10,1960,121
7201,10,1960,126
8015,60,1960,126
7201,60,1960,127
8015,10,1960,130
8015,94,1960,251
8015,97,1960,296
8016,60,1961,106
7201,10,1961,108
7212,10,1961,110
7195,10,1961,112
8016,10,1961,114
7211,10,1961,115
7211,60,1961,115
7212,60,1961,116
8015,60,1961,117
8015,10,1961,119
7201,60,1961,127
7195,60,1961,144
7212,94,1961,232
8015,94,1961,240
8016,94,1961,253
7195,94,1961,256
7211,94,1961,271
7201,94,1961,275
8015,97,1961,284
7212,97,1961,295
7201,97,1961,303
7211,97,1961,307
8016,97,1961,307
7192,10,1962,101
7202,10,1962,111
7202,60,1962,111
7195,10,1962,112
7212,10,1962,113
8016,10,1962,113
7195,60,1962,113
8015,10,1962,114
8015,60,1962,114
7215,60,1962,115
7215,10,1962,118
7192,60,1962,118
8016,60,1962,118
7212,60,1962,119
7201,10,1962,123
7211,60,1962,125
7211,10,1962,130
7201,60,1962,140
7212,94,1962,244
8015,94,1962,262
7215,94,1962,263
8016,94,1962,266
7211,94,1962,270
7212,97,1962,282
7215,97,1962,291
8015,97,1962,299
8016,97,1962,305
7211,97,1962,309
7201,10,1963,105
7215,60,1963,115
7215,10,1963,121
7192,10,1963,122
7204,10,1963,122
7212,10,1963,122
7204,60,1963,122
7195,10,1963,123
7202,10,1963,123
8016,10,1963,123
7195,60,1963,123
8015,60,1963,123
8015,10,1963,124
7201,60,1963,124
7202,60,1963,125
7192,60,1963,126
7212,60,1963,126
7211,10,1963,127
7211,60,1963,131
7211,94,1963,258
8015,94,1963,261
7202,94,1963,268
8016,94,1963,270
7195,94,1963,275
7212,94,1963,283
7202,97,1963,283
7212,97,1963,290
8015,97,1963,293
7211,97,1963,308
8016,97,1963,309
7204,60,1964,121
7204,10,1964,122
7212,10,1964,123
7202,60,1964,123
7208,10,1964,124
8015,60,1964,124
7201,10,1964,125
7195,60,1964,125
7201,60,1964,125
8016,60,1964,125
7202,10,1964,126
8016,10,1964,126
7212,60,1964,126
7208,60,1964,128
7211,60,1964,128
7211,10,1964,129
7195,10,1964,130
8016,94,1964,237
8015,94,1964,245
7211,94,1964,254
7201,94,1964,263
7208,94,1964,263
7204,94,1964,267
7202,94,1964,273
8015,97,1964,283
7202,97,1964,287
7212,97,1964,290
7211,97,1964,301
7201,97,1964,303
7208,97,1964,303
8016,97,1964,310
7208,10,1965,120
7201,10,1965,125
7212,10,1965,126
7202,60,1965,126
7211,60,1965,126
7202,10,1965,128
7204,10,1965,128
8016,60,1965,128
7211,10,1965,129
7195,60,1965,129
8015,60,1965,129
7204,60,1965,130
7212,60,1965,130
8016,10,1965,132
7208,60,1965,132
8015,10,1965,136
7195,10,1965,138
7201,60,1965,147
7208,94,1965,242
8015,94,1965,263
7201,94,1965,270
7202,94,1965,277
7204,94,1965,277
7204,97,1965,277
7211,94,1965,279
7195,94,1965,288
7208,97,1965,288
8015,97,1965,297
7201,97,1965,300
7211,97,1965,301
7212,97,1965,304
7195,97,1965,307
8016,97,1965,312
7195,10,1966,119
8016,10,1966,120
7212,10,1966,121
7202,10,1966,122
7204,10,1966,122
7208,10,1966,122
7202,60,1966,122
8015,60,1966,122
8015,10,1966,123
7201,10,1966,124
7212,60,1966,124
7211,10,1966,125
7211,60,1966,127
7201,60,1966,150
7212,94,1966,240
7201,94,1966,246
8015,94,1966,250
8015,97,1966,284
7193,60,1967,105
7192,10,1967,114
8016,60,1967,116
7208,10,1967,117
7212,10,1967,117
8015,10,1967,119
7205,10,1967,120
7201,60,1967,120
7195,10,1967,121
7201,10,1967,121
8016,10,1967,121
8015,60,1967,121
7193,10,1967,122
7202,10,1967,122
7195,60,1967,122
7211,60,1967,122
7212,60,1967,122
7202,60,1967,124
7191,60,1967,125
7191,10,1967,126
7211,10,1967,127
7208,94,1967,248
8015,94,1967,260
8016,94,1967,262
7208,97,1967,273
7211,94,1967,274
7201,94,1967,278
7191,94,1967,283
7193,94,1967,283
7205,97,1967,291
8015,97,1967,292
7191,97,1967,297
8016,97,1967,299
7211,97,1967,300
7193,97,1967,302
7192,10,1968,110
