PEP_ID,BBCH,YEAR,DAY
20451,86,1951,252
20449,60,1953,70
20449,65,1953,74
20449,11,1953,79
20451,86,1953,259
20452,86,1953,268
20452,95,1953,319
20452,65,1954,105
20451,60,1954,121
20452,11,1954,123
20451,65,1954,127
20451,11,1954,129
20452,86,1954,260
20451,86,1954,267
20449,11,1955,79
20452,60,1955,79
20452,65,1955,92
20451,60,1955,94
20451,65,1955,101
20452,11,1955,107
20451,11,1955,122
20452,86,1955,240
20451,86,1955,262
20452,95,1955,312
20450,60,1956,54
20450,65,1956,62
20449,11,1956,92
20449,60,1956,101
20451,60,1956,102
20449,65,1956,106
20451,65,1956,110
20452,60,1957,70
20450,60,1957,71
20449,60,1957,71
20451,65,1957,80
20452,65,1957,86
20449,11,1957,96
20450,11,1957,96
20450,11,1958,50
20450,60,1958,69
20450,65,1958,74
20452,60,1958,79
20450,86,1958,222
20450,60,1959,32
20450,65,1959,35
20450,11,1959,42
20449,11,1959,60
20450,86,1959,201
20449,11,1960,69
20449,60,1960,74
20449,11,1961,62
20449,60,1962,84
20449,65,1962,88
20451,86,1962,252
20449,86,1962,254
20450,60,1963,66
20450,65,1963,73
20449,60,1963,93
20451,60,1963,94
20451,65,1963,96
20449,65,1963,98
20452,86,1963,230
20449,86,1963,244
20450,86,1963,273
20450,60,1964,81
20449,60,1964,82
20449,65,1964,85
20450,65,1964,88
20451,60,1964,90
20451,65,1964,101
20449,86,1964,245
20451,86,1964,249
20452,86,1964,252
20450,60,1965,79
20452,60,1965,81
20449,60,1965,83
20452,65,1965,89
20449,65,1965,91
20451,60,1965,97
20451,65,1965,104
20450,86,1965,226
20452,86,1965,254
20451,86,1965,262
20449,86,1965,262
20450,60,1966,59
20449,60,1966,68
20452,60,1966,68
20450,65,1966,68
20452,65,1966,73
20449,65,1966,76
20451,60,1966,81
20451,65,1966,94
20450,86,1966,229
20449,86,1966,244
20452,86,1966,245
20451,86,1966,270
20450,60,1967,48
20450,65,1967,63
20449,60,1967,73
20449,65,1967,81
20451,60,1967,99
20452,11,1968,75
20452,60,1968,81
20449,60,1968,86
20449,65,1968,91
20451,60,1968,101
20451,65,1968,106
20449,86,1968,238
20452,86,1968,246
20450,60,1969,50
20450,65,1969,54
20452,60,1969,75
20449,60,1969,78
20452,65,1969,88
20449,65,1969,89
20451,60,1969,94
20451,65,1969,101
20449,86,1969,236
20452,86,1969,247
20451,86,1969,257
20452,60,1970,78
20450,60,1970,86
20452,65,1970,86
20450,65,1970,89
20452,86,1970,231
20449,86,1970,248
20450,60,1971,31
20450,65,1971,40
20449,65,1971,91
20449,86,1971,273
20452,60,1972,62
20449,60,1972,68
20452,65,1972,74
20449,65,1972,76
20452,86,1972,239
20449,86,1972,245
20450,60,1973,68
20450,65,1973,73
20452,60,1973,74
20449,60,1973,76
20449,65,1973,85
20452,65,1973,86
20451,60,1973,92
20451,65,1973,99
20452,86,1973,233
20449,86,1973,236
20451,86,1973,262
20452,60,1974,45
20450,60,1974,51
20450,65,1974,55
20452,65,1974,56
20451,60,1974,73
20451,65,1974,83
20452,86,1974,235
20450,86,1974,237
20449,60,1975,69
20450,60,1975,73
20449,65,1975,80
20451,60,1975,90
20451,65,1975,99
20449,86,1975,247
20450,60,1976,61
20450,65,1976,85
20451,60,1976,106
20451,65,1976,111
20450,86,1976,223
20449,86,1976,252
20451,86,1976,294
20451,60,1977,73
20451,65,1977,83
20451,86,1977,257
20449,60,1978,62
20449,65,1978,75
20451,60,1978,78
20451,65,1978,86
20449,86,1978,263
20451,86,1978,265
20449,60,1979,62
20450,60,1979,73
20449,65,1979,73
20450,65,1979,76
20451,60,1979,83
20451,65,1979,99
20451,86,1979,243
20450,86,1979,245
20449,86,1979,254
20449,60,1980,75
20449,65,1980,85
20449,86,1980,253
20450,60,1981,62
20450,65,1981,65
20449,60,1981,77
20452,60,1981,79
20449,65,1981,86
20452,65,1981,86
20452,86,1981,249
20449,86,1981,254
20449,60,1982,74
20449,65,1982,85
20449,86,1982,251
20451,60,1983,99
20451,65,1983,109
20451,86,1983,257
20449,60,1984,77
20450,60,1984,80
20450,65,1984,84
20449,65,1984,91
20451,60,1984,111
20451,65,1984,122
20450,86,1984,245
20449,86,1984,259
20451,86,1984,284
20449,60,1985,90
20449,65,1985,101
20451,60,1985,109
20451,65,1985,120
20449,86,1985,251
20450,60,1987,78
20450,65,1987,88
20451,60,1987,109
20451,65,1987,120
20450,86,1987,237
20451,86,1987,292
20452,60,1989,73
20452,65,1989,78
20452,60,1990,50
20452,65,1990,55
20449,60,1990,78
20449,65,1990,90
20449,86,1990,238
20452,86,1990,252
20450,60,1993,59
20449,60,1993,73
20452,60,1993,73
20452,65,1993,78
20450,65,1993,83
20449,65,1993,88
20452,86,1993,273
20450,86,1993,343
20450,60,1994,56
20450,65,1994,62
20450,86,1994,332
20449,60,1997,73
20449,65,1997,88
20449,86,1997,253
20449,60,1998,45
20449,65,1998,59
20452,60,2004,85
20452,65,2004,90
20452,86,2004,259
20451,60,2005,104
20451,65,2005,120
20451,86,2005,267
