PEP_ID,BBCH,YEAR,DAY
8274,11,1970,97
8275,11,1970,121
8273,11,1970,124
8275,11,1971,119
8274,11,1971,120
8273,11,1971,121
8274,97,1971,269
8275,97,1971,301
8273,97,1971,326
8275,11,1972,115
8274,11,1972,121
8273,11,1972,128
8274,97,1972,301
8275,97,1972,305
8273,97,1972,314
8275,11,1973,124
8273,11,1973,125
8274,11,1973,128
8275,97,1973,282
8274,97,1973,287
8273,97,1973,291
8275,11,1974,113
8274,11,1974,124
8273,11,1974,126
8273,97,1974,267
8275,97,1974,284
8274,97,1974,285
8273,11,1975,108
8275,11,1975,117
8274,11,1975,118
8274,97,1975,280
8273,11,1976,107
8275,11,1976,116
8274,11,1976,119
8275,94,1976,264
8274,97,1976,317
8273,11,1977,109
8274,11,1977,119
8275,11,1977,123
8275,94,1977,276
8274,94,1977,290
8274,97,1977,293
8275,97,1977,294
8273,11,1978,113
8274,11,1978,127
8275,11,1978,133
8275,94,1978,305
8274,97,1978,316
8275,97,1978,324
8275,11,1979,124
8273,11,1979,124
8274,11,1979,139
8273,97,1979,278
8275,94,1979,297
8274,94,1979,301
8275,97,1979,303
8274,97,1979,309
8275,11,1980,118
8273,11,1980,119
8274,11,1980,127
8273,97,1980,266
8274,97,1980,307
8273,11,1981,99
8275,11,1981,117
8274,11,1981,128
8274,97,1981,308
8273,11,1982,108
8275,11,1982,117
8274,11,1982,127
8275,97,1982,301
8275,94,1982,303
8274,97,1982,307
8273,11,1983,110
8275,11,1983,115
8274,11,1983,125
8273,97,1983,262
8274,94,1983,294
8275,94,1983,301
8274,97,1983,307
8275,97,1983,314
8273,11,1984,114
8275,11,1984,114
8274,11,1984,116
8273,97,1984,279
8274,94,1984,292
8275,94,1984,301
8274,97,1984,304
8275,97,1984,316
8273,11,1985,108
8275,11,1985,110
8274,11,1985,122
8273,97,1985,277
8275,94,1985,295
8274,94,1985,312
8275,97,1985,316
8274,97,1985,323
8275,11,1986,106
8273,11,1986,125
8274,11,1986,129
8273,97,1986,286
8275,94,1986,294
8274,94,1986,300
8274,97,1986,310
8275,97,1986,320
8273,11,1987,107
8275,11,1987,108
8274,11,1987,120
8273,97,1987,286
8275,94,1987,296
8274,97,1987,301
8275,97,1987,318
8275,11,1988,92
8273,11,1988,110
8274,11,1988,126
8273,97,1988,281
8275,94,1988,282
8275,97,1988,293
8274,97,1988,307
8273,11,1989,98
8275,11,1989,105
8274,11,1989,106
8275,94,1989,284
8273,97,1989,291
8275,97,1989,307
8274,11,1990,107
8275,11,1990,108
8273,11,1990,111
8274,94,1990,271
8275,94,1990,275
8273,97,1990,285
8274,97,1990,286
8275,97,1990,315
8273,11,1991,105
8274,11,1991,115
8275,11,1991,116
8275,94,1991,267
8274,94,1991,274
8274,97,1991,283
8273,97,1991,288
8275,97,1991,293
8273,11,1992,109
8274,11,1992,110
8275,11,1992,112
8274,94,1992,264
8274,97,1992,271
8275,94,1992,274
8273,97,1992,297
8275,97,1992,310
8274,11,1993,104
8273,11,1993,108
8275,11,1993,115
8274,94,1993,270
8275,94,1993,274
8274,97,1993,284
8273,94,1993,291
8273,97,1993,305
8275,97,1993,310
8273,11,1994,103
8274,11,1994,107
8275,11,1994,115
8275,94,1994,272
8274,97,1994,274
8275,97,1994,309
8273,11,1995,113
8274,11,1995,116
8275,11,1995,119
8275,94,1995,273
8274,97,1995,275
8273,94,1995,290
8273,97,1995,307
8275,97,1995,308
8273,11,1996,102
8274,11,1996,120
8275,11,1996,122
8275,94,1996,263
8273,94,1996,293
8274,97,1996,296
8273,97,1996,304
8275,97,1996,307
8273,11,1997,110
8275,11,1997,112
8274,11,1997,114
8275,94,1997,259
8273,94,1997,294
8275,97,1997,301
8274,97,1997,303
8273,97,1997,306
8273,11,1998,110
8274,11,1998,125
8275,11,1998,128
8275,94,1998,273
8273,94,1998,289
8273,97,1998,297
8274,97,1998,300
8275,97,1998,303
8273,11,1999,110
8274,11,1999,112
8275,11,1999,115
8275,94,1999,266
8273,94,1999,294
8273,97,1999,303
8275,97,1999,309
8273,11,2000,102
8274,11,2000,103
8275,11,2000,109
8275,94,2000,264
8274,97,2000,278
8273,94,2000,298
8275,97,2000,301
8273,97,2000,312
8273,11,2001,101
8274,11,2001,109
8273,97,2001,294
8274,97,2001,295
8273,11,2002,103
8274,11,2002,112
8273,97,2002,296
8273,11,2003,108
8274,11,2003,114
8273,97,2003,297
8274,97,2003,307
8274,11,2004,114
8273,11,2004,116
8273,97,2004,292
8273,11,2005,110
8273,97,2005,270
8273,11,2006,118
8274,11,2006,120
8273,97,2006,289
8273,11,2007,114
8273,97,2007,270
8277,97,2007,312
8273,11,2008,96
8277,11,2008,122
8273,97,2008,305
8277,97,2008,311
8277,11,2009,122
8277,97,2009,296
