PEP_ID,BBCH,YEAR,DAY
20451,86,1951,287
20451,95,1951,308
20452,11,1954,111
20452,60,1954,138
20452,65,1954,146
20452,11,1955,103
20452,65,1955,117
20451,11,1955,118
20451,86,1955,252
20452,86,1955,279
20452,95,1955,298
20451,95,1955,306
20449,11,1956,111
20451,11,1956,130
20451,11,1958,126
20449,11,1959,134
20451,94,1962,272
20451,95,1962,318
20451,11,1963,109
20449,11,1963,120
20449,60,1963,129
20452,94,1963,283
20449,94,1963,290
20452,95,1963,306
20449,95,1963,309
20452,11,1964,110
20451,11,1964,113
20451,94,1964,254
20452,94,1964,283
20452,95,1964,297
20451,95,1964,299
20451,11,1965,124
20452,11,1965,127
20452,60,1965,133
20451,94,1965,267
20452,94,1965,281
20452,95,1965,304
20451,95,1965,304
20452,11,1966,101
20452,60,1966,107
20451,11,1966,113
20451,94,1966,274
20452,94,1966,279
20451,95,1966,311
20452,95,1966,313
20452,11,1967,98
20452,60,1967,109
20452,11,1968,104
20452,60,1968,111
20451,11,1968,115
20451,94,1968,272
20452,94,1968,276
20452,95,1968,304
20451,95,1968,310
20452,11,1969,115
20451,11,1969,117
20452,94,1969,278
20452,95,1969,301
20452,11,1970,113
20452,60,1970,123
20451,11,1970,124
20452,94,1970,280
20452,95,1970,298
20452,11,1971,114
20452,60,1971,125
20452,94,1971,283
20452,95,1971,297
20452,11,1972,107
20452,94,1972,287
20452,95,1972,304
20452,11,1973,106
20451,11,1973,120
20451,94,1973,257
20452,94,1973,282
20451,95,1973,292
20452,95,1973,300
20452,11,1974,72
20452,94,1974,284
20452,95,1974,301
20452,11,1975,113
20451,11,1975,114
20452,60,1975,120
20452,94,1975,259
20452,95,1975,282
20451,11,1976,125
20451,94,1976,277
20452,94,1976,289
20452,95,1976,304
20451,95,1976,305
20452,11,1977,109
20451,11,1977,112
20451,94,1977,262
20452,94,1977,279
20451,95,1977,292
20452,95,1977,298
20452,11,1978,114
20451,11,1978,116
20452,94,1978,280
20451,94,1978,283
20452,95,1978,303
20451,11,1979,121
20451,94,1979,262
20451,95,1979,285
20451,11,1983,115
20451,60,1983,195
20451,94,1983,262
20451,95,1983,282
20451,11,1985,114
20451,60,1985,128
20451,86,1985,259
20451,94,1985,270
20451,95,1985,297
20449,11,1986,104
20451,11,1986,105
20451,60,1986,140
20451,95,1986,268
20451,11,1987,123
20451,94,1987,252
20451,95,1987,304
20450,11,1988,97
20452,11,1988,127
20452,94,1988,299
20450,94,1988,303
20452,95,1988,319
20451,11,1989,112
20452,11,1989,113
20452,94,1989,267
20451,94,1989,277
20451,95,1989,306
20452,95,1989,307
20452,11,1990,114
20451,11,1990,118
20452,94,1990,257
20451,94,1990,268
20451,95,1990,318
20452,95,1990,323
20451,11,1993,127
20451,60,1993,144
20451,86,2001,262
20451,94,2001,282
20451,11,2002,120
20451,94,2002,282
20451,95,2002,292
20451,11,2004,116
20451,60,2004,121
20451,94,2004,284
20451,95,2004,294
20451,11,2005,114
20451,60,2005,119
20451,94,2005,282
20451,95,2005,291
20452,11,2006,109
20451,11,2006,114
20451,60,2006,119
20449,11,2006,124
20449,94,2006,277
20451,94,2006,282
20449,95,2006,287
20452,94,2006,292
20451,95,2006,292
20452,95,2006,297
20451,11,2007,104
20451,60,2007,109
20450,11,2008,97
20452,11,2008,101
20451,11,2008,106
20451,60,2008,116
20449,11,2008,121
20449,60,2008,130
20451,94,2008,280
20452,94,2008,289
20449,94,2008,290
20450,94,2008,300
20449,95,2008,310
20452,95,2008,315
20452,11,2009,104
20451,11,2009,114
20451,60,2009,119
20451,94,2009,282
20451,95,2009,291
20452,94,2009,292
20452,95,2009,308
20452,11,2010,114
20451,11,2010,121
20449,94,2010,282
20452,94,2010,292
20451,94,2010,292
20452,95,2010,297
20449,95,2010,297
20451,95,2010,323
20452,11,2011,108
20451,11,2011,114
20451,60,2011,159
20451,65,2011,169
20451,86,2011,262
20451,94,2011,292
20452,94,2011,297
20452,95,2011,308
20451,95,2011,323
20452,11,2012,122
20451,11,2012,126
20452,94,2012,310
20452,95,2012,320
20449,60,2014,130
20449,96,2014,291
20452,96,2014,305
20452,97,2014,309
20449,97,2014,310
