PEP_ID,BBCH,YEAR,DAY
19019,11,1972,113
17769,11,1972,115
19019,11,1973,118
19019,11,1974,106
19019,11,1976,109
19019,11,1977,118
19019,11,1979,128
19019,11,1980,113
9232,11,1980,123
19019,11,1981,106
9232,11,1981,132
15102,11,1981,133
19019,11,1982,110
9232,11,1982,121
19019,11,1983,116
9232,11,1983,121
15102,11,1983,124
19019,11,1984,115
9232,11,1984,118
19019,11,1985,117
9232,11,1985,129
15102,11,1985,130
9232,11,1986,124
19019,11,1986,126
15102,11,1986,133
9232,11,1987,117
19019,11,1988,115
9232,11,1988,116
15102,11,1988,125
14433,94,1988,284
17769,11,1989,122
9232,11,1989,123
12465,11,1989,130
19019,11,1990,112
9232,11,1990,120
17769,11,1991,116
9232,11,1991,128
15102,11,1992,115
9232,11,1992,124
19019,11,1993,107
15102,11,1993,108
9232,11,1993,118
12224,97,1993,316
12224,11,1994,106
9232,11,1994,118
12909,94,1994,295
9232,11,1995,115
12224,11,1996,110
19019,11,1996,115
15102,11,1996,119
9232,11,1996,120
12224,86,1996,191
12224,97,1996,277
19019,11,1997,106
15102,11,1997,112
9232,11,1997,117
12224,86,1997,153
12224,11,1998,114
9232,11,1998,122
12224,86,1998,203
11132,94,1998,305
11132,97,1998,336
9766,11,1999,80
13126,11,1999,81
10044,11,1999,85
10517,11,1999,85
14145,11,1999,88
10530,11,1999,89
16322,11,1999,90
10698,11,1999,91
14925,11,1999,93
17379,11,1999,93
18099,11,1999,95
14689,11,1999,96
12200,11,1999,97
13319,11,1999,98
15883,11,1999,98
14424,11,1999,99
19066,11,1999,99
8720,11,1999,100
13800,11,1999,100
18087,11,1999,100
10907,11,1999,101
12415,11,1999,101
13071,11,1999,101
14362,11,1999,101
17571,11,1999,101
17830,11,1999,101
18793,11,1999,101
9913,11,1999,102
8955,11,1999,103
10821,11,1999,104
10468,11,1999,105
12786,11,1999,105
8523,11,1999,106
8950,11,1999,106
11694,11,1999,106
14488,11,1999,106
13912,11,1999,107
19019,11,1999,107
14390,11,1999,108
16924,11,1999,109
18022,11,1999,109
9849,11,1999,110
12692,11,1999,110
17699,11,1999,110
18850,11,1999,110
8912,11,1999,111
13967,11,1999,111
19038,11,1999,111
19198,11,1999,111
19274,11,1999,112
9459,11,1999,113
16569,11,1999,113
10166,11,1999,114
14542,11,1999,114
14669,11,1999,114
14443,11,1999,117
14251,11,1999,118
15289,11,1999,118
16137,11,1999,118
17275,11,1999,118
17554,11,1999,118
18592,11,1999,118
18919,11,1999,118
8547,11,1999,119
10031,11,1999,119
10563,11,1999,119
13934,11,1999,119
15462,11,1999,120
16037,11,1999,120
18648,11,1999,121
9232,11,1999,122
18583,11,1999,122
18631,11,1999,122
8759,11,1999,123
9702,11,1999,123
11134,11,1999,123
19257,11,1999,123
13774,11,1999,124
16183,11,1999,124
14990,11,1999,126
19268,11,1999,126
19062,11,1999,129
12224,86,1999,203
10044,86,1999,245
8720,86,1999,254
15351,86,1999,258
15208,86,1999,262
10517,86,1999,264
14233,86,1999,264
8720,94,1999,264
15618,86,1999,268
10166,86,1999,271
9766,86,1999,273
9766,94,1999,273
14925,86,1999,274
18583,94,1999,275
18850,94,1999,276
8912,86,1999,277
17379,94,1999,279
18662,94,1999,281
15981,94,1999,283
10031,86,1999,284
15892,94,1999,288
19268,94,1999,288
8349,97,1999,288
11694,94,1999,289
15351,94,1999,289
18889,94,1999,289
10031,94,1999,290
13950,94,1999,290
18022,94,1999,290
12455,94,1999,291
10688,86,1999,292
12415,86,1999,292
9709,94,1999,292
14362,94,1999,292
17670,94,1999,292
10604,94,1999,293
8472,94,1999,294
10517,94,1999,294
13813,94,1999,294
14488,94,1999,294
16264,94,1999,294
17603,94,1999,294
18101,94,1999,294
18344,94,1999,294
18544,94,1999,294
18592,94,1999,294
10688,94,1999,295
14547,94,1999,296
19084,94,1999,296
11459,94,1999,297
16137,94,1999,297
19263,94,1999,297
19274,94,1999,297
8547,94,1999,298
14390,94,1999,298
14419,94,1999,298
15579,94,1999,298
8950,94,1999,299
10166,94,1999,299
11343,94,1999,299
12962,94,1999,299
13514,94,1999,299
15208,94,1999,299
16037,94,1999,299
17688,94,1999,299
9237,94,1999,300
10821,94,1999,300
10896,94,1999,300
8662,94,1999,301
9758,94,1999,301
10044,94,1999,301
10864,94,1999,301
12786,94,1999,301
14762,94,1999,301
17501,94,1999,302
16665,94,1999,303
18099,94,1999,303
9007,94,1999,304
10216,94,1999,304
11403,94,1999,304
12720,94,1999,304
13976,94,1999,304
18583,97,1999,304
13912,94,1999,305
14233,94,1999,305
16924,94,1999,305
17567,97,1999,305
8912,94,1999,306
13485,94,1999,306
13800,94,1999,306
16693,94,1999,306
18919,97,1999,306
14362,86,1999,307
10216,86,1999,308
8393,94,1999,308
16454,94,1999,308
8950,97,1999,308
11986,94,1999,309
12415,94,1999,309
17670,97,1999,309
8720,97,1999,310
15351,97,1999,310
17941,97,1999,310
9766,97,1999,311
13514,97,1999,312
18662,97,1999,312
12544,94,1999,313
13724,97,1999,313
17501,97,1999,313
12786,97,1999,315
16524,94,1999,316
15417,94,1999,317
18344,97,1999,317
8548,94,1999,318
10907,94,1999,318
16924,97,1999,318
13912,97,1999,319
10667,97,1999,320
14925,97,1999,320
15579,97,1999,320
17379,97,1999,320
16264,97,1999,321
16728,97,1999,321
18592,97,1999,321
19268,97,1999,321
10044,97,1999,323
11134,97,1999,323
18850,97,1999,323
16037,97,1999,324
14547,97,1999,325
8547,97,1999,326
14390,97,1999,326
15981,97,1999,327
19084,97,1999,327
17603,97,1999,328
9254,94,1999,329
10770,94,1999,329
10688,97,1999,329
19198,97,1999,330
8548,97,1999,331
12455,97,1999,331
16183,97,1999,331
11986,97,1999,332
12559,97,1999,332
10604,97,1999,333
14362,97,1999,333
16454,97,1999,333
16524,97,1999,333
16665,97,1999,333
8912,97,1999,334
9237,97,1999,334
18589,97,1999,335
10517,97,1999,336
11694,97,1999,336
12692,97,1999,339
13800,97,1999,339
8393,97,1999,344
10821,97,1999,345
10770,97,1999,349
15116,11,2000,69
9459,11,2000,74
15425,11,2000,77
11879,11,2000,84
13542,11,2000,89
11343,11,2000,91
15082,11,2000,97
11912,11,2000,99
9766,11,2000,100
12962,11,2000,101
18583,11,2000,101
8472,11,2000,102
9571,11,2000,102
14542,11,2000,102
13912,11,2000,104
10468,11,2000,105
10759,11,2000,105
10044,11,2000,106
14424,11,2000,106
10509,11,2000,107
12114,11,2000,107
12415,11,2000,107
15468,11,2000,107
11093,11,2000,108
10457,11,2000,109
18348,11,2000,109
12224,11,2000,110
15414,11,2000,110
17699,11,2000,110
9539,11,2000,111
12952,11,2000,112
16406,11,2000,112
18935,11,2000,112
11440,11,2000,113
12692,11,2000,113
13071,11,2000,113
13874,11,2000,113
14632,11,2000,113
14728,11,2000,113
16195,11,2000,113
17346,11,2000,113
11549,11,2000,114
14988,11,2000,114
17387,11,2000,114
17603,11,2000,114
10179,11,2000,115
10312,11,2000,115
13763,11,2000,115
13800,11,2000,115
8547,11,2000,116
9237,11,2000,116
14488,11,2000,116
14506,11,2000,116
15037,11,2000,116
16241,11,2000,116
17352,11,2000,116
18035,11,2000,116
11403,11,2000,117
11788,11,2000,117
12949,11,2000,117
13119,11,2000,117
14960,11,2000,117
15102,11,2000,117
15326,11,2000,117
18103,11,2000,117
19019,11,2000,117
11321,11,2000,118
12786,11,2000,118
13400,11,2000,118
14067,11,2000,118
15981,11,2000,118
16286,11,2000,118
9254,11,2000,119
10770,11,2000,119
14443,11,2000,119
15218,11,2000,119
17099,11,2000,119
17830,11,2000,119
19144,11,2000,119
10864,11,2000,120
11459,11,2000,120
12013,11,2000,120
14691,11,2000,120
14795,11,2000,120
15015,11,2000,120
15785,11,2000,120
16924,11,2000,120
17319,11,2000,120
17998,11,2000,120
18113,11,2000,120
18662,11,2000,120
19233,11,2000,120
19274,11,2000,120
8912,11,2000,121
8955,11,2000,121
14233,11,2000,121
14243,11,2000,121
14710,11,2000,121
15174,11,2000,121
15271,11,2000,121
16728,11,2000,121
18879,11,2000,121
10563,11,2000,122
11986,11,2000,122
13027,11,2000,122
13485,11,2000,122
14450,11,2000,122
14984,11,2000,122
15148,11,2000,122
15243,11,2000,122
15883,11,2000,122
16569,11,2000,122
17379,11,2000,122
17501,11,2000,122
17688,11,2000,122
17728,11,2000,122
18022,11,2000,122
18099,11,2000,122
8464,11,2000,123
9155,11,2000,123
9913,11,2000,123
10166,11,2000,123
10226,11,2000,123
12523,11,2000,123
14547,11,2000,123
15018,11,2000,123
15360,11,2000,123
17554,11,2000,123
17636,11,2000,123
18648,11,2000,123
9032,11,2000,124
9849,11,2000,124
10821,11,2000,124
11324,11,2000,124
14251,11,2000,124
15065,11,2000,124
15208,11,2000,124
15618,11,2000,124
16167,11,2000,124
16445,11,2000,124
19038,11,2000,124
19062,11,2000,124
12395,11,2000,125
16102,11,2000,125
12621,11,2000,126
13774,11,2000,126
16137,11,2000,126
18592,11,2000,126
18889,11,2000,126
19022,11,2000,126
10655,11,2000,127
12883,11,2000,127
13574,11,2000,127
13934,11,2000,127
16524,11,2000,127
17290,11,2000,127
17560,11,2000,127
18131,11,2000,127
18455,11,2000,127
18993,11,2000,127
19198,11,2000,127
13359,11,2000,128
13379,11,2000,128
14762,11,2000,128
15131,11,2000,128
15621,11,2000,128
16183,11,2000,128
18666,11,2000,128
8508,11,2000,129
16129,11,2000,129
18919,11,2000,129
19260,11,2000,129
12544,11,2000,130
18657,11,2000,130
19084,11,2000,130
19268,11,2000,130
14913,11,2000,131
18544,11,2000,131
14925,11,2000,132
15678,11,2000,134
19184,11,2000,134
19257,11,2000,134
11462,11,2000,135
11988,11,2000,135
18569,11,2000,136
18101,11,2000,139
18344,11,2000,140
19264,11,2000,142
14232,86,2000,227
17442,86,2000,236
18583,86,2000,245
19011,86,2000,245
16264,86,2000,249
18348,86,2000,250
10766,86,2000,252
8472,86,2000,253
15102,86,2000,253
10342,86,2000,254
8758,86,2000,255
9571,86,2000,256
16575,86,2000,256
17688,86,2000,257
10563,86,2000,259
12521,86,2000,259
16184,86,2000,259
16992,86,2000,259
10253,86,2000,260
11440,86,2000,260
16924,86,2000,260
12949,86,2000,261
9634,86,2000,262
15208,86,2000,262
8439,86,2000,263
9438,86,2000,264
10071,86,2000,264
11988,86,2000,264
17582,86,2000,264
14390,86,2000,265
15351,86,2000,267
8764,86,2000,268
10716,86,2000,268
18283,86,2000,268
10186,86,2000,269
13752,94,2000,269
9459,86,2000,271
17964,86,2000,271
9847,86,2000,272
10751,86,2000,272
12827,86,2000,272
17497,86,2000,272
10864,86,2000,273
12922,86,2000,273
15755,86,2000,273
17099,86,2000,273
17756,86,2000,273
12581,94,2000,273
12922,94,2000,273
16241,86,2000,274
10655,86,2000,275
17318,86,2000,275
18101,86,2000,275
9637,86,2000,276
17501,86,2000,276
17604,86,2000,276
17985,86,2000,276
15100,94,2000,276
12013,86,2000,277
15065,86,2000,277
19126,86,2000,278
11192,94,2000,278
13912,86,2000,279
9637,94,2000,279
16992,94,2000,279
15132,86,2000,281
19251,94,2000,281
14343,86,2000,282
14487,86,2000,282
11393,94,2000,282
13122,94,2000,282
9438,94,2000,283
9847,94,2000,283
9057,86,2000,284
16524,86,2000,284
14390,94,2000,284
16497,94,2000,284
17994,94,2000,284
18284,94,2000,285
10663,86,2000,286
19005,86,2000,286
19267,86,2000,286
16183,86,2000,288
9634,94,2000,288
10149,94,2000,288
10299,94,2000,288
16183,94,2000,288
16241,94,2000,288
11435,86,2000,289
12414,86,2000,289
10563,94,2000,289
10766,94,2000,289
14604,94,2000,289
14762,94,2000,289
16454,94,2000,289
17835,94,2000,289
17985,94,2000,289
19267,94,2000,289
8682,94,2000,290
13606,94,2000,290
14204,94,2000,290
14637,94,2000,290
16924,94,2000,290
17688,94,2000,290
17872,94,2000,290
18348,94,2000,290
18900,94,2000,290
19005,94,2000,290
17951,86,2000,291
9482,94,2000,291
10751,94,2000,291
11403,94,2000,291
12095,94,2000,291
13633,94,2000,291
15351,94,2000,291
15957,94,2000,291
16184,94,2000,291
17497,94,2000,291
17951,94,2000,291
17519,86,2000,292
8439,94,2000,292
11462,94,2000,292
12521,94,2000,292
14324,94,2000,292
16575,94,2000,292
18897,94,2000,292
13485,94,2000,293
15102,94,2000,293
15132,94,2000,293
16259,94,2000,293
17442,94,2000,293
12922,97,2000,293
8547,86,2000,294
11028,86,2000,294
14925,86,2000,294
15278,86,2000,294
15612,86,2000,294
10071,94,2000,294
10342,94,2000,294
11415,94,2000,294
12827,94,2000,294
12949,94,2000,294
14036,94,2000,294
14925,94,2000,294
15612,94,2000,294
16264,94,2000,294
17063,94,2000,294
17318,94,2000,294
18065,94,2000,294
18200,94,2000,294
18276,94,2000,294
18283,94,2000,294
18850,94,2000,294
19011,94,2000,294
19186,94,2000,294
10705,94,2000,295
10883,94,2000,295
11028,94,2000,295
12626,94,2000,295
12692,94,2000,295
14343,94,2000,295
15307,94,2000,295
16929,94,2000,295
17012,94,2000,295
17555,94,2000,295
17756,94,2000,295
18932,94,2000,295
19126,94,2000,295
15784,86,2000,296
13975,94,2000,296
14232,94,2000,296
14487,94,2000,296
18583,97,2000,296
9631,94,2000,297
10207,94,2000,297
11435,94,2000,297
18099,94,2000,297
8547,97,2000,297
12461,86,2000,298
11694,94,2000,298
11879,94,2000,298
12437,94,2000,298
13267,94,2000,298
13702,94,2000,298
16780,94,2000,298
17604,94,2000,298
18851,94,2000,298
10961,86,2000,299
9571,94,2000,299
9989,94,2000,299
11440,94,2000,299
12261,94,2000,299
12494,94,2000,299
15257,94,2000,299
15618,94,2000,299
17582,94,2000,299
19201,94,2000,299
14946,86,2000,300
10186,94,2000,300
10655,94,2000,300
10658,94,2000,300
12013,94,2000,300
12790,94,2000,300
13763,94,2000,300
16216,94,2000,300
17225,94,2000,300
14204,97,2000,300
9446,94,2000,301
11988,94,2000,301
12740,94,2000,301
16665,94,2000,301
10046,94,2000,302
10365,94,2000,302
12085,94,2000,302
12513,94,2000,302
15065,94,2000,302
8758,97,2000,302
9637,97,2000,302
13633,97,2000,302
15477,97,2000,302
13624,86,2000,303
8472,94,2000,303
9737,94,2000,303
17099,94,2000,303
15102,97,2000,303
16780,97,2000,303
9354,86,2000,304
8315,94,2000,304
9709,94,2000,304
15784,94,2000,304
17501,94,2000,304
17519,94,2000,304
18159,94,2000,304
19058,94,2000,304
10058,97,2000,304
15351,97,2000,304
15278,94,2000,305
9571,97,2000,305
16992,97,2000,305
16725,94,2000,306
18288,94,2000,306
18583,94,2000,306
10982,94,2000,307
14946,94,2000,307
15279,94,2000,307
16137,94,2000,307
18087,94,2000,307
19277,94,2000,307
12414,94,2000,308
13624,94,2000,308
14061,94,2000,308
16134,94,2000,308
16397,94,2000,308
8764,94,2000,309
9057,94,2000,309
10716,94,2000,309
13118,94,2000,309
13912,94,2000,309
14581,94,2000,309
15755,94,2000,309
16133,94,2000,309
17964,94,2000,309
11988,97,2000,309
16183,97,2000,309
9016,94,2000,310
9539,94,2000,310
12063,94,2000,310
13544,94,2000,310
14506,94,2000,310
14844,94,2000,310
15311,94,2000,310
18879,94,2000,310
10071,97,2000,310
12581,97,2000,310
16924,97,2000,310
18200,97,2000,310
9459,97,2000,311
12085,97,2000,311
14390,97,2000,311
14637,97,2000,311
15132,97,2000,311
17063,97,2000,311
17501,97,2000,311
9007,94,2000,312
10961,94,2000,312
12461,94,2000,312
13430,94,2000,312
17624,94,2000,312
17012,97,2000,312
11977,94,2000,313
9049,97,2000,313
13763,97,2000,313
17756,97,2000,313
9459,94,2000,314
10463,94,2000,314
15208,94,2000,314
11879,97,2000,314
12704,97,2000,314
16134,97,2000,314
10864,94,2000,315
11386,94,2000,315
13072,94,2000,315
17177,94,2000,315
10658,97,2000,315
15618,97,2000,315
17835,97,2000,315
10253,94,2000,316
12143,94,2000,316
13471,97,2000,316
15065,97,2000,316
17604,97,2000,316
11270,94,2000,317
16226,94,2000,317
16524,94,2000,317
11440,97,2000,317
15755,97,2000,317
16665,97,2000,317
19277,97,2000,317
14537,94,2000,318
15034,94,2000,318
16216,97,2000,318
17582,97,2000,318
9354,94,2000,319
9518,94,2000,319
11003,94,2000,319
16304,94,2000,319
10751,97,2000,319
12013,97,2000,319
17442,97,2000,319
9315,94,2000,320
14103,94,2000,320
19011,97,2000,320
18101,94,2000,321
10342,97,2000,321
11462,97,2000,321
17872,97,2000,321
17985,97,2000,321
12646,94,2000,322
14036,97,2000,322
14604,97,2000,322
10766,97,2000,323
11028,97,2000,323
14946,97,2000,323
18850,97,2000,323
19267,97,2000,323
10207,97,2000,324
15784,97,2000,324
16184,97,2000,324
16259,97,2000,324
19058,97,2000,324
10014,94,2000,325
9007,97,2000,325
9847,97,2000,325
10186,97,2000,325
10299,97,2000,325
10716,97,2000,325
10883,97,2000,325
11977,97,2000,325
15100,97,2000,325
15257,97,2000,325
15612,97,2000,325
17371,97,2000,325
17519,97,2000,325
18288,97,2000,325
18851,97,2000,325
18932,97,2000,325
19201,97,2000,325
19251,97,2000,325
8315,97,2000,326
11435,97,2000,326
12437,97,2000,326
17318,97,2000,326
18283,97,2000,326
12461,97,2000,327
12827,97,2000,327
16241,97,2000,327
16264,97,2000,327
16575,97,2000,327
11270,97,2000,328
13320,97,2000,328
13702,97,2000,328
8574,97,2000,329
8764,97,2000,329
9057,97,2000,329
11403,97,2000,329
17418,97,2000,329
17444,97,2000,329
17497,97,2000,329
19126,97,2000,329
9016,97,2000,330
10705,97,2000,330
12494,97,2000,330
13118,97,2000,330
14061,97,2000,330
14103,97,2000,330
14343,97,2000,330
14487,97,2000,330
15307,97,2000,330
16454,97,2000,330
19005,97,2000,330
18988,94,2000,331
8439,97,2000,331
9634,97,2000,331
10882,97,2000,331
10966,97,2000,331
14581,97,2000,331
14762,97,2000,331
15034,97,2000,331
16226,97,2000,331
11386,97,2000,332
16397,97,2000,332
19186,97,2000,332
9631,97,2000,333
13624,97,2000,333
15311,97,2000,333
15957,97,2000,333
17225,97,2000,333
18099,97,2000,333
10149,97,2000,334
10961,97,2000,334
15279,97,2000,334
16524,97,2000,334
10365,97,2000,335
13975,97,2000,336
12414,97,2000,337
13912,97,2000,337
18826,97,2000,337
13485,97,2000,338
16304,97,2000,343
10563,97,2000,345
15034,11,2001,59
11698,11,2001,75
16345,11,2001,77
11018,11,2001,80
12111,11,2001,83
10847,11,2001,85
10154,11,2001,86
14626,11,2001,86
9765,11,2001,89
10333,11,2001,91
16222,11,2001,91
