PEP_ID,BBCH,YEAR,DAY
8015,60,1960,129
7195,60,1961,121
8015,60,1961,123
7212,60,1961,125
7201,60,1961,148
7202,60,1962,116
8015,60,1962,123
7215,60,1962,125
7212,60,1962,126
7211,60,1962,128
7201,60,1962,140
7215,60,1963,126
8015,60,1963,127
7204,60,1963,127
7212,60,1963,127
7202,60,1963,127
7211,60,1963,130
7201,60,1963,147
7202,60,1964,128
8016,60,1964,130
7211,60,1964,130
7212,60,1964,130
8015,60,1964,132
7204,60,1964,132
7195,60,1964,138
7208,60,1964,140
7201,60,1964,146
7212,60,1965,131
7204,60,1965,134
7208,60,1965,135
7211,60,1965,135
8015,60,1965,137
7202,60,1965,144
7195,60,1965,149
7201,60,1965,156
8015,60,1966,126
7212,60,1966,132
7204,60,1966,134
7201,60,1966,156
7212,60,1967,125
8015,60,1967,128
7202,60,1967,128
7201,60,1967,131
7211,60,1967,133
7193,60,1967,135
7208,60,1967,138
7195,60,1967,141
8015,60,1968,119
7201,60,1968,122
7204,60,1968,124
7192,60,1968,130
7212,60,1969,127
8015,60,1969,128
7191,60,1969,129
7204,60,1969,132
7211,60,1969,132
7201,60,1969,133
7213,60,1969,135
7205,60,1969,183
7212,60,1970,128
8015,60,1970,129
7194,60,1970,134
7213,60,1970,135
7201,60,1970,135
7204,60,1970,155
7212,60,1971,127
8015,60,1971,130
7204,60,1971,133
7213,60,1971,136
7201,60,1971,137
7211,60,1972,120
7201,60,1972,123
7212,60,1972,126
8015,60,1972,126
7213,60,1972,129
7204,60,1972,130
7196,60,1972,132
7212,60,1973,121
7196,60,1973,123
8015,60,1973,124
7207,60,1973,125
7204,60,1973,125
7213,60,1973,127
7201,60,1973,128
7205,60,1973,129
7211,60,1973,143
7211,60,1974,112
7213,60,1974,123
7212,60,1974,124
8015,60,1974,128
7191,60,1974,128
7201,60,1974,130
7205,60,1974,132
7196,60,1974,140
7211,60,1975,119
8015,60,1975,122
7207,60,1975,123
7213,60,1975,124
7191,60,1975,126
7212,60,1975,126
7205,60,1975,128
7192,60,1975,129
7201,60,1975,130
7204,60,1975,132
7196,60,1975,133
7194,60,1975,147
7211,60,1976,130
8015,60,1976,133
7212,60,1976,137
7196,60,1976,138
7192,60,1976,139
7192,60,1977,122
7211,60,1977,122
8015,60,1977,123
7213,60,1977,124
7201,60,1977,125
7191,60,1977,128
7196,60,1977,136
8016,60,1977,137
7204,60,1977,140
7194,60,1977,145
7211,60,1978,114
7213,60,1978,127
8015,60,1978,128
7198,60,1978,130
7192,60,1978,130
7196,60,1978,136
7201,60,1978,144
7211,60,1979,127
7196,60,1979,134
8015,60,1979,135
7198,60,1979,137
7213,60,1979,138
7201,60,1979,138
7194,60,1979,149
7211,60,1980,118
8015,60,1980,139
7213,60,1980,139
7205,60,1980,140
7207,60,1980,145
7198,60,1980,146
7196,60,1980,149
7201,60,1980,151
7194,60,1980,155
7194,60,1981,130
7211,60,1981,130
7198,60,1981,131
7212,60,1981,132
7205,60,1981,132
8015,60,1981,133
7213,60,1981,136
7196,60,1981,139
7201,60,1981,141
7211,60,1982,119
7198,60,1982,126
8015,60,1982,127
7204,60,1982,128
8016,60,1982,128
7213,60,1982,132
7196,60,1982,132
7201,60,1982,134
7205,60,1982,136
7194,60,1982,150
7211,60,1983,114
8015,60,1983,118
7204,60,1983,126
7201,60,1983,126
7213,60,1983,130
7196,60,1983,132
7198,60,1983,135
7199,60,1983,140
7205,60,1983,159
7211,60,1984,108
8015,60,1984,113
7191,60,1984,114
7209,60,1984,116
7204,60,1984,125
7196,60,1984,125
7198,60,1984,125
7201,60,1984,127
8016,60,1984,131
7194,60,1984,132
7199,60,1984,139
7213,60,1984,140
7205,60,1984,145
7211,60,1985,127
7192,60,1985,129
7215,60,1985,131
8015,60,1985,131
7205,60,1985,133
8016,60,1985,134
7198,60,1985,134
7204,60,1985,136
7199,60,1985,137
7213,60,1985,138
7196,60,1985,140
7201,60,1985,142
8015,60,1986,119
7211,60,1986,119
7199,60,1986,126
7205,60,1986,127
8016,60,1986,127
7201,60,1986,129
7204,60,1986,130
7212,60,1986,130
7198,60,1986,132
7213,60,1986,133
7196,60,1986,140
7200,60,1986,146
7211,60,1987,123
8015,60,1987,127
8016,60,1987,128
7198,60,1987,129
7200,60,1987,130
7212,60,1987,132
7208,60,1987,135
7204,60,1987,138
7213,60,1987,146
7201,60,1987,148
7204,60,1988,123
7211,60,1988,123
8016,60,1988,123
8015,60,1988,127
7193,60,1988,128
7201,60,1988,133
7198,60,1988,136
7200,60,1988,138
7196,60,1988,138
7205,60,1988,138
7213,60,1988,147
7211,60,1989,103
8015,60,1989,104
7208,60,1989,105
7212,60,1989,115
8016,60,1989,116
7201,60,1989,120
7204,60,1989,121
7198,60,1989,122
7205,60,1989,125
7200,60,1989,127
7213,60,1989,134
7194,60,1989,138
7211,60,1990,90
7212,60,1990,114
7200,60,1990,115
7202,60,1990,118
7204,60,1990,118
7197,60,1990,122
8016,60,1990,122
7201,60,1990,122
7195,60,1990,125
7205,60,1990,127
7213,60,1990,137
7200,60,1991,92
7211,60,1991,108
8015,60,1991,118
7204,60,1991,121
7198,60,1991,122
7201,60,1991,124
7213,60,1991,125
8016,60,1991,127
7212,60,1991,132
7192,60,1991,134
7211,60,1992,93
7212,60,1992,117
7204,60,1992,126
7208,60,1992,126
8015,60,1992,134
7198,60,1992,136
7201,60,1992,140
7200,60,1992,142
7213,60,1992,143
7193,60,1992,150
7211,60,1993,117
8015,60,1993,118
7191,60,1993,120
7202,60,1993,121
7204,60,1993,123
7201,60,1993,124
7198,60,1993,125
7212,60,1993,130
7213,60,1993,130
7205,60,1993,131
7211,60,1994,115
7210,60,1994,120
7198,60,1994,122
8015,60,1994,126
7201,60,1994,126
7212,60,1994,126
7202,60,1994,128
7204,60,1994,130
7213,60,1994,134
8016,60,1994,135
7200,60,1994,143
7211,60,1995,114
7201,60,1995,120
7209,60,1995,122
8016,60,1995,126
7198,60,1995,127
7202,60,1995,130
7204,60,1995,132
7213,60,1995,147
7210,60,1996,119
7202,60,1996,122
7204,60,1996,122
7198,60,1996,122
7213,60,1996,124
7201,60,1996,128
7215,60,1996,128
7193,60,1996,130
8016,60,1996,133
7212,60,1997,102
7211,60,1997,126
7191,60,1997,127
7201,60,1997,128
7189,60,1997,130
7198,60,1997,131
7190,60,1997,132
7210,60,1997,132
8015,60,1997,133
7204,60,1997,140
8016,60,1997,142
7213,60,1997,144
7196,60,1997,277
7201,60,1998,117
7205,60,1998,118
7211,60,1998,118
7212,60,1998,123
8016,60,1998,128
7200,60,1998,130
7198,60,1998,132
7213,60,1998,134
7210,60,1998,140
7211,60,1999,107
7210,60,1999,114
7205,60,1999,117
7201,60,1999,124
7189,60,1999,128
7198,60,1999,129
7204,60,1999,130
7212,60,1999,136
8016,60,1999,138
7213,60,1999,138
7190,60,1999,140
7208,60,1999,143
7211,60,2000,109
7201,60,2000,112
7200,60,2000,113
7204,60,2000,113
7189,60,2000,113
7215,60,2000,113
7210,60,2000,114
7199,60,2000,114
8016,60,2000,115
7198,60,2000,116
7212,60,2000,120
7205,60,2000,124
8015,60,2000,127
7213,60,2000,130
7211,60,2001,114
7210,60,2001,121
7201,60,2001,121
7205,60,2001,124
7204,60,2001,124
8016,60,2001,126
7212,60,2001,127
7198,60,2001,127
7213,60,2001,128
7193,60,2001,130
7199,60,2001,131
7208,60,2001,135
7200,60,2002,106
7211,60,2002,107
7199,60,2002,121
7201,60,2002,123
7189,60,2002,125
7193,60,2002,125
7204,60,2002,125
8016,60,2002,132
7212,60,2002,140
7213,60,2002,143
7201,60,2003,97
7211,60,2003,117
7208,60,2003,129
7205,60,2003,129
7212,60,2003,130
7189,60,2003,133
7198,60,2003,134
8016,60,2003,134
7213,60,2003,134
7204,60,2003,136
7200,60,2003,136
7211,60,2004,109
7209,60,2004,114
8015,60,2004,121
7204,60,2004,122
7194,60,2004,122
7205,60,2004,127
7214,60,2004,128
7210,60,2004,128
7208,60,2004,132
7213,60,2004,132
8016,60,2004,135
7200,60,2004,139
7201,60,2004,142
