PEP_ID,BBCH,YEAR,DAY
7009,11,1971,124
7007,11,1971,137
7010,11,1971,137
7011,11,1971,141
7005,11,1971,142
7004,11,1971,145
7004,11,1972,134
7010,11,1972,136
7005,11,1972,137
7007,11,1972,142
7011,11,1972,145
7004,11,1973,128
7005,11,1973,136
7010,11,1973,139
7007,11,1973,141
7011,11,1973,142
7007,11,1974,143
7011,11,1974,145
7004,11,1974,148
7010,11,1974,151
7005,11,1974,151
7004,11,1975,128
7006,11,1975,129
7010,11,1975,132
7005,11,1975,132
7011,11,1975,133
7007,11,1975,133
7004,11,1976,136
7006,11,1976,144
7007,11,1976,146
7005,11,1976,146
7011,11,1976,146
7010,11,1976,149
7008,11,1976,151
7004,11,1977,126
7006,11,1977,127
7005,11,1977,127
7010,11,1977,131
7007,11,1977,134
7008,11,1977,136
7011,11,1977,142
7005,11,1978,138
7006,11,1978,143
7007,11,1978,145
7010,11,1978,145
7008,11,1978,149
7011,11,1978,149
7004,11,1978,151
7010,11,1979,140
7007,11,1979,141
7006,11,1979,142
7009,11,1979,143
7008,11,1979,144
7011,11,1979,145
7004,11,1979,155
7005,11,1980,150
7011,11,1980,151
7006,11,1980,152
7009,11,1980,152
7010,11,1980,153
7008,11,1980,154
7004,11,1980,155
7007,11,1980,155
7004,11,1981,124
7008,11,1981,138
7010,11,1981,138
7009,11,1981,139
7005,11,1981,139
7011,11,1981,140
7007,11,1981,141
7006,11,1981,148
7008,11,1982,136
7010,11,1982,139
7004,11,1982,139
7009,11,1982,140
7007,11,1982,141
7006,11,1982,143
7011,11,1982,147
7005,11,1982,149
7005,11,1983,132
7009,11,1983,133
7008,11,1983,134
7010,11,1983,136
7006,11,1983,137
7007,11,1983,137
7011,11,1983,139
7004,11,1983,144
7010,11,1984,133
7011,11,1984,138
7006,11,1984,138
7008,11,1984,138
7009,11,1984,139
7004,11,1984,140
7009,11,1985,136
7010,11,1985,138
7004,11,1985,139
7006,11,1985,141
7007,11,1985,143
7008,11,1985,146
7011,11,1985,146
7005,11,1985,147
7005,11,1986,124
7004,11,1986,133
7006,11,1986,135
7009,11,1986,137
7011,11,1986,137
7010,11,1986,139
7008,11,1986,139
7007,11,1986,139
7009,11,1987,131
7004,11,1987,134
7007,11,1987,139
7005,11,1987,139
7010,11,1987,140
7008,11,1987,140
7006,11,1987,143
7011,11,1987,149
7005,11,1989,181
7010,11,1992,123
