PEP_ID,BBCH,YEAR,DAY
7929,60,1868,108
7801,60,1868,116
7801,11,1868,127
7881,11,1868,129
7929,11,1868,129
7990,11,1868,132
8001,11,1868,133
7929,60,1869,106
7990,60,1869,108
7990,11,1869,113
7929,11,1869,113
7532,60,1869,116
7801,60,1869,118
7801,11,1869,120
7706,11,1870,106
7929,60,1870,113
7699,11,1870,117
7990,60,1870,118
7532,11,1870,132
7990,11,1870,134
7801,11,1870,136
7929,11,1870,137
7801,60,1870,140
7990,60,1871,106
7612,60,1871,111
7929,60,1871,115
7801,60,1871,124
7801,11,1871,126
7532,60,1871,127
7706,11,1871,128
7532,11,1871,136
7929,11,1871,139
7990,11,1871,140
7706,60,1872,76
7929,60,1872,98
7923,60,1872,101
7801,60,1872,104
7612,60,1872,104
7929,11,1872,117
7923,11,1872,117
7706,11,1872,118
7801,11,1872,120
7532,60,1872,123
7532,11,1872,125
7990,11,1872,125
7797,11,1872,127
7706,60,1873,98
7699,60,1873,104
7706,11,1873,110
7475,60,1873,110
7532,60,1873,110
7923,60,1873,115
7929,11,1873,136
7532,11,1873,136
7801,11,1873,145
7990,11,1873,147
7584,60,1874,47
7535,60,1874,51
7699,60,1874,58
7706,11,1874,94
7923,60,1874,94
7923,11,1874,102
7929,11,1874,110
7929,60,1874,110
7475,11,1874,113
7532,11,1874,131
7801,11,1874,135
7990,11,1874,135
7923,60,1875,117
7706,60,1875,120
7929,60,1875,121
7699,11,1875,122
7475,11,1875,123
7929,11,1875,127
7706,11,1875,129
7801,60,1875,130
7990,11,1875,133
7801,11,1875,135
7532,11,1875,136
7801,60,1876,68
7706,60,1876,84
7923,60,1876,87
7929,60,1876,112
7475,11,1876,114
7929,11,1876,128
7801,11,1876,141
7929,60,1877,117
7475,11,1877,121
7929,11,1877,132
7801,11,1877,136
7801,60,1877,138
7990,11,1877,147
7532,11,1877,149
7475,60,1878,113
7929,60,1878,113
7923,60,1879,115
7923,60,1880,116
7934,11,1880,122
7990,11,1880,132
7532,11,1880,134
7873,11,1881,122
7990,11,1881,126
7923,60,1881,127
7532,60,1881,137
7884,60,1883,46
7532,60,1883,129
7990,11,1883,135
7532,11,1883,138
7873,11,1884,82
7934,11,1884,130
7929,60,1885,107
7884,60,1885,123
7669,11,1885,127
7962,60,1890,112
7873,11,1891,146
7640,11,1892,127
7640,11,1893,104
7873,60,1893,108
7990,11,1893,114
7640,11,1894,94
7640,11,1895,122
7473,60,1896,123
7905,11,1896,125
7640,11,1896,132
7990,11,1896,141
7916,11,1896,141
7990,11,1897,74
7640,11,1897,102
7916,11,1897,130
