PEP_ID,BBCH,YEAR,DAY
6864,11,1961,107
6875,11,1961,111
6873,11,1961,112
6868,11,1961,114
6866,11,1961,120
6872,11,1961,120
6874,11,1961,121
6874,11,1962,117
6864,11,1962,120
6873,11,1962,122
6868,11,1962,122
6866,11,1962,123
6875,11,1962,124
6872,11,1962,134
6869,11,1963,117
6864,11,1963,119
6873,11,1963,120
6865,11,1963,121
6875,11,1963,124
6868,11,1963,127
6874,11,1963,130
6866,11,1963,133
6864,11,1964,119
6869,11,1964,120
6868,11,1964,120
6875,11,1964,123
6866,11,1964,125
6874,11,1964,126
6873,11,1964,127
6865,11,1964,132
6872,11,1964,142
6873,11,1965,109
6864,11,1965,116
6869,11,1965,118
6875,11,1965,119
6866,11,1965,124
6868,11,1965,128
6874,11,1965,129
6865,11,1965,134
6872,11,1965,146
6873,11,1966,110
6864,11,1966,110
6866,11,1966,111
6869,11,1966,112
6868,11,1966,113
6874,11,1966,117
6875,11,1966,118
6865,11,1966,123
6872,11,1966,130
6864,11,1967,113
6869,11,1967,116
6873,11,1967,116
6875,11,1967,119
6866,11,1967,122
6874,11,1967,124
6868,11,1967,125
6865,11,1967,133
6872,11,1967,139
6869,11,1968,105
6873,11,1968,111
6864,11,1968,111
6865,11,1968,114
6868,11,1968,114
6874,11,1968,115
6875,11,1968,115
6866,11,1968,119
6872,11,1968,133
6869,11,1969,116
6864,11,1969,116
6873,11,1969,119
6868,11,1969,119
6874,11,1969,119
6866,11,1969,120
6875,11,1969,120
6865,11,1969,121
6872,11,1969,134
6869,11,1970,123
6873,11,1970,124
6875,11,1970,127
6874,11,1970,130
6864,11,1970,131
6868,11,1970,131
6866,11,1970,133
6865,11,1970,137
6872,11,1970,153
6869,11,1971,116
6873,11,1971,117
6866,11,1971,120
6875,11,1971,120
6864,11,1971,122
6874,11,1971,123
6868,11,1971,124
6865,11,1971,132
6872,11,1971,140
6864,11,1972,104
6873,11,1972,107
6875,11,1972,108
6874,11,1972,109
6868,11,1972,109
6866,11,1972,110
6869,11,1972,110
6865,11,1972,120
6872,11,1972,151
6869,11,1973,114
6864,11,1973,115
6874,11,1973,115
6868,11,1973,123
6875,11,1973,123
6866,11,1973,124
6873,11,1973,125
6865,11,1973,126
6872,11,1973,133
6866,11,1974,107
