PEP_ID,BBCH,YEAR,DAY
19486,10,2001,91
19485,10,2001,91
19488,10,2001,96
19487,10,2001,122
19485,10,2002,81
19488,10,2002,86
19486,10,2002,102
19487,10,2002,123
19485,10,2003,81
19486,10,2003,103
19488,10,2003,104
19487,10,2003,120
19485,10,2004,86
19488,10,2004,99
19486,10,2004,100
19487,10,2004,122
19485,10,2005,89
19488,10,2005,102
19486,10,2005,106
19487,10,2005,132
19486,10,2006,108
19485,10,2006,108
19488,10,2006,110
19487,10,2006,126
19485,10,2007,75
19488,10,2007,83
19486,10,2007,96
19487,10,2007,103
19485,10,2008,72
19488,10,2008,92
19486,10,2008,100
19487,10,2008,110
19485,10,2009,77
19488,10,2009,93
19486,10,2009,96
19487,10,2009,105
19485,10,2010,88
19488,10,2010,95
19486,10,2010,106
19487,10,2010,107
19488,10,2011,89
19485,10,2011,91
19486,10,2011,97
19487,10,2011,100
19485,10,2012,87
19486,10,2012,89
7352,10,2012,92
20382,10,2012,94
19488,10,2012,95
7282,10,2012,102
20311,10,2012,105
20385,10,2012,108
20312,10,2012,112
20313,10,2012,116
20384,10,2012,120
20383,10,2012,124
19485,10,2013,97
19488,10,2013,111
20385,10,2013,113
20311,10,2013,113
7352,10,2013,114
20382,10,2013,115
20312,10,2013,115
19486,10,2013,115
7282,10,2013,116
20384,10,2013,120
20383,10,2013,126
20313,10,2013,127
19485,10,2015,94
19488,10,2015,97
20385,10,2015,100
7352,10,2015,100
7282,10,2015,107
20382,10,2015,110
20312,10,2015,111
19486,10,2015,111
20311,10,2015,112
20313,10,2015,116
20384,10,2015,120
20383,10,2015,121
