PEP_ID,BBCH,YEAR,DAY
19528,65,1971,119
19529,65,1971,135
19525,65,1971,140
19527,65,1971,141
19528,60,1972,105
19528,65,1972,113
19529,60,1972,130
19527,60,1972,133
19529,65,1972,136
19527,65,1972,140
19525,65,1972,141
19528,60,1973,120
19528,65,1973,127
19525,60,1973,135
19529,60,1973,140
19525,65,1973,140
19527,60,1973,143
19529,65,1973,146
19527,65,1973,148
19528,60,1974,102
19528,65,1974,114
19529,60,1974,133
19529,65,1974,137
19525,60,1974,141
19525,65,1974,150
19526,60,1974,159
19527,60,1974,159
19527,65,1974,163
19526,65,1974,166
19528,60,1975,103
19528,65,1975,108
19527,60,1975,110
19525,60,1975,113
19527,65,1975,118
19526,60,1975,125
19525,65,1975,125
19526,65,1975,130
19528,60,1976,123
19528,65,1976,129
19525,60,1976,139
19529,60,1976,139
19529,65,1976,142
19527,60,1976,146
19525,65,1976,146
19527,65,1976,152
19528,60,1977,108
19528,65,1977,115
19529,60,1977,132
19525,60,1977,140
19527,60,1977,146
19525,65,1977,149
19527,65,1977,154
19528,60,1978,120
19528,65,1978,130
19529,60,1978,144
19525,60,1978,145
19525,65,1978,150
19529,60,1979,135
19529,65,1979,140
19527,60,1979,147
19527,65,1979,161
19528,60,1980,121
19525,60,1980,131
19528,65,1980,131
19525,65,1980,147
19529,60,1980,157
19529,65,1980,160
19528,60,1981,99
19528,65,1981,102
19525,60,1981,126
19525,65,1981,130
19529,60,1981,144
19527,60,1981,156
19529,65,1981,156
19527,65,1981,166
19528,60,1982,112
19528,65,1982,122
19525,60,1982,135
19529,60,1982,143
19525,65,1982,145
19529,65,1982,146
19527,60,1982,150
19527,65,1982,161
19528,60,1983,106
19525,60,1983,115
19528,65,1983,118
19525,65,1983,120
19529,60,1983,124
19529,65,1983,128
19526,60,1984,114
19528,60,1984,115
19528,65,1984,121
19526,65,1984,125
19529,60,1984,143
19529,65,1984,146
19525,60,1984,147
19527,60,1984,148
19525,65,1984,151
19527,65,1984,156
19528,60,1985,102
19528,65,1985,110
19525,60,1985,130
19529,60,1985,136
19527,60,1985,138
19525,65,1985,138
19529,65,1985,139
19527,65,1985,149
19528,60,1987,111
19528,65,1987,118
19525,60,1987,140
19529,60,1987,145
19525,65,1987,146
19529,65,1987,147
19528,60,1988,109
19528,65,1988,122
19529,60,1988,136
19529,65,1988,141
19525,60,1988,146
19525,65,1988,149
19528,60,1989,93
19528,65,1989,99
19529,60,1989,116
19525,60,1989,116
19525,65,1989,120
19529,65,1989,124
19529,60,2000,127
19529,65,2000,129
19529,60,2001,123
19529,65,2001,132
19529,60,2002,136
19529,65,2002,140
19529,60,2003,132
19529,65,2003,136
19526,60,2003,140
19529,60,2004,131
19526,60,2004,141
19529,65,2004,142
19529,60,2005,141
19529,65,2005,144
19526,60,2012,139
19526,65,2012,144
19529,60,2013,125
19529,65,2013,129
19526,65,2013,138
19526,69,2013,142
19528,60,2014,104
19528,65,2014,115
19529,60,2014,125
19529,65,2014,128
19528,60,2015,100
19528,65,2015,118
19527,60,2015,134
19527,65,2015,141
