PEP_ID,BBCH,YEAR,DAY
4431,60,1951,96
1918,7,1951,99
3508,60,1951,100
3929,60,1951,102
3575,60,1951,108
739,60,1951,108
3693,7,1951,109
3531,7,1951,110
2631,7,1951,110
3791,7,1951,112
3059,7,1951,115
4500,7,1951,115
3015,60,1951,115
4191,7,1951,116
5424,7,1951,116
4451,60,1951,116
4000,60,1951,117
1943,60,1951,117
2840,7,1951,118
2935,7,1951,118
2964,7,1951,118
3085,7,1951,118
3884,7,1951,118
5446,7,1951,118
5577,7,1951,118
2648,60,1951,118
3910,60,1951,118
4244,60,1951,118
3091,7,1951,119
3545,7,1951,119
4335,7,1951,119
4413,7,1951,119
4469,60,1951,119
2998,7,1951,120
3257,7,1951,120
5888,7,1951,120
3262,7,1951,121
4362,7,1951,121
1462,7,1951,121
2010,7,1951,121
2876,7,1951,121
1915,7,1951,122
1917,7,1951,122
2370,7,1951,122
5800,7,1951,122
3064,7,1951,122
3813,7,1951,122
3929,7,1951,122
3992,7,1951,122
4058,7,1951,122
5520,7,1951,122
3809,60,1951,122
3958,60,1951,122
3209,7,1951,123
3489,7,1951,123
3798,7,1951,123
4035,7,1951,123
4141,7,1951,123
4288,7,1951,123
4843,7,1951,123
6082,7,1951,123
6126,7,1951,123
5617,7,1951,124
1609,7,1951,124
1924,7,1951,124
2304,7,1951,124
2308,7,1951,124
3160,7,1951,124
3486,7,1951,124
3810,7,1951,124
4244,7,1951,124
4273,7,1951,124
4437,7,1951,124
4492,7,1951,124
5106,7,1951,124
5380,7,1951,124
2985,60,1951,124
3532,60,1951,124
3008,7,1951,125
3217,7,1951,125
3548,7,1951,125
3575,7,1951,125
4000,7,1951,125
4098,7,1951,125
6079,7,1951,125
6159,7,1951,125
6433,7,1951,125
434,7,1951,125
1504,7,1951,125
4157,60,1951,125
4433,60,1951,125
2972,7,1951,126
3118,7,1951,126
3219,7,1951,126
1616,7,1951,126
1637,7,1951,126
1958,7,1951,126
2008,7,1951,126
2648,7,1951,126
5762,7,1951,126
6127,7,1951,126
6263,7,1951,126
4365,60,1951,126
2989,7,1951,127
3291,7,1951,127
3756,7,1951,127
3921,7,1951,127
4290,7,1951,127
4357,7,1951,127
4368,7,1951,127
5467,7,1951,127
5644,7,1951,127
6046,7,1951,127
6120,7,1951,127
480,7,1951,127
1904,7,1951,127
2906,7,1951,127
2916,7,1951,127
1669,60,1951,127
4472,60,1951,127
3031,7,1951,128
3097,7,1951,128
3581,7,1951,128
3674,7,1951,128
4147,7,1951,128
4163,7,1951,128
5376,7,1951,128
5555,7,1951,128
1940,7,1951,128
1952,7,1951,128
2011,7,1951,128
2924,7,1951,128
5609,7,1951,128
5615,7,1951,128
5686,7,1951,128
