PEP_ID,BBCH,YEAR,DAY
20451,95,1951,292
20452,95,1953,310
20450,11,1954,102
20452,11,1954,126
20450,65,1954,126
20451,11,1954,133
20452,60,1954,161
20452,65,1954,167
20451,60,1954,171
20450,95,1954,231
20451,86,1954,262
20451,95,1954,273
20452,11,1955,112
20449,11,1955,124
20449,65,1955,129
20451,11,1955,132
20452,65,1955,137
20451,95,1955,287
20452,95,1955,315
20450,11,1956,111
20449,11,1956,124
20450,65,1956,134
20449,60,1956,149
20450,11,1957,99
20449,11,1957,99
20450,65,1957,139
20449,65,1957,139
20450,11,1958,104
20449,11,1958,124
20450,65,1958,129
20449,65,1958,144
20450,11,1959,86
20450,65,1959,98
20449,11,1959,115
20449,11,1960,105
20449,65,1960,143
20449,60,1961,101
20449,65,1961,111
20450,65,1961,158
20449,11,1962,141
20449,60,1962,148
20450,60,1963,104
20449,60,1963,144
20449,65,1963,146
20450,65,1963,170
20452,60,1964,126
20449,60,1964,147
20449,65,1964,157
20452,65,1964,160
20451,60,1964,162
20450,60,1964,167
20451,65,1964,167
20450,65,1964,172
20449,60,1965,154
20450,60,1965,155
20449,65,1965,158
20450,65,1965,160
20449,60,1966,138
20452,60,1966,141
20452,65,1966,147
20449,65,1966,147
20451,60,1966,170
20451,65,1966,174
20452,60,1967,113
20449,60,1967,145
20452,65,1967,148
20449,65,1967,152
20450,11,1967,155
20450,60,1967,160
20449,60,1968,131
20449,65,1968,136
20449,60,1969,142
20451,60,1969,146
20449,65,1969,147
20451,65,1969,152
20452,60,1969,156
20452,65,1969,162
20449,60,1970,97
20452,60,1970,124
20452,65,1970,129
20450,60,1970,155
20450,65,1970,160
20451,60,1970,165
20449,65,1970,165
20451,65,1970,173
20449,60,1971,121
20449,65,1971,145
20452,60,1971,153
20452,65,1971,158
20449,60,1972,145
20449,65,1972,150
20452,60,1972,151
20452,65,1972,157
20449,60,1973,146
20449,65,1973,149
20452,60,1973,151
20451,60,1973,154
20451,65,1973,156
20452,65,1973,164
20452,60,1974,129
20449,60,1974,157
20449,65,1974,162
20452,65,1974,166
20452,60,1975,139
20449,60,1975,145
20452,65,1975,147
20449,65,1975,152
20451,60,1976,172
20451,65,1976,183
20452,60,1977,136
20449,60,1977,139
20449,65,1977,144
20451,60,1977,149
20452,65,1977,155
20451,65,1977,158
20452,60,1978,155
20451,60,1978,157
20449,60,1978,160
20452,65,1978,162
20451,65,1978,173
20452,60,1979,142
20449,60,1979,144
20449,65,1979,148
20451,60,1979,149
20451,65,1979,154
20452,65,1979,157
20449,60,1981,145
20452,60,1981,151
20449,65,1981,152
20452,65,1981,157
20449,60,1983,137
20449,65,1983,148
20451,60,1983,160
20451,65,1983,177
20451,60,1984,162
20451,65,1984,174
20449,60,1985,141
20449,65,1985,148
20449,60,1986,126
20449,65,1986,137
20450,60,1987,129
20450,65,1987,137
20449,60,1987,156
20449,65,1987,167
20451,60,1987,170
20451,65,1987,175
20449,60,1988,140
20452,60,1988,148
20449,65,1988,152
20452,65,1988,153
20449,60,1989,138
20452,60,1989,142
20451,60,1989,142
20449,65,1989,145
20452,65,1989,151
20451,65,1989,155
20450,60,1990,125
20449,60,1990,134
20450,65,1990,136
20452,60,1990,142
20449,65,1990,144
20452,65,1990,151
20452,60,1993,114
20449,60,1993,149
20452,65,1993,154
20449,65,1993,158
20449,60,1997,141
20449,65,1997,144
20449,60,1998,147
20449,65,1998,149
20450,60,2004,119
20450,65,2004,131
20452,60,2004,162
20452,65,2004,167
20451,60,2005,168
20451,65,2005,173
20450,65,2009,114
20450,60,2011,107
20450,65,2011,114
20448,60,2014,133
20450,60,2014,140
20450,65,2014,145
20451,60,2014,163
20448,65,2014,163
20451,65,2014,172
20448,86,2014,240
20451,86,2014,263
20451,97,2014,285
20448,97,2014,331
