PEP_ID,BBCH,YEAR,DAY
20586,60,1961,100
20586,65,1961,110
20583,60,1961,121
20583,65,1961,130
20582,60,1961,140
20582,65,1961,148
20586,60,1962,110
20583,60,1962,134
20585,60,1962,135
20583,65,1962,141
20582,60,1962,142
20585,65,1962,142
20582,65,1962,150
20586,65,1962,153
20583,60,1963,140
20582,60,1963,143
20583,65,1963,146
20582,65,1963,147
20586,60,1964,122
20586,65,1964,126
20583,60,1964,134
20583,65,1964,140
20582,60,1964,142
20582,65,1964,148
20585,60,1965,142
20583,60,1965,144
20585,65,1965,146
20583,65,1965,149
20582,60,1965,152
20582,65,1965,158
20585,60,1966,128
20583,60,1966,133
20585,65,1966,134
20583,65,1966,139
20582,60,1966,144
20582,65,1966,152
20584,60,1967,123
20584,65,1967,132
20585,60,1967,133
20583,60,1967,137
20585,65,1967,137
20582,60,1967,140
20582,65,1967,145
20583,65,1967,145
20584,60,1968,118
20585,60,1968,122
20583,60,1968,123
20586,60,1968,125
20584,65,1968,126
20585,65,1968,127
20586,65,1968,128
20583,65,1968,129
20582,60,1968,131
20582,65,1968,134
20584,60,1969,122
20586,60,1969,130
20584,65,1969,130
20585,60,1969,133
20586,65,1969,134
20583,60,1969,136
20585,65,1969,137
20582,60,1969,140
20583,65,1969,143
20582,65,1969,145
20584,60,1970,118
20584,65,1970,123
20586,60,1970,124
20586,65,1970,129
20583,60,1970,131
20585,60,1970,132
20582,60,1970,137
20583,65,1970,137
20585,65,1970,137
20582,65,1970,141
20584,60,1971,115
20584,65,1971,124
20586,60,1971,126
20585,60,1971,130
20583,60,1971,135
20586,65,1971,135
20585,65,1971,136
20582,60,1971,138
20582,65,1971,143
20583,65,1971,144
20584,60,1972,110
20586,60,1972,119
20584,65,1972,119
20586,65,1972,126
20583,60,1972,134
20582,60,1972,138
20583,65,1972,140
20582,65,1972,142
20584,60,1973,125
20586,60,1973,128
20584,65,1973,128
20586,65,1973,135
20585,60,1973,137
20582,60,1973,140
20585,65,1973,142
20582,65,1973,145
20584,60,1974,120
20584,65,1974,126
20586,60,1974,130
20583,60,1974,137
20586,65,1974,139
20585,60,1974,140
20583,65,1974,142
20582,60,1974,145
20585,65,1974,146
20582,65,1974,150
20584,60,1975,120
20586,60,1975,126
20584,65,1975,128
20586,65,1975,134
20583,60,1975,135
20585,60,1975,136
20583,65,1975,138
20582,60,1975,140
20585,65,1975,140
20582,65,1975,145
20583,60,1976,134
20583,65,1976,141
20582,65,1976,170
20584,60,1977,116
20586,60,1977,118
20584,65,1977,120
20586,65,1977,124
20583,60,1977,125
20583,65,1977,130
20582,60,1977,140
20582,65,1977,145
20584,60,1978,126
20586,60,1978,130
20584,65,1978,130
20586,65,1978,137
20583,60,1978,138
20583,65,1978,146
20582,60,1978,150
20582,65,1978,154
20584,60,1979,123
20584,65,1979,127
20586,60,1979,133
20583,60,1979,136
20583,65,1979,140
20586,65,1979,140
20582,60,1979,142
20582,65,1979,146
20584,60,1980,128
20584,65,1980,132
20586,60,1980,134
20586,65,1980,140
20583,60,1980,148
20583,65,1980,153
20582,60,1980,161
20582,65,1980,168
20584,60,1981,121
20584,65,1981,125
20586,60,1981,130
20583,60,1981,133
20586,65,1981,135
20585,60,1981,138
20583,65,1981,138
20582,60,1981,142
20585,65,1981,142
20582,65,1981,145
20584,60,1982,130
20584,65,1982,134
20585,60,1982,135
20586,60,1982,136
20585,65,1982,139
20586,65,1982,140
20583,60,1982,141
20583,65,1982,146
20582,60,1982,147
20582,65,1982,152
20584,60,1983,110
20584,65,1983,113
20586,60,1983,123
20583,60,1983,124
20586,65,1983,127
20583,65,1983,129
20585,60,1983,130
20585,65,1983,135
20582,60,1983,138
20582,65,1983,143
20584,60,1984,121
20584,65,1984,126
20586,60,1984,134
20586,65,1984,139
20585,60,1984,140
20582,60,1984,144
20583,60,1984,145
20585,65,1984,146
20582,65,1984,148
20583,65,1984,150
20584,60,1985,117
20584,65,1985,121
20586,60,1985,123
20586,65,1985,126
20585,60,1985,129
20585,65,1985,138
20582,60,1985,140
20582,65,1985,145
20584,60,1986,110
20584,65,1986,113
20586,60,1986,116
20586,65,1986,120
20585,60,1986,128
20583,60,1986,131
20585,65,1986,135
20583,65,1986,141
20584,60,1987,134
20586,60,1987,135
20585,60,1987,135
20584,65,1987,137
20586,65,1987,139
20583,60,1987,142
20585,65,1987,145
20583,65,1987,150
20584,60,1988,122
20582,60,1988,123
20586,60,1988,126
20584,65,1988,126
20585,60,1988,133
20586,65,1988,134
20583,60,1988,140
20585,65,1988,140
20583,65,1988,150
20582,65,1988,150
20584,60,1989,103
20586,60,1989,105
20584,65,1989,107
20586,65,1989,110
20583,60,1989,127
20582,60,1989,135
20583,65,1989,135
20582,65,1989,140
20584,60,1991,120
20584,65,1991,126
20586,60,1991,130
20586,65,1991,137
20585,60,1991,138
20585,65,1991,145
20582,60,1991,154
20583,60,1991,158
20582,65,1991,160
20583,65,1991,166
20584,60,1992,114
20584,65,1992,122
20585,60,1992,124
20586,60,1992,128
20585,65,1992,131
20583,60,1992,135
20583,65,1992,140
20586,65,1992,146
20582,60,1992,149
20582,65,1992,159
20584,60,1993,121
20584,65,1993,125
20586,60,1993,130
20585,60,1993,130
20583,60,1993,135
20585,65,1993,137
20586,65,1993,137
20582,60,1993,144
20583,65,1993,145
20582,65,1993,149
20586,60,1994,125
20586,65,1994,126
20585,60,1994,127
20583,60,1994,130
20583,65,1994,135
20585,65,1994,137
20584,60,1994,149
20584,65,1994,154
20584,60,1995,121
20586,60,1995,123
20584,65,1995,128
20585,60,1995,132
20586,65,1995,132
20585,65,1995,140
20583,60,1995,144
20582,60,1995,146
20582,65,1995,151
20583,65,1995,156
20584,60,1996,128
20584,65,1996,133
20585,60,1996,140
20583,60,1996,140
20582,60,1996,140
20582,65,1996,143
20585,65,1996,143
20586,60,1996,145
20586,65,1996,147
20583,65,1996,150
20584,60,1997,130
20585,60,1997,134
20583,60,1997,135
20584,65,1997,136
20586,60,1997,138
20585,65,1997,139
20583,65,1997,140
20582,60,1997,141
20586,65,1997,143
20582,65,1997,146
20584,60,1998,118
20586,60,1998,123
20584,65,1998,124
20585,60,1998,126
20586,65,1998,127
20585,65,1998,134
20583,60,1998,135
20583,65,1998,140
20582,60,1998,142
20582,65,1998,153
20584,60,1999,118
20584,65,1999,122
20585,60,1999,125
20586,60,1999,125
20586,65,1999,129
20583,60,1999,135
20582,60,1999,135
20585,65,1999,136
20583,65,1999,140
20582,65,1999,143
20584,60,2000,114
20586,60,2000,118
20584,65,2000,118
20586,65,2000,122
20583,60,2000,125
20585,60,2000,128
20585,65,2000,132
20582,60,2000,133
20583,65,2000,133
20582,65,2000,140
20584,60,2001,109
20584,65,2001,114
20586,60,2001,115
20586,65,2001,120
20583,60,2001,125
20583,65,2001,135
20582,60,2001,136
20582,65,2001,145
20586,60,2002,123
20585,60,2002,126
20586,65,2002,128
20584,60,2002,130
20583,60,2002,130
20583,65,2002,132
20585,65,2002,132
20584,65,2002,134
20582,60,2002,146
20582,65,2002,148
20585,60,2003,127
20586,60,2003,132
20585,65,2003,132
20582,60,2003,133
20584,60,2003,134
20583,60,2003,138
20584,65,2003,138
20582,65,2003,140
20583,65,2003,143
20586,65,2003,143
20586,60,2004,128
20584,60,2004,130
20583,60,2004,131
20585,60,2004,131
20584,65,2004,135
20582,60,2004,136
20585,65,2004,136
20583,65,2004,139
20586,65,2004,140
20582,65,2004,141
20584,60,2005,107
20584,65,2005,115
20586,60,2005,126
20585,60,2005,127
20585,65,2005,132
20583,60,2005,134
20586,65,2005,134
20582,60,2005,135
20582,65,2005,138
20583,65,2005,141
20586,60,2006,128
20584,60,2006,130
20585,60,2006,130
20586,65,2006,132
20584,65,2006,134
20585,65,2006,135
20583,60,2006,136
20582,60,2006,142
20583,65,2006,143
20582,65,2006,148
20586,60,2007,115
20584,60,2007,120
20584,65,2007,125
20585,60,2007,128
20586,65,2007,129
20583,60,2007,131
20582,60,2007,132
20585,65,2007,134
20582,65,2007,140
20583,65,2007,140
20586,60,2008,113
20584,60,2008,115
20584,65,2008,121
20586,65,2008,125
20583,60,2008,129
20585,60,2008,130
20582,60,2008,130
20583,65,2008,134
20585,65,2008,135
20582,65,2008,136
20584,60,2009,110
20584,65,2009,121
20586,60,2009,126
20585,60,2009,129
20585,65,2009,133
20582,60,2009,136
20586,65,2009,137
20583,65,2009,141
20582,65,2009,141
20583,60,2010,134
20583,65,2010,140
20584,60,2011,104
20584,65,2011,121
20585,60,2011,130
20585,65,2011,132
20584,60,2012,110
20584,65,2012,121
20586,60,2012,127
20585,60,2012,129
20586,65,2012,131
20582,60,2012,133
20583,60,2012,133
20585,65,2012,133
20582,65,2012,137
20583,65,2012,139
20584,60,2013,110
20584,65,2013,121
20583,60,2013,130
20586,60,2013,131
20582,60,2013,131
20585,60,2013,132
20585,65,2013,135
20583,65,2013,136
20582,65,2013,140
20586,65,2013,140
20584,60,2014,110
20586,60,2014,119
20584,65,2014,125
20586,65,2014,128
20583,60,2014,134
20585,60,2014,134
20582,60,2014,140
20585,65,2014,140
20583,65,2014,140
20582,65,2014,143
