PEP_ID,BBCH,YEAR,DAY
7801,11,1868,130
7801,60,1868,152
7801,11,1869,118
7686,60,1869,152
7801,60,1869,161
7801,11,1870,125
7699,11,1870,132
7475,60,1870,159
7801,60,1870,164
7699,11,1871,127
7801,11,1871,131
7475,11,1871,142
7475,60,1871,154
7990,60,1871,163
7801,60,1871,173
7923,11,1872,119
7801,11,1872,124
7492,60,1872,167
7475,60,1872,170
7801,60,1872,171
7923,60,1872,228
7475,11,1873,131
7801,11,1873,147
7923,60,1873,201
7929,11,1874,116
7923,11,1874,121
7801,11,1874,132
7923,60,1874,166
7801,60,1874,171
7929,11,1875,134
7801,11,1875,136
7923,60,1875,161
7929,11,1876,129
7801,11,1876,160
7923,60,1876,160
7475,60,1876,169
7929,60,1876,172
7801,60,1876,183
7801,11,1877,140
7475,11,1877,148
7929,11,1877,150
7929,60,1877,169
7801,60,1877,182
7929,11,1878,121
7797,11,1878,133
7475,11,1878,146
7929,60,1878,153
7475,60,1878,163
7801,60,1879,160
7923,60,1879,182
7669,11,1883,55
7934,11,1884,140
7934,60,1884,163
7532,11,1886,141
7532,60,1886,174
7640,11,1890,126
7814,60,1890,154
7962,60,1890,162
7640,11,1891,134
7743,11,1891,162
7640,11,1892,140
7640,60,1892,161
7640,11,1893,115
7640,60,1893,143
7669,11,1894,96
7640,11,1894,105
7640,60,1894,156
7640,11,1895,127
7640,60,1895,161
7990,11,1896,131
7473,11,1896,152
7990,60,1896,154
7473,60,1896,173
