PEP_ID,National_ID,LON,LAT,ALT,NAME
7140,2,18.2,54.3,218,Kartuzy
7141,4,21.7,54.2,120,Wegorzewo
7142,7,17.2,53.8,140,Przechlewo
7143,8,15.4,53.8,38,Resko
7144,10,23.4,53.7,150,Dabrowa Bialostocka
7145,21,18.1,52.8,90,Janikowo
7146,27,23,52.3,137,Mielnik
7147,43,21.8,51.1,156,Solec
7148,45,18.4,51,200,Gorzow Slaski
7149,60,19.1,49.7,346,Lodygowice
7150,61,18.7833,49.7,400,Ustrovi
7151,68,20.7,49.4,370,Piwniczna
7152,69,21.8,49.4,431,Jasliska
20614,200,14.2422,53.9233,5,Swinoujscie
20615,115,16.8542,54.5883,3,Ustka
20616,195,22.9489,54.1308,184,Suwa?ki
20617,250,18.5956,53.0419,69,Torun
20618,310,14.6197,52.3486,53,Slubice
20619,385,22.2447,52.1811,152,Siedlce
20620,418,16.5347,51.8356,91,Leszno
20621,469,19.8664,51.3533,188,Sulejow
20622,500,15.7889,50.9003,342,Jelenia Gora
20623,520,16.6142,50.4369,356,Klodzko
20624,560,19.0328,50.2406,279,Katowice
20625,690,22.3417,49.4664,420,Lesko
20626,280,21.5897,53.7892,127,Miko?ajki
20627,235,17.5325,53.7153,164,Chojnice
20628,295,23.1622,53.1072,148,Bia?ystok
20629,585,21.7158,50.6967,217,Sandomierz
20630,660,20.6886,49.6272,292,Nowy S?cz
20631,230,16.7472,53.1306,72,Pi?a
20632,160,19.5436,54.2233,189,Elbl?g-Milejewo
