PEP_ID,BBCH,YEAR,DAY
19299,60,1961,108
19299,65,1961,119
19291,60,1961,125
19300,60,1961,125
19296,60,1961,126
19295,60,1961,129
19291,65,1961,134
19300,65,1961,134
19296,65,1961,135
19297,60,1961,137
19295,65,1961,137
19293,60,1961,143
19297,65,1961,145
19293,65,1961,147
19297,86,1961,222
19300,86,1961,224
19295,86,1961,231
19299,86,1961,232
19293,86,1961,233
19299,60,1962,112
19299,65,1962,117
19291,60,1962,138
19295,60,1962,138
19300,60,1962,138
19296,60,1962,140
19291,65,1962,142
19296,65,1962,145
19300,65,1962,146
19295,65,1962,147
19297,60,1962,164
19293,60,1962,170
19297,65,1962,170
19293,65,1962,175
19296,86,1962,227
19297,86,1962,230
19299,86,1962,231
19300,86,1962,232
19295,86,1962,234
19293,86,1962,242
19299,60,1963,112
19299,65,1963,126
19300,60,1963,138
19296,60,1963,139
19291,60,1963,140
19295,60,1963,143
19300,65,1963,145
19291,65,1963,146
19296,65,1963,146
19295,65,1963,150
19297,60,1963,152
19297,65,1963,156
19293,60,1963,159
19293,65,1963,172
19299,86,1963,211
19296,86,1963,223
19300,86,1963,227
19295,86,1963,228
19297,86,1963,235
19293,86,1963,238
19291,86,1963,240
19299,60,1964,98
19299,65,1964,103
19300,60,1964,142
19291,60,1964,143
19295,60,1964,146
19296,60,1964,146
19300,65,1964,148
19291,65,1964,149
19297,60,1964,151
19295,65,1964,152
19296,65,1964,157
19297,65,1964,158
19293,60,1964,159
19293,65,1964,162
19300,86,1964,222
19295,86,1964,225
19296,86,1964,231
19293,86,1964,236
19297,86,1964,239
19299,86,1964,239
19291,86,1964,241
19299,60,1965,128
19299,65,1965,138
19300,60,1965,142
19295,60,1965,145
19292,60,1965,148
19300,65,1965,151
19297,60,1965,152
19295,65,1965,152
19296,60,1965,157
19297,65,1965,157
19296,65,1965,164
19293,60,1965,169
19293,65,1965,176
19300,86,1965,231
19292,86,1965,232
19295,86,1965,233
19297,86,1965,238
19296,86,1965,240
19293,86,1965,245
19299,60,1966,98
19299,65,1966,111
19296,60,1966,125
19296,65,1966,128
19292,60,1966,132
19297,60,1966,132
19291,60,1966,134
19300,60,1966,134
19295,60,1966,136
