PEP_ID,BBCH,YEAR,DAY
7139,60,1971,129
7060,60,1971,138
7138,60,1971,139
7102,60,1971,140
7103,60,1971,140
7099,60,1971,141
7114,60,1971,141
7064,60,1971,144
7139,65,1971,144
7102,65,1971,145
7138,65,1971,145
7060,65,1971,146
7053,60,1971,150
7055,60,1971,150
7064,65,1971,150
7103,65,1971,150
7114,65,1971,150
7095,60,1971,152
7072,60,1971,155
7055,65,1971,155
7049,60,1971,156
7053,65,1971,156
7095,65,1971,157
7046,60,1971,159
7063,60,1971,159
7099,65,1971,159
7059,60,1971,161
7063,65,1971,165
7072,65,1971,165
7059,65,1971,166
7058,60,1971,167
7049,65,1971,169
7116,60,1971,173
7058,65,1971,173
7039,60,1971,175
7046,65,1971,178
7116,65,1971,178
7039,65,1971,181
7114,86,1971,219
7062,86,1971,238
7116,86,1971,244
7046,86,1971,252
7053,86,1971,252
7102,86,1971,253
7055,86,1971,256
7099,86,1971,260
7116,97,1971,269
7060,97,1971,280
7077,97,1971,285
7139,97,1971,299
7072,97,1971,301
7138,97,1971,301
7058,97,1971,305
7103,97,1971,305
7102,97,1971,309
7046,97,1971,311
7099,97,1971,319
7110,60,1972,77
7102,60,1972,136
7103,60,1972,140
7114,60,1972,140
7102,65,1972,140
7060,60,1972,141
7138,60,1972,143
7060,65,1972,144
7103,65,1972,145
7114,65,1972,146
7138,65,1972,150
7053,60,1972,151
7055,60,1972,155
7099,60,1972,156
7049,60,1972,159
7109,60,1972,160
7072,60,1972,161
7109,65,1972,162
7063,60,1972,165
7116,60,1972,167
7053,65,1972,167
7058,60,1972,169
7046,60,1972,170
7055,65,1972,171
7063,65,1972,171
7116,65,1972,172
7072,65,1972,174
7059,60,1972,176
7099,65,1972,177
7039,60,1972,178
7058,65,1972,178
7059,65,1972,181
7045,60,1972,184
7046,65,1972,184
7039,65,1972,188
7114,86,1972,217
7103,86,1972,230
7102,86,1972,232
7055,86,1972,244
7058,86,1972,250
7053,86,1972,260
7099,86,1972,263
7063,86,1972,273
7060,97,1972,274
7116,97,1972,277
7058,97,1972,284
7102,97,1972,294
7103,97,1972,294
7099,97,1972,295
7072,97,1972,296
7138,97,1972,305
7046,97,1972,314
7103,60,1973,140
7138,60,1973,142
7103,65,1973,144
7114,60,1973,146
7102,60,1973,147
7114,65,1973,150
7138,65,1973,155
7099,60,1973,156
7102,65,1973,156
7053,60,1973,159
7062,60,1973,161
7063,60,1973,161
7116,60,1973,161
7139,60,1973,161
7055,60,1973,162
7095,60,1973,163
7046,60,1973,164
7063,65,1973,167
7095,65,1973,167
7139,65,1973,167
7072,60,1973,168
7053,65,1973,168
7058,60,1973,169
7062,65,1973,169
7099,65,1973,169
7055,65,1973,170
7116,65,1973,170
7039,60,1973,171
7059,60,1973,171
7059,65,1973,175
7072,65,1973,175
7045,60,1973,176
7058,65,1973,176
7046,65,1973,179
7039,65,1973,180
7114,86,1973,215
7103,86,1973,230
7102,86,1973,232
7062,86,1973,242
7053,86,1973,243
7046,86,1973,256
7055,86,1973,257
7058,86,1973,257
7095,86,1973,258
7072,86,1973,262
7063,86,1973,269
7059,86,1973,270
7112,97,1973,273
7058,97,1973,276
7116,97,1973,278
7062,97,1973,281
7138,97,1973,281
7099,97,1973,288
7110,97,1973,293
7057,97,1973,297
7072,97,1973,311
7102,97,1973,312
7103,97,1973,312
7046,97,1973,314
7119,60,1974,130
7111,60,1974,132
7102,60,1974,133
7103,60,1974,135
7119,65,1974,135
7102,65,1974,138
7062,60,1974,140
7103,65,1974,140
7053,60,1974,141
7114,60,1974,146
7099,60,1974,147
7054,60,1974,148
7114,65,1974,151
7111,65,1974,152
7063,60,1974,153
7072,60,1974,155
7063,65,1974,156
7095,60,1974,158
7053,65,1974,159
7046,60,1974,161
7062,65,1974,162
7095,65,1974,163
7058,60,1974,164
7055,60,1974,165
7099,65,1974,166
7045,60,1974,168
7055,65,1974,168
7059,60,1974,170
7072,65,1974,170
7116,60,1974,175
7059,65,1974,175
7058,65,1974,176
7046,65,1974,177
7116,65,1974,181
7111,86,1974,209
7114,86,1974,227
7103,86,1974,232
7102,86,1974,237
7062,86,1974,240
7095,86,1974,253
7116,86,1974,256
7072,86,1974,258
7063,86,1974,267
7116,97,1974,272
7112,97,1974,285
7102,97,1974,295
7103,97,1974,295
7057,97,1974,301
7111,97,1974,301
7138,97,1974,305
7046,97,1974,311
7054,97,1974,312
7062,97,1974,312
7072,97,1974,315
7119,60,1975,115
7102,60,1975,138
7114,60,1975,139
7103,60,1975,140
7115,60,1975,141
7118,60,1975,141
7114,65,1975,143
7102,65,1975,145
7118,65,1975,146
7053,60,1975,148
7103,65,1975,150
7095,60,1975,155
7099,60,1975,156
7058,60,1975,158
7046,60,1975,161
7062,60,1975,161
7058,65,1975,161
7095,65,1975,161
7049,60,1975,162
7053,65,1975,162
