PEP_ID,BBCH,YEAR,DAY
19519,11,2006,50
19518,55,2006,87
19521,55,2006,93
19519,55,2006,94
19518,65,2006,121
19519,61,2006,131
19301,65,2006,131
19519,85,2006,193
19521,81,2006,198
19519,89,2006,240
19519,14,2007,77
19521,55,2007,78
19516,55,2007,85
19496,60,2007,99
19516,60,2007,99
19519,55,2007,102
19301,60,2007,102
19516,61,2007,106
19521,65,2007,106
19519,61,2007,107
19519,65,2007,116
19496,65,2007,128
19516,69,2007,135
19496,69,2007,140
19519,81,2007,166
19521,86,2007,169
19519,85,2007,177
19519,89,2007,192
19516,92,2007,204
19519,95,2007,245
19519,97,2007,255
19521,55,2008,78
19516,55,2008,78
19522,60,2008,105
19500,60,2008,105
19521,60,2008,106
19519,60,2008,109
19523,55,2008,111
19519,61,2008,115
19523,60,2008,118
19522,65,2008,119
19519,65,2008,123
19516,65,2008,127
19301,65,2008,128
19516,69,2008,141
19521,69,2008,141
19500,69,2008,148
19523,69,2008,153
19516,89,2008,190
19521,89,2008,190
19519,89,2008,205
19516,14,2009,83
19520,15,2009,83
19521,55,2009,83
19519,55,2009,85
19519,60,2009,105
19519,65,2009,114
19516,61,2009,118
19521,65,2009,118
19520,65,2009,118
19301,65,2009,119
19516,65,2009,132
19516,69,2009,146
19519,85,2009,177
19516,85,2009,188
19521,89,2009,188
19519,89,2009,198
19521,92,2009,204
19521,94,2009,223
19519,95,2009,244
19519,55,2010,105
19516,65,2010,109
19515,55,2010,110
19517,65,2010,110
19514,60,2010,117
19301,60,2010,118
19496,60,2010,123
19514,61,2010,124
19515,60,2010,125
19301,65,2010,125
19518,65,2010,125
19519,65,2010,126
19496,61,2010,127
19517,69,2010,131
19515,61,2010,132
19496,65,2010,132
19514,65,2010,138
19515,65,2010,139
19519,69,2010,140
19514,69,2010,151
19515,69,2010,152
19516,81,2010,173
19517,81,2010,173
19514,81,2010,173
19516,85,2010,187
19517,85,2010,187
19514,89,2010,208
19517,92,2010,208
19496,11,2011,89
19523,55,2011,92
19519,55,2011,95
19506,11,2011,96
19522,55,2011,96
19496,55,2011,96
19517,55,2011,102
19514,65,2011,102
19506,55,2011,104
19516,60,2011,109
19522,60,2011,110
19496,60,2011,110
19518,61,2011,110
19506,61,2011,111
19523,61,2011,113
19520,60,2011,116
19516,61,2011,116
19522,65,2011,117
19496,61,2011,118
19506,65,2011,118
19518,65,2011,122
19520,61,2011,123
19517,65,2011,123
19516,65,2011,123
19301,65,2011,124
19519,65,2011,124
19523,65,2011,127
19519,69,2011,131
19514,55,2012,81
19519,51,2012,87
19496,55,2012,87
19518,55,2012,94
19519,55,2012,94
19506,55,2012,101
19514,60,2012,101
19518,60,2012,108
19514,61,2012,108
19514,65,2012,114
19519,59,2012,116
19518,65,2012,122
19506,65,2012,129
19496,65,2012,129
19519,65,2012,129
19518,69,2012,142
19506,69,2012,143
19514,75,2012,143
19496,69,2012,151
19518,11,2013,77
19506,11,2013,85
19519,51,2013,92
19514,55,2013,92
19496,55,2013,95
19524,55,2013,99
19514,61,2013,99
19519,55,2013,100
19506,55,2013,106
19518,55,2013,106
19514,65,2013,107
19518,60,2013,112
19524,62,2013,112
19519,59,2013,113
19518,62,2013,119
19496,61,2013,121
19524,65,2013,121
19496,65,2013,127
19519,65,2013,135
19506,65,2013,135
19514,75,2013,148
19518,69,2013,154
