PEP_ID,National_ID,LON,LAT,ALT,NAME
19301,1,11.135,46.186,205,San Michele
19302,2,11.041,46.184,652,Cles
19303,3,11.057,46.184,321,Denno
19304,4,10.954,46.183,244,Sarche
19305,5,11.067,46.184,727,Romallo
19306,6,11.476,46.191,419,Borgo V.
19494,19494,11.066,45.9167,175,Volano
19495,19495,11.116,46.2166,219,Mezzocorona
19496,19496,11.6236,44.6547,11,MOLINELLA
19497,19497,11.1514,46.0769,420,COGNOLA
19498,19498,16.9667,39.1667,52,ROCCA DI NETO
19499,19499,15.9125,38.24,530,COSOLETO
19500,19500,15.86,38.36,472,PALMI
19501,19501,16.2906,38.7894,525,FILADELFIA
19502,19502,16.2383,38.7731,6,PIZZO
19503,19503,11.3603,44.4508,96,BOLOGNA-san rufillo
19504,19504,11.4017,44.4319,90,SAN LAZZARO DI SAVENA
19505,19505,11.5133,44.7331,11,FERRARA
19506,19506,8.02083,44.8528,419,SAN DAMIANO D'ASTI
19507,19507,11.1231,43.8069,50,CAMPI BISENZIO
19508,19508,11.3333,43.6667,120,INCISA IN VAL D'ARNO
19509,19509,11.4331,43.9531,250,VICCHIO
19510,19510,10.4022,42.8142,100,RIO NELL'ELBA-campo al pero
19511,19511,11.3667,43.3,205,SIENA
19513,19513,12.3697,45.4147,5,VENEZIA
19514,19514,17.1,39.35,6,CIRÌ_ MARINA
19515,19515,11.9667,45.3406,8,LEGNARO
19516,19516,16.2094,39.5647,300,CERVICATI
19517,19517,16.5864,39.6286,11,ROSSANO-c.da toscano
19518,19518,11.1869,43.795,50,FIRENZE-peretola
19519,19519,11.3536,44.4992,53,BOLOGNA-orto botanico
19520,19520,16.1533,39.0083,650,FALERNA
19521,19521,17.0567,39.3217,66,MELISSA
19522,19522,12.5247,41.8661,27,ROMA-parco della caffarella
19523,19523,12.6833,41.8,463,GROTTAFERRATA-tuscolo
19524,19524,12.8075,41.6969,293,VELLETRI-via redina ricci
20341,19525,9.77,44.8444,220,LUGAGNANO VAL D'ARDA
20342,19526,9.1,45.45,120,MILANO
20343,19527,12.9325,43.7478,41,MONTEMAGGIORE
20344,19528,15.0244,37.6306,833,NICOLOSI
20345,19529,10.0311,44.0819,32,ORTONOVO
20346,19600,13.4733,43.5267,250,OSIMO
20347,19601,10.3333,43.6833,0,PISA
20348,19602,13.3111,43.2653,160,POLLENZA
20350,19603,11.8442,43.8442,0,SESTO FIORENTINO-parco del neto
20351,19605,12.4556,41.7656,50,ROMA-decima malafede
20352,19606,12.4764,41.8053,0,ROMA-laurentino
20353,19607,12.4997,41.8339,45,ROMA-sud
20354,19608,8.85389,45.1892,130,VIGEVANO
20355,19609,15.0911,37.6533,546,ZAFFERANA ETNEA
20356,19610,12.835,41.6689,355,VELLETRI-Ist. Sper. Enologia
20358,19612,7.73917,45.0889,260,TORINO
20359,19613,11.3658,44.4833,70,BOLOGNA-giardini margherita
20360,19614,8.00083,44.8364,200,CISTERNA D'ASTI
20361,19615,16.2825,39.2464,460,COSENZA
20362,19616,7.54583,35,505,CUNEO
20363,19617,11.4428,43.6353,230,FIGLINE VAL D'ARNO
20364,19618,9.36667,46.2833,283,GORDONA
20365,19619,16.2183,38.1522,10,LAMEZIA TERME
20366,19620,11.1017,43.7219,120,LASTRA A SIGNA
20367,19621,10.5942,44.0633,761,LUCCA
20368,19622,9.77,44.8444,220,LUGAGNANO VAL D ARDA
20369,19623,10.9844,44.6278,33,MODENA
20370,19624,8.75694,44.64,350,MORNESE
20371,19625,13.4483,43.5203,180,OFFAGNA
20372,19626,8.47889,40.7828,73,SASSARI-ottava
20373,19629,12.7819,41.6883,329,VELLETRI-ospedale
20374,19630,11.4003,42.8219,320,RIO NELL'ELBA
20375,19631,16.6411,39.6017,48,ROSSANO
20376,19632,11.3061,43.7622,53,FIRENZE
