PEP_ID,BBCH,YEAR,DAY
20583,60,1961,123
20583,65,1961,127
20583,60,1962,138
20583,65,1962,145
20582,60,1962,195
20582,65,1962,197
20583,60,1963,142
20583,65,1963,149
20583,60,1964,137
20583,65,1964,147
20583,60,1965,146
20583,65,1965,153
20583,60,1966,127
20583,65,1966,132
20582,60,1966,182
20582,65,1966,187
20583,60,1967,136
20583,65,1967,146
20582,60,1967,182
20582,65,1967,186
20585,60,1968,116
20583,60,1968,127
20583,65,1968,134
20582,60,1968,141
20582,65,1968,146
20585,65,1968,163
20585,60,1969,134
20583,60,1969,138
20585,65,1969,141
20583,65,1969,146
20583,60,1970,126
20583,65,1970,134
20582,60,1970,135
20585,60,1970,138
20585,65,1970,144
20583,60,1971,133
20585,60,1971,136
20583,65,1971,140
20582,60,1971,156
20582,65,1971,161
20584,60,1972,100
20584,65,1972,110
20583,60,1972,130
20582,60,1972,131
20582,65,1972,134
20583,65,1972,138
20583,60,1974,130
20585,60,1974,137
20583,65,1974,140
20585,65,1974,146
20582,60,1974,152
20582,65,1974,161
20583,60,1975,129
20583,65,1975,139
20585,60,1975,140
20585,65,1975,146
20582,60,1975,152
20582,65,1975,159
20586,60,1976,133
20585,60,1976,135
20583,60,1976,139
20585,65,1976,139
20586,65,1976,140
20583,65,1976,146
20583,60,1977,126
20586,60,1977,128
20582,60,1977,133
20583,65,1977,133
20586,65,1977,134
20582,65,1977,140
20583,60,1978,129
20583,65,1978,138
20586,60,1978,142
20582,60,1978,148
20586,65,1978,149
20582,65,1978,153
20583,60,1979,126
20583,65,1979,137
20582,60,1979,146
20582,65,1979,158
20585,60,1980,140
20585,65,1980,145
20583,60,1980,154
20583,65,1980,160
20582,60,1980,163
20582,65,1980,169
20583,60,1981,128
20583,65,1981,134
20582,60,1981,150
20582,65,1981,156
20586,60,1982,134
20586,65,1982,140
20583,60,1982,142
20583,65,1982,148
20582,60,1982,161
20582,65,1982,166
20583,60,1983,125
20583,65,1983,130
20582,60,1983,150
20582,65,1983,155
20582,60,1984,150
20582,65,1984,157
20585,60,1985,110
20585,65,1985,130
20583,60,1985,131
20582,60,1985,146
20583,65,1985,147
20582,65,1985,150
20586,60,1986,121
20586,65,1986,127
20583,60,1986,129
20583,65,1986,137
20582,60,1986,138
20582,65,1986,140
20583,60,1987,129
20586,60,1987,135
20586,65,1987,138
20583,65,1987,139
20583,60,1988,130
20583,65,1988,138
20586,60,1988,140
20586,65,1988,145
20584,60,1989,105
20584,65,1989,111
20582,60,1989,118
20585,60,1989,124
20582,65,1989,125
20585,65,1989,128
20583,60,1989,130
20583,65,1989,135
20583,60,1990,124
20583,65,1990,128
20585,60,1991,135
20585,65,1991,141
20586,60,1991,145
20586,65,1991,153
20582,60,1991,164
20583,60,1991,164
20583,65,1991,171
20582,65,1991,171
20586,60,1992,122
20585,60,1992,133
20583,60,1992,133
20586,65,1992,133
20585,65,1992,144
20583,65,1992,147
20582,60,1992,166
20582,65,1992,171
20586,60,1993,104
20586,65,1993,110
20583,60,1993,130
20585,60,1993,142
20583,65,1993,143
20582,60,1993,144
