PEP_ID,BBCH,YEAR,DAY
7686,60,1868,140
7990,60,1868,140
7801,60,1868,145
7801,86,1868,145
7929,60,1868,147
7881,60,1868,148
7811,60,1868,153
8001,60,1868,162
7990,86,1868,215
7929,86,1868,243
8001,86,1868,248
7582,60,1869,148
7801,60,1869,150
7492,60,1869,151
7990,60,1869,151
7881,60,1869,152
7929,60,1869,152
7475,86,1869,244
7801,86,1869,249
7929,86,1869,250
7881,60,1870,63
7706,60,1870,109
7582,60,1870,147
7475,60,1870,152
7699,60,1870,158
7801,60,1870,158
7929,60,1870,164
7990,60,1870,165
7990,86,1870,245
7929,86,1870,249
7706,86,1870,251
7801,86,1870,257
7706,60,1871,151
7475,60,1871,153
7801,60,1871,159
7990,60,1871,164
7881,60,1871,165
7929,60,1871,168
7706,86,1871,253
7801,86,1871,255
7929,86,1871,259
7990,86,1871,260
7706,60,1872,123
7677,60,1872,153
7929,60,1872,157
7923,60,1872,157
7990,60,1872,158
7801,60,1872,159
7881,60,1872,162
7475,60,1872,165
7677,86,1872,229
7801,86,1872,237
7923,86,1872,238
7475,86,1872,242
7929,86,1872,242
7706,86,1872,243
7990,86,1872,248
7534,60,1873,123
7532,60,1873,131
7881,60,1873,151
7706,60,1873,152
7929,60,1873,154
7990,60,1873,156
7923,60,1873,161
7801,60,1873,161
7677,60,1873,166
7475,60,1873,171
7801,86,1873,240
7990,86,1873,241
7929,86,1873,242
7475,86,1873,246
7923,86,1873,247
7990,60,1874,152
7929,60,1874,153
7881,60,1874,153
7801,60,1874,157
7475,60,1874,157
7923,60,1874,161
7677,60,1874,191
7706,60,1874,191
7706,86,1874,227
7923,86,1874,228
7990,86,1874,236
7801,86,1874,242
7677,86,1874,249
7881,86,1874,262
7923,60,1875,147
7706,60,1875,151
7881,60,1875,154
7801,60,1875,155
7990,60,1875,155
7929,60,1875,156
7923,86,1875,225
7706,86,1875,235
7990,86,1875,235
7929,86,1875,245
7677,86,1875,249
7881,86,1875,253
7923,60,1876,153
7677,60,1876,158
7881,60,1876,161
7797,60,1876,164
7929,60,1876,168
7801,60,1876,170
7990,60,1876,171
7475,60,1876,177
7923,86,1876,222
7797,86,1876,232
7929,86,1876,239
7990,86,1876,243
7475,86,1876,249
7801,86,1876,260
7797,60,1877,159
7881,60,1877,161
7990,60,1877,164
7929,60,1877,166
7801,60,1877,169
7677,60,1877,169
7475,60,1877,171
7475,86,1877,234
7990,86,1877,244
7881,86,1877,247
7929,86,1877,253
7801,86,1877,261
7699,60,1878,61
7881,60,1878,133
7475,60,1878,141
7990,60,1878,147
7923,60,1878,152
7797,60,1878,158
7797,86,1878,197
7923,86,1878,201
7990,86,1878,224
7923,60,1879,168
7881,60,1879,169
7990,60,1879,171
7929,60,1879,177
7801,60,1879,179
7873,60,1879,189
7881,86,1879,258
7990,86,1879,265
7923,86,1879,267
7792,60,1880,170
7881,86,1880,184
7881,60,1881,168
7873,60,1881,189
7990,86,1881,246
7669,86,1881,249
7884,86,1881,265
7873,86,1881,267
7923,86,1881,282
7669,60,1882,137
7929,60,1882,146
7990,60,1882,147
7990,86,1882,244
7669,86,1882,247
7923,86,1882,250
7669,60,1883,142
7934,60,1883,149
7990,60,1883,154
7881,60,1883,157
7697,60,1883,164
7532,60,1883,170
7990,86,1883,233
7669,60,1884,143
7990,60,1884,146
7881,60,1884,147
7934,60,1884,153
7685,60,1884,178
7990,86,1884,230
7669,86,1884,231
7752,60,1885,145
7669,60,1886,150
7669,86,1886,246
7873,86,1886,258
7669,60,1887,163
7990,60,1887,171
7697,60,1887,183
7669,60,1888,154
7881,60,1888,169
7873,60,1888,189
7990,86,1888,248
7873,86,1888,280
7697,60,1889,157
7990,86,1889,214
7990,60,1890,92
7640,60,1890,122
7669,60,1890,138
7962,60,1890,145
7881,60,1890,150
7873,86,1890,238
7990,86,1890,242
7980,86,1890,255
7990,86,1891,245
7980,86,1891,257
7669,60,1892,155
7881,60,1892,159
7640,60,1892,163
7873,60,1892,183
7743,60,1892,198
7640,86,1892,258
7873,86,1892,298
7990,60,1893,140
7881,60,1893,143
7640,60,1893,144
7669,60,1893,149
7873,60,1893,168
7873,86,1893,248
7669,86,1893,252
7942,60,1894,66
7548,60,1894,111
7482,60,1894,118
7492,60,1894,128
7752,60,1894,128
7499,60,1894,128
7842,60,1894,135
7641,60,1894,139
7923,60,1894,139
8007,60,1894,140
7742,60,1894,140
7577,60,1894,140
7573,60,1894,141
7954,60,1894,141
7635,60,1894,142
8000,60,1894,143
7640,60,1894,146
7857,60,1894,146
7556,60,1894,149
7922,60,1894,150
7867,60,1894,151
7905,60,1894,153
7633,60,1894,153
7553,60,1894,156
7515,60,1894,158
7669,60,1894,160
7956,60,1894,161
7899,60,1894,165
7979,60,1894,166
7873,60,1894,176
7867,86,1894,207
7492,86,1894,209
7752,86,1894,226
8000,86,1894,227
7641,86,1894,232
7922,86,1894,233
7499,86,1894,234
7556,86,1894,239
7720,86,1894,242
7923,86,1894,245
7515,86,1894,246
7814,86,1894,250
8007,86,1894,250
7573,86,1894,253
7635,86,1894,255
7857,86,1894,258
7956,86,1894,283
7996,60,1895,133
7938,60,1895,134
7515,60,1895,140
7954,60,1895,150
7763,60,1895,151
7499,60,1895,152
7492,60,1895,154
7814,60,1895,155
7901,60,1895,155
7742,60,1895,156
7990,60,1895,158
7923,60,1895,158
7881,60,1895,159
8007,60,1895,159
7640,60,1895,160
7556,60,1895,160
7645,60,1895,160
7577,60,1895,161
7635,60,1895,162
7857,60,1895,163
7922,60,1895,164
7553,60,1895,164
7899,60,1895,166
7979,60,1895,166
7559,60,1895,171
7473,60,1895,179
7956,60,1895,181
7990,86,1895,218
7763,86,1895,227
7556,86,1895,231
8000,86,1895,232
7923,86,1895,237
7742,86,1895,239
7492,86,1895,247
7635,86,1895,251
7814,86,1895,252
7996,86,1895,253
7577,86,1895,253
7839,86,1895,253
7559,86,1895,254
7956,86,1895,263
7473,86,1895,263
7566,60,1896,132
7956,60,1896,141
7488,60,1896,152
7923,60,1896,155
7954,60,1896,155
7499,60,1896,156
7645,60,1896,157
7752,60,1896,157
7857,60,1896,157
7990,60,1896,158
7763,60,1896,158
8000,60,1896,158
7492,60,1896,159
7814,60,1896,159
7867,60,1896,159
7922,60,1896,159
7996,60,1896,160
7916,60,1896,162
7920,60,1896,162
7905,60,1896,162
7742,60,1896,162
7640,60,1896,162
7647,60,1896,163
7556,60,1896,163
7559,60,1896,165
7577,60,1896,165
7553,60,1896,167
7473,60,1896,169
7669,60,1896,169
7752,86,1896,227
7990,86,1896,230
7956,86,1896,233
7814,86,1896,233
7645,86,1896,234
7857,86,1896,235
7923,86,1896,238
8000,86,1896,238
7566,86,1896,238
7556,86,1896,240
7922,86,1896,240
7742,86,1896,243
7492,86,1896,243
7920,86,1896,245
7763,86,1896,245
7867,86,1896,251
7647,86,1896,251
7577,86,1896,253
7938,86,1896,258
7473,86,1896,263
7553,60,1897,140
7920,60,1897,148
7979,60,1897,148
7814,60,1897,150
7488,60,1897,152
7742,60,1897,153
7923,60,1897,153
7752,60,1897,153
7492,60,1897,154
7645,60,1897,154
8005,60,1897,154
7499,60,1897,155
7635,60,1897,156
7996,60,1897,156
7556,60,1897,157
7857,60,1897,159
7577,60,1897,161
7640,60,1897,163
8000,60,1897,165
7566,60,1897,166
7473,60,1897,166
7922,60,1897,167
7909,60,1897,168
7956,60,1897,171
7752,86,1897,217
7499,86,1897,225
7488,86,1897,226
7556,86,1897,235
7923,86,1897,237
7645,86,1897,237
7909,86,1897,243
8005,86,1897,245
7566,86,1897,247
7814,86,1897,248
7577,86,1897,248
7492,86,1897,248
7922,86,1897,250
7857,86,1897,251
7473,86,1897,252
7635,86,1897,253
7640,86,1897,255
7515,86,1897,258
7742,86,1897,268
7956,86,1897,283
7814,60,1898,140
7752,60,1898,154
7785,60,1898,155
7492,60,1898,156
7920,60,1898,157
7923,60,1898,157
7857,60,1898,158
7954,60,1898,158
7645,60,1898,159
8005,60,1898,159
7979,60,1898,159
7566,60,1898,160
7556,60,1898,162
7635,60,1898,162
7742,60,1898,163
7640,60,1898,165
7577,60,1898,166
7909,60,1898,171
7996,60,1898,171
7499,60,1898,172
7873,60,1898,177
7566,86,1898,227
7990,60,1898,236
7645,86,1898,241
8005,86,1898,241
7473,86,1898,245
7556,86,1898,248
7577,86,1898,253
7635,86,1898,255
7492,86,1898,257
7742,86,1898,263
7920,86,1898,264
7857,86,1898,264
7493,86,1898,282
7752,60,1899,152
7488,60,1899,153
7492,60,1899,157
7645,60,1899,158
8005,60,1899,159
7742,60,1899,159
7996,60,1899,159
7556,60,1899,160
7979,60,1899,160
7566,60,1899,161
7954,60,1899,161
7647,60,1899,161
7785,60,1899,164
7577,60,1899,164
7758,60,1899,167
7671,60,1899,167
7922,60,1899,168
7920,60,1899,169
7640,60,1899,171
8005,86,1899,237
7645,86,1899,240
7954,86,1899,244
7566,86,1899,246
7920,86,1899,246
7556,86,1899,247
7857,86,1899,249
7758,86,1899,253
7922,86,1899,257
7492,86,1899,257
7577,86,1899,268
7758,60,1900,134
7878,60,1900,155
7566,60,1900,159
7635,60,1900,160
7857,60,1900,160
7488,60,1900,161
7814,60,1900,162
7556,60,1900,162
7645,60,1900,163
8005,60,1900,164
7920,60,1900,164
7922,60,1900,164
7923,60,1900,166
7752,60,1900,167
7996,60,1900,169
7671,60,1900,170
7640,60,1900,170
7566,86,1900,214
7923,86,1900,218
7814,86,1900,228
8005,86,1900,242
7922,86,1900,246
7556,86,1900,246
7640,86,1900,247
7645,86,1900,248
7758,86,1900,249
7857,86,1900,250
7920,86,1900,259
7566,60,1901,152
7996,60,1901,154
7645,60,1901,155
8005,60,1901,159
7758,60,1901,161
7920,60,1901,162
7979,60,1901,163
7556,60,1901,166
7640,60,1901,167
7909,60,1901,175
7566,86,1901,213
7645,86,1901,239
7640,86,1901,242
8005,86,1901,244
7758,86,1901,245
7556,86,1901,248
7920,86,1901,257
8005,60,1902,152
7566,60,1902,152
7923,60,1902,155
7814,60,1902,155
7742,60,1902,156
7556,60,1902,157
7645,60,1902,157
7996,60,1902,161
7857,60,1902,161
7979,60,1902,163
7954,60,1902,163
7758,60,1902,172
7640,60,1902,176
8005,86,1902,225
7814,86,1902,242
7645,86,1902,244
7556,86,1902,246
7566,86,1902,253
7640,86,1902,257
7920,86,1902,258
7923,86,1902,262
7742,60,1903,145
7556,60,1903,151
7645,60,1903,151
7979,60,1903,152
8005,60,1903,153
7566,60,1903,154
7857,60,1903,154
7758,60,1903,154
7492,60,1903,155
7909,60,1903,155
7996,60,1903,158
7954,60,1903,158
7923,60,1903,160
7640,60,1903,161
7645,86,1903,239
8005,86,1903,242
7640,86,1903,244
7566,86,1903,244
7556,86,1903,245
7857,86,1903,253
7923,86,1903,263
7920,86,1903,264
7492,86,1903,269
7566,60,1904,149
8005,60,1904,150
7645,60,1904,151
7742,60,1904,152
7491,60,1904,153
7923,60,1904,153
7954,60,1904,153
7857,60,1904,154
7920,60,1904,160
7976,60,1904,161
7909,60,1904,171
7645,86,1904,238
7923,86,1904,243
7492,86,1904,249
7857,86,1904,250
7491,86,1904,253
8005,86,1904,255
7566,86,1904,256
7920,86,1904,263
7909,86,1904,275
7742,60,1905,145
8005,60,1905,146
7566,60,1905,147
7645,60,1905,153
7857,60,1905,153
7954,60,1905,154
7814,60,1905,156
7491,60,1905,159
7979,60,1905,159
7920,60,1905,167
7640,60,1905,168
7909,60,1905,168
7814,86,1905,229
7857,86,1905,245
7491,86,1905,247
7920,86,1905,257
8005,86,1905,267
7566,86,1905,268
7640,60,1906,141
7742,60,1906,144
7814,60,1906,149
7566,60,1906,152
7954,60,1906,157
7491,60,1906,157
7645,60,1906,158
7920,60,1906,158
7492,60,1906,159
7490,60,1906,161
7857,60,1906,169
7909,60,1906,174
7742,86,1906,235
7645,86,1906,240
7814,86,1906,244
7492,86,1906,245
7491,86,1906,246
7979,86,1906,252
7857,86,1906,260
7920,86,1906,260
7566,86,1906,263
7814,60,1907,146
7645,60,1907,149
7566,60,1907,152
7954,60,1907,152
7689,60,1907,155
7857,60,1907,155
7491,60,1907,157
7779,60,1907,158
7886,60,1907,159
7920,60,1907,161
7545,60,1907,166
7640,60,1907,166
7909,60,1907,169
7840,60,1907,184
7645,86,1907,246
7779,86,1907,248
7492,86,1907,258
7491,86,1907,260
7920,86,1907,260
7979,86,1907,263
7566,86,1907,263
7886,86,1907,272
7857,86,1907,274
7886,60,1908,149
7566,60,1908,149
7492,60,1908,154
7689,60,1908,154
7645,60,1908,155
7954,60,1908,156
7857,60,1908,158
7491,60,1908,160
7807,60,1908,160
7545,60,1908,160
7909,60,1908,162
7920,60,1908,163
7979,60,1908,169
7840,60,1908,180
7689,86,1908,231
7645,86,1908,238
7566,86,1908,243
7491,86,1908,246
7807,86,1908,247
7979,86,1908,259
7920,86,1908,260
7857,86,1908,261
7886,86,1908,264
7979,60,1909,115
7954,60,1909,154
7689,60,1909,156
7807,60,1909,159
7645,60,1909,159
7857,60,1909,162
7886,60,1909,162
7923,60,1909,164
7481,60,1909,173
7545,60,1909,174
7689,86,1909,246
7645,86,1909,248
7807,86,1909,261
7857,86,1909,261
7481,86,1909,288
7566,60,1910,140
7492,60,1910,147
7886,60,1910,148
7645,60,1910,148
7572,60,1910,149
7786,60,1910,149
7934,60,1910,150
7844,60,1910,152
7689,60,1910,152
7954,60,1910,153
7481,60,1910,155
7857,60,1910,155
7979,60,1910,156
7909,60,1910,157
7742,60,1910,157
7870,60,1910,157
7840,60,1910,161
7923,60,1910,163
7645,86,1910,239
7572,86,1910,247
7566,86,1910,247
7840,86,1910,248
7857,86,1910,250
7934,86,1910,253
7844,86,1910,258
7481,86,1910,268
7572,60,1911,142
7566,60,1911,143
7870,60,1911,145
7492,60,1911,145
7645,60,1911,149
7742,60,1911,150
7533,60,1911,151
7954,60,1911,151
7857,60,1911,152
7481,60,1911,156
7886,60,1911,156
7844,60,1911,159
7909,60,1911,161
7840,60,1911,167
7979,60,1911,170
7572,86,1911,227
7870,86,1911,232
7645,86,1911,238
7742,86,1911,246
7844,86,1911,253
7481,86,1911,255
7566,86,1911,255
7954,60,1912,124
7689,60,1912,141
7492,60,1912,144
7742,60,1912,146
