PEP_ID,BBCH,YEAR,DAY
10089,60,1952,138
10089,60,1953,136
13731,60,1953,155
10089,60,1954,149
10089,60,1955,158
12521,60,1956,145
10089,60,1956,159
10089,60,1957,133
10089,60,1958,147
10089,60,1959,126
12521,60,1960,138
13731,60,1960,155
13731,60,1961,129
12521,60,1964,138
13731,60,1964,159
12521,60,1965,135
12521,60,1966,144
12521,60,1967,135
13731,60,1972,172
17769,60,1972,173
12521,60,1973,151
12521,60,1974,146
13731,60,1974,164
12521,60,1975,152
12521,60,1976,137
13731,60,1976,158
12521,60,1977,145
13731,60,1977,149
15102,60,1977,159
17192,60,1977,170
12521,60,1978,152
15102,60,1978,158
13731,60,1978,162
12521,60,1979,152
13467,60,1979,161
17769,60,1979,162
15102,60,1979,165
17192,60,1979,177
12521,60,1980,140
15102,60,1980,147
17192,60,1980,162
12521,60,1981,140
18188,60,1981,149
15102,60,1981,150
13731,60,1981,165
12521,60,1982,145
18188,60,1982,148
15102,60,1982,153
12521,60,1983,130
15102,60,1983,164
13528,60,1983,179
12521,60,1984,136
15102,60,1984,158
12063,60,1984,160
15102,60,1985,155
12063,60,1985,158
13528,60,1985,185
18188,60,1986,162
15102,60,1986,165
15102,86,1986,267
12521,60,1987,143
18188,60,1987,183
12521,60,1988,130
15102,60,1988,141
18188,60,1988,155
12521,60,1989,126
9791,60,1989,135
17769,60,1989,147
18188,60,1989,185
15102,60,1990,123
12521,60,1990,125
17769,60,1990,128
13485,60,1990,140
18188,60,1990,144
15279,60,1990,156
13485,86,1990,224
12521,60,1991,148
15102,60,1991,149
9791,60,1991,157
17769,60,1991,167
13485,86,1991,237
12521,60,1992,141
15102,60,1992,141
9791,60,1992,145
17769,60,1992,152
12063,60,1992,179
13750,60,1992,230
13750,60,1993,114
15102,60,1993,139
12521,60,1993,142
9791,60,1993,144
17769,60,1993,162
12224,86,1993,224
13750,60,1994,29
12521,60,1994,130
15102,60,1994,138
15279,60,1994,148
18188,60,1994,154
12224,86,1994,222
13750,60,1995,102
12521,60,1995,128
15102,60,1995,143
17769,60,1995,155
18188,60,1995,185
13750,60,1996,79
9164,60,1996,116
12521,60,1996,145
15102,60,1996,159
12224,86,1996,191
12224,97,1996,277
12224,60,1997,126
12521,60,1997,136
15102,60,1997,149
18188,60,1997,165
13750,60,1997,213
12224,86,1997,216
13750,60,1998,24
15102,60,1998,131
12521,60,1998,132
11132,60,1998,133
12224,86,1998,232
10794,60,1999,102
14390,60,1999,110
17379,60,1999,112
8950,60,1999,114
12521,60,1999,115
14488,60,1999,118
13813,60,1999,119
13800,60,1999,120
8993,60,1999,122
9702,60,1999,124
13750,60,1999,124
13912,60,1999,124
14542,60,1999,124
11132,60,1999,125
17830,60,1999,125
14145,60,1999,126
15102,60,1999,126
13888,60,1999,127
10044,60,1999,128
19268,60,1999,129
12455,60,1999,130
14233,60,1999,130
18022,60,1999,130
9766,60,1999,131
13319,60,1999,131
12786,60,1999,133
16162,60,1999,134
10031,60,1999,136
10517,60,1999,137
13724,60,1999,137
18793,60,1999,138
14362,60,1999,139
8912,60,1999,141
14078,60,1999,141
16183,60,1999,143
17571,60,1999,143
13950,60,1999,146
17699,60,1999,147
18850,60,1999,147
17554,60,1999,155
18544,60,1999,159
18592,60,1999,172
10530,86,1999,212
14233,86,1999,220
18583,86,1999,223
11459,86,1999,225
8950,86,1999,228
10216,86,1999,228
15208,86,1999,228
12559,86,1999,232
8393,86,1999,233
9155,86,1999,237
14925,86,1999,237
17379,86,1999,238
8472,86,1999,239
9930,86,1999,239
14362,86,1999,239
8349,86,1999,242
15618,86,1999,242
8912,86,1999,243
10517,86,1999,245
10907,86,1999,245
12455,86,1999,245
15351,86,1999,245
17572,86,1999,247
11986,86,1999,248
12415,86,1999,248
16924,86,1999,248
18101,86,1999,248
8720,86,1999,249
15578,86,1999,249
12665,86,1999,250
17941,86,1999,250
14728,86,1999,251
9007,86,1999,252
16391,86,1999,252
13976,86,1999,253
14488,86,1999,253
14543,86,1999,253
10864,86,1999,256
17603,86,1999,256
15981,86,1999,258
13323,86,1999,259
16454,86,1999,259
13485,86,1999,261
19129,86,1999,262
10688,86,1999,263
16728,86,1999,263
18087,86,1999,264
18022,86,1999,268
18344,86,1999,268
11555,86,1999,269
19268,86,1999,276
16264,86,1999,279
13800,97,1999,284
18889,86,1999,288
12415,97,1999,292
8912,97,1999,294
18544,97,1999,294
18850,86,1999,295
18592,97,1999,298
17670,97,1999,300
12786,97,1999,301
8548,97,1999,302
9007,97,1999,304
12720,97,1999,304
18583,97,1999,304
19268,97,1999,304
8720,97,1999,306
13485,97,1999,306
16454,97,1999,306
17603,97,1999,306
18889,97,1999,306
10864,97,1999,308
15981,97,1999,308
8349,97,1999,311
9766,97,1999,311
14543,97,1999,311
13514,97,1999,312
13950,97,1999,312
15579,97,1999,312
18113,97,1999,312
16391,97,1999,314
10688,97,1999,315
14362,97,1999,315
14390,97,1999,315
18344,97,1999,315
12455,97,1999,316
17501,97,1999,316
19043,97,1999,316
16137,97,1999,317
16924,97,1999,320
18919,97,1999,320
14669,97,1999,321
16728,97,1999,321
17688,97,1999,325
15208,97,1999,326
9237,97,1999,327
18850,97,1999,328
10517,97,1999,330
16183,97,1999,331
13976,97,1999,333
13724,86,1999,334
11879,97,1999,334
18589,97,1999,335
10770,97,1999,336
11988,97,1999,336
13503,97,1999,336
8950,97,1999,337
9563,97,1999,338
14547,97,1999,341
18101,97,1999,341
8393,97,1999,344
13912,97,1999,355
13750,60,2000,41
13071,60,2000,104
15468,60,2000,108
9720,60,2000,109
17699,60,2000,110
8912,60,2000,112
11403,60,2000,112
17420,60,2000,112
8957,60,2000,117
13574,60,2000,117
11912,60,2000,119
9766,60,2000,120
16454,60,2000,121
13874,60,2000,122
11864,60,2000,123
14517,60,2000,123
14911,60,2000,123
15116,60,2000,123
15303,60,2000,123
9913,60,2000,126
11324,60,2000,126
13027,60,2000,126
11783,60,2000,127
14913,60,2000,127
15040,60,2000,127
8993,60,2000,128
9539,60,2000,128
13379,60,2000,128
14547,60,2000,128
10991,60,2000,129
15018,60,2000,129
14632,60,2000,130
9237,60,2000,131
9791,60,2000,131
10655,60,2000,131
10707,60,2000,131
11132,60,2000,131
12521,60,2000,131
12786,60,2000,131
16241,60,2000,131
13724,60,2000,132
10770,60,2000,133
11879,60,2000,133
12395,60,2000,133
14488,60,2000,133
17501,60,2000,133
8410,60,2000,134
8955,60,2000,134
10226,60,2000,134
11788,60,2000,134
12949,60,2000,134
10409,60,2000,135
10509,60,2000,135
11135,60,2000,135
9160,60,2000,136
9849,60,2000,136
10759,60,2000,136
12626,60,2000,136
13400,60,2000,136
13912,60,2000,136
17300,60,2000,136
10457,60,2000,137
11093,60,2000,137
11673,60,2000,137
12455,60,2000,137
14390,60,2000,137
19263,60,2000,137
10312,60,2000,138
10821,60,2000,138
11915,60,2000,138
13209,60,2000,138
14233,60,2000,138
14762,60,2000,138
15447,60,2000,138
15981,60,2000,138
16924,60,2000,138
11440,60,2000,139
11988,60,2000,139
12013,60,2000,139
12952,60,2000,139
12962,60,2000,139
9571,60,2000,140
11462,60,2000,140
12772,60,2000,140
13122,60,2000,140
14243,60,2000,140
14506,60,2000,140
8472,60,2000,141
12114,60,2000,141
16953,60,2000,141
17387,60,2000,141
10044,60,2000,142
10563,60,2000,142
10667,60,2000,142
11751,60,2000,142
12668,60,2000,142
13800,60,2000,142
13888,60,2000,142
14443,60,2000,142
15064,60,2000,142
15065,60,2000,142
15883,60,2000,142
16162,60,2000,142
17099,60,2000,142
18850,60,2000,142
13485,60,2000,143
13813,60,2000,143
14795,60,2000,143
16195,60,2000,143
18035,60,2000,143
18113,60,2000,143
11321,60,2000,144
11343,60,2000,144
12883,60,2000,144
13073,60,2000,144
14988,60,2000,144
12598,60,2000,145
14710,60,2000,145
15396,60,2000,145
16406,60,2000,146
17603,60,2000,146
15360,60,2000,147
17636,60,2000,147
8508,60,2000,148
9254,60,2000,148
13503,60,2000,148
15218,60,2000,148
16037,60,2000,148
17379,60,2000,148
14984,60,2000,149
16137,60,2000,149
19274,60,2000,149
8464,60,2000,150
13544,60,2000,150
13838,60,2000,150
15115,60,2000,150
15208,60,2000,150
17554,60,2000,150
18344,60,2000,150
13275,60,2000,151
13542,60,2000,151
13568,60,2000,151
13934,60,2000,151
16445,60,2000,151
18131,60,2000,151
