PEP_ID,BBCH,YEAR,DAY
19485,10,2001,92
19486,10,2001,101
19488,10,2001,102
19488,11,2001,115
19487,10,2001,125
19486,60,2001,129
19485,60,2001,135
19485,11,2001,136
19487,60,2001,137
19486,65,2001,137
19487,11,2001,138
19488,60,2001,139
19486,11,2001,142
19485,65,2001,143
19488,65,2001,145
19487,65,2001,147
19488,86,2001,199
19486,86,2001,215
19487,86,2001,216
19485,86,2001,218
19485,10,2002,84
19488,10,2002,103
19486,10,2002,104
19488,11,2002,120
19486,60,2002,122
19487,10,2002,123
19485,60,2002,126
19485,11,2002,130
19486,65,2002,132
19485,65,2002,132
19487,11,2002,133
19488,60,2002,134
19487,60,2002,136
19486,11,2002,137
19488,65,2002,144
19487,65,2002,144
19486,86,2002,193
19488,86,2002,206
19487,86,2002,210
19485,86,2002,221
19485,10,2003,83
19486,10,2003,105
19488,10,2003,111
19487,10,2003,124
19486,60,2003,125
19485,60,2003,126
19485,65,2003,130
19485,11,2003,132
19488,60,2003,132
19488,11,2003,133
19487,60,2003,134
19486,65,2003,135
19487,11,2003,137
19488,65,2003,138
19486,11,2003,142
19487,65,2003,145
19486,86,2003,190
19487,86,2003,203
19488,86,2003,204
19485,86,2003,210
19485,10,2004,86
19486,10,2004,100
19488,10,2004,103
19488,11,2004,121
19487,10,2004,125
19485,60,2004,126
19486,60,2004,128
19485,11,2004,130
19488,60,2004,131
19485,65,2004,131
19487,60,2004,136
19488,65,2004,137
19487,11,2004,139
19486,65,2004,140
19486,11,2004,145
19487,65,2004,147
19488,86,2004,200
19486,86,2004,206
19487,86,2004,215
19485,86,2004,230
19485,10,2005,98
19486,10,2005,109
19488,10,2005,110
19488,11,2005,123
19485,60,2005,124
19488,60,2005,129
19485,11,2005,130
19487,10,2005,134
19485,65,2005,135
19486,11,2005,139
19488,65,2005,139
19486,60,2005,140
19487,60,2005,144
19487,11,2005,146
19486,65,2005,147
19487,65,2005,151
19488,86,2005,169
19486,86,2005,198
19487,86,2005,216
19485,86,2005,219
19485,10,2006,104
19486,10,2006,107
19488,10,2006,109
19488,11,2006,127
19487,10,2006,129
19485,60,2006,130
19485,11,2006,132
19488,60,2006,133
19486,60,2006,137
19485,65,2006,137
19488,65,2006,139
19487,11,2006,143
19486,11,2006,146
19486,65,2006,146
19487,60,2006,148
19487,65,2006,161
19488,86,2006,201
19487,86,2006,211
19485,86,2006,215
19486,86,2006,217
19485,10,2007,81
19486,10,2007,95
19488,10,2007,102
19486,60,2007,111
19487,10,2007,114
19488,60,2007,115
19488,11,2007,116
19485,60,2007,120
19485,11,2007,122
19488,65,2007,122
19485,65,2007,127
19486,65,2007,130
19487,60,2007,132
19487,11,2007,135
19487,65,2007,141
19486,11,2007,142
19488,86,2007,198
19485,86,2007,209
19486,86,2007,214
19487,86,2007,245
19485,10,2008,85
19487,10,2008,92
19486,10,2008,94
19488,10,2008,100
19488,11,2008,114
19488,60,2008,122
19486,60,2008,126
19487,11,2008,131
19488,65,2008,131
19485,11,2008,132
19485,60,2008,132
19486,65,2008,134
19487,60,2008,136
19485,65,2008,136
19486,11,2008,145
19487,65,2008,147
19488,86,2008,195
19485,86,2008,220
19487,86,2008,242
19486,86,2008,245
19485,10,2009,78
19488,10,2009,98
19486,10,2009,99
19488,11,2009,107
19487,10,2009,109
19486,60,2009,110
19488,60,2009,116
19485,60,2009,120
19488,65,2009,122
19487,11,2009,123
19485,65,2009,125
19486,11,2009,126
19486,65,2009,128
19487,60,2009,134
19485,11,2009,140
19487,65,2009,148
19486,86,2009,192
19488,86,2009,199
19485,86,2009,217
19487,86,2009,232
19485,10,2010,95
19486,10,2010,99
19488,10,2010,102
19488,11,2010,114
19487,10,2010,128
19488,60,2010,130
19485,60,2010,135
19487,11,2010,137
19487,60,2010,137
19488,65,2010,138
19485,11,2010,140
19485,65,2010,143
19486,60,2010,144
19486,11,2010,154
19487,65,2010,154
19486,65,2010,156
19488,86,2010,203
19486,86,2010,221
19485,86,2010,224
19487,86,2010,240
19485,10,2011,91
19486,10,2011,98
19488,10,2011,101
19487,10,2011,105
19488,11,2011,113
19488,60,2011,113
19487,11,2011,118
19485,60,2011,118
19488,65,2011,123
19486,60,2011,127
19485,65,2011,128
19485,11,2011,135
19486,65,2011,137
19487,60,2011,139
19486,11,2011,146
19487,65,2011,149
19488,86,2011,193
19486,86,2011,210
19485,86,2011,212
19487,86,2011,239
19486,10,2012,84
19485,10,2012,84
7352,10,2012,86
7282,10,2012,88
20382,10,2012,88
19485,11,2012,91
7352,11,2012,92
19488,10,2012,94
20382,11,2012,95
20312,10,2012,96
19486,11,2012,96
20385,10,2012,98
19488,11,2012,100
20311,10,2012,102
20384,10,2012,104
7282,11,2012,104
20311,11,2012,106
20385,11,2012,106
20383,10,2012,113
20313,10,2012,116
20384,11,2012,116
20312,11,2012,117
20383,11,2012,118
20313,11,2012,118
7352,60,2012,119
19488,60,2012,122
7282,60,2012,123
19485,60,2012,124
20385,60,2012,125
20384,60,2012,126
7282,65,2012,126
19486,60,2012,128
20382,60,2012,129
19488,65,2012,130
7352,65,2012,130
19485,65,2012,130
20311,60,2012,132
20382,65,2012,132
20385,65,2012,134
20384,65,2012,138
19486,65,2012,138
20311,65,2012,142
20383,60,2012,155
20383,65,2012,171
7352,86,2012,185
19488,86,2012,191
7282,86,2012,201
20385,86,2012,202
19486,86,2012,207
19485,86,2012,220
20311,86,2012,232
19485,10,2013,102
7352,10,2013,102
7282,10,2013,106
19486,10,2013,106
7352,11,2013,106
20382,10,2013,107
19485,11,2013,107
19488,10,2013,108
20385,10,2013,108
20312,10,2013,110
20311,10,2013,110
20384,10,2013,110
19486,11,2013,111
19488,11,2013,111
20313,10,2013,113
20385,11,2013,113
7282,11,2013,113
20382,11,2013,113
20311,11,2013,114
7352,60,2013,118
20384,11,2013,119
20383,10,2013,121
20312,11,2013,122
20313,11,2013,127
19488,60,2013,129
20385,60,2013,131
20311,60,2013,132
7352,65,2013,132
20383,11,2013,135
19485,60,2013,135
7282,60,2013,136
19488,65,2013,137
20311,65,2013,138
7282,65,2013,138
20385,65,2013,138
20382,60,2013,140
20384,60,2013,140
19485,65,2013,140
20382,65,2013,141
20383,60,2013,145
19486,60,2013,145
20312,60,2013,150
20384,65,2013,153
20312,65,2013,155
20383,65,2013,158
20313,60,2013,159
19486,65,2013,160
20313,65,2013,167
20382,86,2013,209
20385,86,2013,209
20384,86,2013,213
7352,86,2013,216
19485,86,2013,217
19488,86,2013,218
7282,86,2013,218
20312,86,2013,227
19486,86,2013,229
20311,86,2013,234
20313,86,2013,237
19485,10,2015,98
20311,10,2015,102
20385,10,2015,102
19485,11,2015,102
20382,10,2015,105
7282,10,2015,106
20383,10,2015,107
20312,10,2015,107
19486,11,2015,107
19486,10,2015,108
19488,10,2015,109
20311,11,2015,110
19488,11,2015,111
20385,11,2015,112
20382,11,2015,112
20312,11,2015,115
20313,10,2015,116
20384,10,2015,116
20383,11,2015,118
7282,11,2015,119
20384,11,2015,120
20313,11,2015,127
19488,60,2015,127
20311,60,2015,130
20384,60,2015,130
19486,60,2015,131
7282,60,2015,133
20385,60,2015,133
19488,65,2015,133
19485,60,2015,135
7282,65,2015,137
20382,60,2015,138
20311,65,2015,140
19485,65,2015,140
20385,65,2015,140
20382,65,2015,142
20384,65,2015,143
19486,65,2015,143
20312,60,2015,144
20312,65,2015,148
20383,60,2015,152
20383,65,2015,169
20313,60,2015,172
20313,65,2015,176
20385,86,2015,205
20382,86,2015,213
19485,86,2015,215
19488,86,2015,216
7282,86,2015,217
19486,86,2015,218
20311,86,2015,230
20313,86,2015,232
20384,86,2015,232
20383,86,2015,239
