PEP_ID,BBCH,YEAR,DAY
7230,60,1952,98
7230,60,1953,117
7230,11,1954,107
7230,60,1954,107
7230,11,1956,114
7230,60,1956,114
7230,60,1957,88
7230,60,1958,105
7230,60,1959,111
7230,60,1960,85
7230,60,1961,80
7230,60,1962,113
7230,60,1963,101
7230,60,1964,103
7230,60,1965,116
7230,60,1966,107
7230,60,1967,108
7230,60,1968,111
7230,11,1969,110
7230,60,1969,117
7230,60,1972,105
7230,11,1972,106
7230,11,1973,112
7230,60,1973,112
7230,11,1974,118
7230,60,1975,117
7230,11,1976,115
7230,60,1976,126
7230,11,1977,96
7230,60,1977,96
7230,11,1980,116
7230,11,1981,111
7230,11,1982,111
7230,60,1982,111
7230,11,1983,115
7230,60,1983,115
7230,11,1984,114
7230,60,1984,121
7230,11,1985,100
7230,60,1985,112
7230,60,1986,115
7230,11,1987,107
7230,60,1987,114
7230,11,1988,107
7230,60,1988,112
7230,11,1989,76
7230,60,1989,86
7230,11,1990,76
7230,60,1990,81
7230,11,1991,94
7230,60,1991,105
7230,11,1992,106
7230,60,1992,118
7230,11,1993,110
7230,60,1993,125
7230,11,1994,78
7230,60,1994,107
7230,11,1995,87
7230,60,1995,115
7230,11,1996,111
7230,60,1996,131
7230,11,1997,80
7230,60,1997,96
7230,11,1998,79
7230,60,1998,101
7230,11,1999,85
7230,60,1999,95
7230,11,2000,89
7230,60,2000,91
