PEP_ID,BBCH,YEAR,DAY
7230,11,1953,113
7230,60,1953,154
7230,11,1954,118
7230,60,1954,165
7230,11,1955,111
7230,60,1955,149
7230,60,1956,146
7230,60,1957,149
7230,60,1958,146
7230,60,1959,140
7230,60,1960,151
7230,60,1961,142
7230,60,1963,159
7230,60,1964,151
7230,60,1965,158
7230,60,1966,164
7230,60,1967,159
7230,60,1968,164
7230,11,1969,115
7230,60,1969,172
7230,60,1972,181
7230,11,1973,118
7230,60,1973,161
7230,11,1974,110
7230,60,1974,172
7230,60,1975,166
7230,60,1976,161
7230,60,1977,156
7230,11,1980,115
7230,60,1980,175
7230,11,1981,106
7230,60,1981,171
7230,11,1982,124
7230,60,1982,169
7230,11,1983,109
7230,60,1983,162
7230,11,1984,114
7230,60,1984,174
7230,60,1985,173
7230,11,1986,119
7230,60,1986,161
7230,11,1987,107
7230,60,1987,176
7230,11,1988,106
7230,60,1988,176
7230,11,1989,90
7230,60,1989,171
7230,11,1990,114
7230,60,1990,175
7230,11,1991,89
7230,60,1991,175
7230,11,1992,109
7230,60,1992,181
7230,11,1993,108
7230,60,1993,176
7230,11,1994,107
7230,60,1994,177
7230,11,1995,100
7230,60,1995,170
7230,11,1996,111
7230,60,1996,171
7230,11,1997,88
7230,60,1997,174
7230,60,1998,175
7230,11,1999,85
7230,60,1999,149
7230,11,2000,102
7230,60,2000,168
