PEP_ID,BBCH,YEAR,DAY
8015,60,1960,191
8015,94,1960,270
8015,97,1960,285
7195,60,1961,161
8015,60,1961,182
7201,60,1961,183
8016,60,1961,183
7211,60,1961,184
7211,94,1961,236
7201,94,1961,253
8015,94,1961,256
7195,94,1961,257
8016,94,1961,258
7201,97,1961,271
8016,97,1961,283
7211,97,1961,285
8015,97,1961,286
7195,97,1961,336
7201,60,1962,178
7215,60,1962,196
7192,60,1962,197
8015,60,1962,200
7202,60,1962,203
7211,60,1962,204
8016,60,1962,204
8015,94,1962,255
7215,94,1962,265
7201,94,1962,267
7215,97,1962,274
8015,97,1962,288
7201,97,1962,295
7211,97,1962,301
8016,60,1963,178
7195,60,1963,180
8015,60,1963,181
7192,60,1963,183
7201,60,1963,183
7202,60,1963,183
7215,60,1963,183
7211,60,1963,185
7211,94,1963,255
8015,94,1963,261
7202,94,1963,273
7195,94,1963,275
8015,97,1963,284
7211,97,1963,285
7195,97,1963,300
8016,97,1963,302
7204,60,1964,179
8016,60,1964,180
7195,60,1964,182
7201,60,1964,184
7211,60,1964,184
7202,60,1964,187
7208,60,1964,191
8015,60,1964,193
7204,94,1964,234
8015,94,1964,244
7211,94,1964,251
7204,97,1964,265
8016,94,1964,272
7202,94,1964,277
7211,97,1964,277
7208,94,1964,283
8015,97,1964,285
7202,97,1964,293
8016,97,1964,295
7208,97,1964,301
7195,60,1965,196
7204,60,1965,199
8015,60,1965,199
7202,60,1965,201
8016,60,1965,201
7201,60,1965,202
7211,60,1965,203
7208,60,1965,205
7211,94,1965,257
8015,94,1965,263
7195,94,1965,268
7204,94,1965,269
7201,94,1965,271
7195,97,1965,280
7211,97,1965,282
7204,97,1965,285
7201,97,1965,293
8015,97,1965,301
7201,60,1966,176
8015,60,1966,178
7208,60,1966,184
7202,60,1966,185
7204,60,1966,185
7211,60,1966,185
7195,60,1966,210
7201,94,1966,247
8015,94,1966,258
8015,97,1966,283
7192,60,1967,179
8015,60,1967,179
7193,60,1967,182
8016,60,1967,182
7195,60,1967,184
7202,60,1967,187
7211,60,1967,187
7201,60,1967,189
7208,60,1967,193
7205,60,1967,196
7205,94,1967,215
7208,94,1967,253
8015,94,1967,259
8016,94,1967,263
7205,97,1967,274
7192,94,1967,278
7193,94,1967,281
7211,97,1967,281
7208,97,1967,283
8016,97,1967,283
7201,94,1967,285
8015,97,1967,285
7193,97,1967,296
7191,60,1968,181
7193,60,1968,181
7201,60,1968,182
8015,60,1968,182
7208,60,1968,184
7202,60,1968,185
7204,60,1968,185
7205,60,1968,185
8016,60,1968,185
7211,60,1968,187
7205,94,1968,219
7208,94,1968,243
8016,94,1968,265
7201,94,1968,266
7193,94,1968,268
8015,94,1968,271
7204,94,1968,279
7193,97,1968,283
8016,97,1968,283
8015,97,1968,287
7211,97,1968,289
7205,97,1968,290
7201,97,1968,293
7204,97,1968,293
7192,60,1969,170
7193,60,1969,184
7213,60,1969,184
7204,60,1969,185
8016,60,1969,187
7191,60,1969,190
7208,60,1969,191
8015,60,1969,192
7201,60,1969,194
7202,60,1969,195
7194,60,1969,197
7195,60,1969,197
7211,60,1969,198
7205,60,1969,199
7213,94,1969,265
7201,94,1969,271
7204,94,1969,273
7208,94,1969,273
8015,94,1969,274
7201,97,1969,287
7211,97,1969,288
7213,97,1969,290
7205,97,1969,293
8015,97,1969,294
7204,97,1969,299
7208,97,1969,303
7204,60,1970,183
7188,60,1970,184
7192,60,1970,188
7201,60,1970,188
7195,60,1970,189
7207,60,1970,189
8016,60,1970,189
7193,60,1970,190
7202,60,1970,190
7205,60,1970,190
7208,60,1970,191
7211,60,1970,191
7213,60,1970,191
8015,60,1970,191
7213,94,1970,256
8015,94,1970,259
7204,94,1970,271
7201,94,1970,274
7188,94,1970,276
7208,94,1970,277
7213,97,1970,280
7192,97,1970,287
7204,97,1970,287
7211,97,1970,287
7201,97,1970,289
8015,97,1970,292
7208,97,1970,293
7188,97,1970,298
8015,60,1971,179
7192,60,1971,182
7201,60,1971,182
7204,60,1971,182
7188,60,1971,183
7205,60,1971,184
7207,60,1971,184
7212,60,1971,184
7202,60,1971,185
7208,60,1971,185
7191,60,1971,186
7194,60,1971,187
7195,60,1971,187
8016,60,1971,187
7211,60,1971,189
7213,60,1971,191
7193,60,1971,193
8015,94,1971,244
7213,94,1971,252
7188,94,1971,255
8016,94,1971,255
7201,94,1971,261
7192,94,1971,263
7195,94,1971,263
7208,94,1971,263
7204,94,1971,265
7213,97,1971,270
7193,94,1971,271
7211,97,1971,277
8016,97,1971,278
7188,97,1971,282
7204,97,1971,283
7193,97,1971,285
7194,97,1971,286
7201,97,1971,288
7195,97,1971,289
8015,97,1971,291
7192,97,1971,296
7192,60,1972,165
8015,60,1972,177
7188,60,1972,179
7194,60,1972,182
7191,60,1972,183
7201,60,1972,183
7211,60,1972,183
7204,60,1972,184
7205,60,1972,184
7208,60,1972,186
8016,60,1972,187
7202,60,1972,188
7213,60,1972,189
7193,60,1972,190
7204,94,1972,253
7213,94,1972,254
8015,94,1972,258
7188,94,1972,263
7192,94,1972,263
7208,94,1972,268
7213,97,1972,272
7201,94,1972,276
7204,97,1972,288
7188,97,1972,289
7201,97,1972,289
7208,97,1972,298
8015,97,1972,300
7192,97,1972,301
7192,60,1973,165
7188,60,1973,180
7201,60,1973,181
7211,60,1973,182
7202,60,1973,183
7205,60,1973,183
7208,60,1973,183
7213,60,1973,184
8015,60,1973,184
7191,60,1973,185
7207,60,1973,185
7212,60,1973,185
7194,60,1973,186
7195,60,1973,186
7204,60,1973,187
8016,60,1973,187
7196,94,1973,235
7213,94,1973,250
7212,94,1973,252
7204,94,1973,253
7188,94,1973,262
7201,94,1973,262
7208,94,1973,263
7192,94,1973,269
8016,94,1973,269
8015,94,1973,270
