PEP_ID,BBCH,YEAR,DAY
6869,11,1961,89
6875,11,1961,94
6864,11,1961,102
6863,11,1961,104
6874,11,1961,106
6873,11,1961,107
6866,11,1961,109
6870,11,1961,109
6868,11,1961,110
6872,11,1961,110
6865,11,1961,111
6869,60,1961,158
6866,60,1961,162
6873,60,1961,162
6863,60,1961,163
6864,60,1961,168
6865,60,1961,168
6868,60,1961,169
6875,60,1961,172
6870,60,1961,173
6874,60,1961,175
6872,60,1961,178
6865,94,1961,269
6868,94,1961,272
6863,94,1961,276
6864,94,1961,286
6870,94,1961,286
6872,94,1961,286
6866,94,1961,291
6875,94,1961,292
6874,94,1961,295
6869,94,1961,299
6873,94,1961,300
6873,11,1962,114
6865,11,1962,115
6869,11,1962,115
6864,11,1962,117
6863,11,1962,122
6866,11,1962,122
6868,11,1962,125
6875,11,1962,125
6870,11,1962,127
6872,11,1962,128
6874,11,1962,128
6863,60,1962,169
6866,60,1962,172
6869,60,1962,183
6864,60,1962,184
6865,60,1962,185
6873,60,1962,186
6868,60,1962,190
6870,60,1962,192
6875,60,1962,193
6872,60,1962,195
6874,60,1962,199
6868,94,1962,265
6864,94,1962,277
6872,94,1962,277
6866,94,1962,278
6875,94,1962,279
6870,94,1962,280
6865,94,1962,282
6863,94,1962,286
6874,94,1962,295
6873,94,1962,297
6869,94,1962,311
6869,11,1963,110
6873,11,1963,113
6864,11,1963,115
6874,11,1963,115
6875,11,1963,115
6863,11,1963,116
6865,11,1963,118
6866,11,1963,118
6868,11,1963,119
6870,11,1963,121
6872,11,1963,138
6869,60,1963,164
6874,60,1963,173
6864,60,1963,174
6866,60,1963,175
6873,60,1963,176
6868,60,1963,177
6870,60,1963,178
6875,60,1963,179
6863,60,1963,181
6865,60,1963,181
6872,60,1963,194
6872,94,1963,269
6868,94,1963,271
6870,94,1963,274
6866,94,1963,275
6869,94,1963,275
6863,94,1963,281
6864,94,1963,283
6875,94,1963,288
6865,94,1963,292
6873,94,1963,294
6874,94,1963,300
6869,11,1964,111
6864,11,1964,113
6865,11,1964,116
6873,11,1964,117
6863,11,1964,119
6868,11,1964,120
6875,11,1964,120
6866,11,1964,125
6870,11,1964,125
6874,11,1964,129
6872,11,1964,137
6869,60,1964,167
6863,60,1964,172
6870,60,1964,172
6868,60,1964,174
6873,60,1964,175
6865,60,1964,176
6866,60,1964,176
6874,60,1964,177
6875,60,1964,178
6864,60,1964,181
6872,60,1964,191
6870,94,1964,275
6863,94,1964,279
6865,94,1964,279
6875,94,1964,281
6873,94,1964,282
6864,94,1964,284
6872,94,1964,285
6868,94,1964,286
6869,94,1964,289
6866,94,1964,292
6874,94,1964,292
6869,11,1965,110
6864,11,1965,118
6873,11,1965,120
6875,11,1965,122
6868,11,1965,124
6866,11,1965,125
6870,11,1965,125
6874,11,1965,125
6865,11,1965,126
6863,11,1965,127
6872,11,1965,132
6869,60,1965,173
6866,60,1965,178
6875,60,1965,178
6873,60,1965,179
6863,60,1965,181
6868,60,1965,182
6870,60,1965,182
6864,60,1965,183
6865,60,1965,186
6874,60,1965,189
6872,60,1965,199
6873,94,1965,285
6875,94,1965,288
6863,94,1965,291
6874,94,1965,291
6864,94,1965,293
6866,94,1965,293
6865,94,1965,296
6869,94,1965,296
6870,94,1965,299
6872,94,1965,299
6868,94,1965,301
6870,11,1966,106
6869,11,1966,108
6873,11,1966,108
6864,11,1966,111
6865,11,1966,111
6875,11,1966,114
6868,11,1966,115
6863,11,1966,117
6866,11,1966,117
6874,11,1966,118
6872,11,1966,123
6863,60,1966,161
6869,60,1966,161
6870,60,1966,163
6868,60,1966,167
6864,60,1966,170
6875,60,1966,171
6866,60,1966,172
6872,60,1966,173
6865,60,1966,174
6873,60,1966,175
6874,60,1966,175
6868,94,1966,280
6872,94,1966,281
6873,94,1966,283
6875,94,1966,287
6874,94,1966,291
6866,94,1966,294
6864,94,1966,296
6870,94,1966,296
6863,94,1966,303
6865,94,1966,303
6869,94,1966,311
6873,11,1967,105
6869,11,1967,108
6864,11,1967,110
6865,11,1967,111
6875,11,1967,113
6870,11,1967,115
6868,11,1967,118
6874,11,1967,118
6866,11,1967,119
6863,11,1967,122
6872,11,1967,134
6869,60,1967,169
6864,60,1967,171
6863,60,1967,173
6873,60,1967,173
6865,60,1967,176
6868,60,1967,176
6870,60,1967,176
6875,60,1967,176
6866,60,1967,177
6874,60,1967,178
6872,60,1967,192
6872,94,1967,283
6875,94,1967,290
6870,94,1967,292
6863,94,1967,298
6864,94,1967,298
6866,94,1967,298
6868,94,1967,298
6873,94,1967,298
6869,94,1967,299
6874,94,1967,300
6865,94,1967,302
6869,11,1968,102
6870,11,1968,106
6873,11,1968,106
6864,11,1968,107
6868,11,1968,109
6863,11,1968,110
6865,11,1968,110
6866,11,1968,111
6874,11,1968,113
6875,11,1968,120
6872,11,1968,126
6869,60,1968,162
6874,60,1968,166
6868,60,1968,167
6875,60,1968,167
6864,60,1968,168
6873,60,1968,168
6870,60,1968,171
6863,60,1968,173
6866,60,1968,173
6865,60,1968,174
6872,60,1968,187
6863,94,1968,278
6872,94,1968,281
6864,94,1968,282
6865,94,1968,282
6868,94,1968,282
6866,94,1968,283
6873,94,1968,286
6869,94,1968,287
6875,94,1968,287
6870,94,1968,290
6874,94,1968,295
6869,11,1969,115
6863,11,1969,116
6873,11,1969,116
6868,11,1969,118
6874,11,1969,118
6864,11,1969,119
6865,11,1969,120
6866,11,1969,120
6870,11,1969,120
6875,11,1969,120
6869,60,1969,165
6864,60,1969,169
6870,60,1969,171
6866,60,1969,172
6873,60,1969,172
6874,60,1969,173
6868,60,1969,175
6863,60,1969,176
6875,60,1969,179
6865,60,1969,180
6863,94,1969,287
6875,94,1969,288
6864,94,1969,291
6865,94,1969,292
6870,94,1969,292
6866,94,1969,293
6874,94,1969,296
6868,94,1969,300
6873,94,1969,300
6869,94,1969,306
6864,11,1970,117
6873,11,1970,117
6870,11,1970,119
6869,11,1970,120
6868,11,1970,124
6863,11,1970,126
6866,11,1970,126
