PEP_ID,BBCH,YEAR,DAY
20451,86,1951,243
20452,65,1953,186
20452,95,1953,323
20452,11,1954,111
20451,11,1954,139
20451,95,1954,282
20452,11,1955,111
20452,60,1955,176
20452,65,1955,188
20452,95,1955,294
20451,11,1956,131
20452,11,1961,114
20452,60,1961,170
20452,95,1961,287
20449,11,1962,111
20452,60,1962,113
20449,60,1962,177
20449,65,1962,182
20451,94,1962,257
20450,11,1963,104
20449,11,1963,118
20451,11,1963,127
20450,60,1963,170
20452,60,1963,173
20450,65,1963,175
20449,60,1963,177
20452,65,1963,179
20449,65,1963,181
20452,94,1963,270
20449,94,1963,288
20452,95,1963,297
20449,95,1963,301
20450,11,1964,103
20452,11,1964,120
20451,11,1964,130
20450,60,1964,172
20452,60,1964,177
20450,65,1964,177
20451,60,1964,179
20451,65,1964,185
20451,94,1964,257
20452,94,1964,284
20452,95,1964,297
20451,95,1964,302
20449,11,1965,125
20452,11,1965,129
20450,60,1965,160
20450,65,1965,165
20449,60,1965,183
20449,65,1965,189
20449,94,1965,281
20452,94,1965,282
20452,95,1965,295
20449,95,1965,298
20452,11,1966,110
20449,11,1966,111
20451,11,1966,122
20452,60,1966,169
20452,65,1966,176
20449,60,1966,181
20449,65,1966,186
20452,94,1966,277
20451,94,1966,282
20449,94,1966,289
20452,95,1966,292
20451,95,1966,305
20449,95,1966,313
20450,11,1967,99
20452,11,1967,107
20449,11,1967,109
20452,60,1967,165
20450,60,1967,168
20452,65,1967,173
20450,65,1967,175
20449,94,1967,289
20449,95,1967,307
20449,11,1968,110
20451,11,1968,116
20449,60,1968,175
20449,65,1968,178
20451,94,1968,283
20449,94,1968,288
20449,95,1968,302
20451,95,1968,306
20450,11,1969,94
20450,60,1969,104
20449,11,1969,117
20449,60,1969,118
20451,11,1969,122
20452,11,1969,123
20450,65,1969,170
20452,60,1969,182
20449,65,1969,184
20452,65,1969,190
20451,60,1969,204
20451,65,1969,205
20452,94,1969,282
20449,94,1969,286
20452,95,1969,290
20449,11,1970,116
20451,11,1970,131
20452,60,1970,186
20449,60,1970,188
20452,65,1970,192
20449,65,1970,192
20452,94,1970,273
20452,95,1970,289
20449,11,1971,119
20449,60,1971,178
20452,60,1971,184
20449,65,1971,184
20452,65,1971,190
20452,94,1971,276
20449,94,1971,284
20452,95,1971,291
20449,95,1971,301
20449,11,1972,106
20452,11,1972,121
20449,60,1972,174
20449,65,1972,180
20449,94,1972,269
20452,94,1972,280
20449,95,1972,286
20452,95,1972,298
20452,11,1973,118
20449,11,1973,124
20449,60,1973,182
20452,60,1973,183
20449,65,1973,188
20452,65,1973,192
20452,94,1973,280
20452,95,1973,287
20449,94,1973,288
20449,95,1973,305
20449,11,1974,111
20452,11,1974,116
20449,60,1974,183
20452,60,1974,184
20449,65,1974,190
20452,65,1974,194
20452,94,1974,277
20449,94,1974,285
20452,95,1974,288
20449,95,1974,300
20451,11,1975,111
20452,11,1975,113
20449,11,1975,118
20452,60,1975,141
20452,65,1975,170
20449,60,1975,181
20449,65,1975,190
20449,94,1975,297
20449,95,1975,307
20451,11,1976,128
20449,60,1976,190
20451,60,1976,197
20449,65,1976,197
20451,65,1976,200
20449,94,1976,273
20451,94,1976,279
20452,94,1976,289
20452,95,1976,299
20451,95,1976,304
20452,11,1977,94
20449,11,1977,98
20451,11,1977,99
20449,60,1977,174
20452,60,1977,175
20449,65,1977,181
20452,65,1977,186
20451,60,1977,189
20451,65,1977,196
20451,94,1977,267
20452,94,1977,267
20452,95,1977,282
20451,95,1977,282
20451,11,1978,107
20451,60,1978,111
20449,11,1978,113
20452,11,1978,119
20451,65,1978,183
20449,60,1978,197
20449,65,1978,204
20451,94,1978,284
20449,94,1978,292
20451,95,1978,297
20449,95,1978,308
20452,11,1979,106
20449,11,1979,118
20451,11,1979,121
20449,60,1979,149
20451,60,1979,152
20452,60,1979,160
20451,65,1979,167
20452,65,1979,178
20451,94,1979,257
20449,94,1979,281
20452,94,1979,283
20451,95,1979,290
20452,95,1979,300
20449,95,1979,311
20449,11,1980,124
20449,60,1980,190
20449,65,1980,198
20449,94,1980,289
20449,95,1980,317
20449,11,1981,102
20449,60,1981,177
20449,65,1981,183
20449,94,1981,297
20449,95,1981,306
20449,11,1983,113
20451,11,1983,125
20449,60,1983,157
20449,65,1983,168
20451,60,1983,178
20451,65,1983,182
20451,94,1983,283
20449,94,1983,290
20449,95,1983,305
20451,95,1983,308
20449,11,1984,125
20451,11,1984,136
20449,60,1984,163
20449,65,1984,202
20451,65,1984,210
20451,94,1984,291
20449,94,1984,299
20451,95,1984,302
20449,95,1984,311
20451,11,1985,133
20451,60,1985,176
20451,65,1985,184
20451,94,1985,279
20451,95,1985,297
20449,11,1987,99
20451,11,1987,138
20449,60,1987,181
20451,60,1987,195
20449,65,1987,195
20451,65,1987,200
20451,94,1987,287
20451,95,1987,304
20449,95,1987,313
20449,11,1988,119
20449,60,1988,180
20449,65,1988,189
20449,95,1988,311
20452,11,1989,99
20449,11,1989,108
20451,11,1989,113
20452,60,1989,170
20452,65,1989,178
20451,60,1989,186
20449,60,1989,190
20449,65,1989,195
20451,65,1989,198
20452,94,1989,282
20451,94,1989,285
20449,94,1989,287
20452,95,1989,292
20451,95,1989,310
20449,95,1989,333
20449,11,1990,109
20452,11,1990,115
20452,60,1990,174
20449,60,1990,175
20452,65,1990,177
20449,65,1990,184
20452,94,1990,257
20449,94,1990,273
20449,95,1990,302
20452,95,1990,318
20452,11,1993,108
20449,11,1993,117
20451,11,1993,134
20449,60,1993,149
20449,65,1993,160
20451,60,1993,181
20452,60,1993,181
20452,65,1993,187
20451,65,1993,195
20452,94,1993,284
20449,94,1993,292
20452,95,1993,293
20449,95,1993,313
20449,11,1997,127
20449,60,1997,192
20449,65,1997,199
20449,94,1997,270
20449,95,1997,298
20449,11,1998,114
20449,60,1998,114
20449,65,1998,190
20449,94,1998,292
20449,95,1998,302
20449,11,2001,99
20449,65,2001,129
20449,86,2001,170
20451,86,2001,221
20449,94,2001,272
20451,94,2001,292
20451,11,2002,120
20451,60,2002,149
20451,65,2002,160
20451,86,2002,231
20451,94,2002,292
20451,95,2002,304
20452,11,2004,106
20451,11,2004,121
20449,11,2004,126
20449,60,2004,154
20449,65,2004,159
20452,60,2004,177
20452,65,2004,183
20451,60,2004,192
20451,65,2004,202
20450,94,2004,275
20451,94,2004,294
20452,94,2004,294
20451,95,2004,301
20450,95,2004,306
20452,95,2004,315
20452,11,2005,114
20451,11,2005,124
20452,60,2005,175
20452,65,2005,180
20451,60,2005,190
20451,65,2005,200
20452,94,2005,267
20452,95,2005,287
20451,94,2005,290
20451,95,2005,304
20452,11,2006,109
20449,11,2006,114
20451,11,2006,120
20449,60,2006,168
20449,65,2006,173
20452,60,2006,175
20451,60,2006,185
20452,65,2006,185
20451,65,2006,195
20449,94,2006,282
20451,94,2006,292
20449,95,2006,292
20452,94,2006,297
20451,95,2006,297
20452,95,2006,302
20452,11,2007,104
20451,11,2007,107
20452,60,2007,175
20452,65,2007,178
20451,60,2007,185
20451,65,2007,195
20451,11,2008,109
20452,11,2008,111
20449,11,2008,116
20449,60,2008,167
20449,65,2008,174
20452,60,2008,177
20452,65,2008,183
20451,60,2008,187
20451,65,2008,197
20449,94,2008,279
20451,94,2008,284
20452,94,2008,289
20449,95,2008,289
20452,95,2008,306
20450,11,2009,104
20452,11,2009,109
20449,11,2009,114
20451,11,2009,119
20449,60,2009,165
20449,65,2009,168
20452,60,2009,170
20452,65,2009,175
20451,60,2009,190
20451,65,2009,200
20451,94,2009,282
20451,95,2009,291
20452,94,2009,297
20452,95,2009,308
20452,11,2010,109
20449,11,2010,109
20451,11,2010,124
20449,60,2010,170
20449,65,2010,175
20452,60,2010,181
20452,65,2010,185
20451,60,2010,205
20451,65,2010,212
20449,94,2010,277
20452,94,2010,282
20449,95,2010,287
20451,94,2010,292
20452,95,2010,292
20451,95,2010,323
20451,11,2011,107
20452,11,2011,108
20449,11,2011,113
20449,60,2011,168
20452,60,2011,174
20449,65,2011,175
20452,65,2011,179
20451,60,2011,199
20451,65,2011,220
20451,86,2011,251
20451,94,2011,291
20452,94,2011,297
20451,95,2011,301
20452,95,2011,308
20452,11,2012,106
20449,11,2012,116
20451,11,2012,123
20449,60,2012,167
20452,60,2012,183
20452,65,2012,187
20451,60,2012,197
20451,65,2012,207
20452,94,2012,310
20452,95,2012,320
20448,60,2014,139
20449,60,2014,169
20450,60,2014,171
20448,86,2014,171
20449,65,2014,173
20450,65,2014,176
20452,60,2014,182
20452,65,2014,186
20451,60,2014,201
20451,65,2014,213
20450,96,2014,275
20451,96,2014,293
20448,96,2014,298
20451,97,2014,305
20450,97,2014,306
20452,96,2014,309
20448,97,2014,312
20452,97,2014,314
