PEP_ID,BBCH,YEAR,DAY
20586,60,1961,152
20586,65,1961,166
20585,60,1961,170
20585,65,1961,176
20586,60,1962,161
20585,60,1962,171
20583,60,1962,176
20585,65,1962,179
20583,65,1962,179
20586,65,1962,182
20582,60,1962,185
20582,65,1962,187
20586,60,1963,152
20583,60,1963,180
20582,60,1963,187
20586,60,1964,156
20586,65,1964,161
20585,60,1964,173
20585,65,1964,177
20583,60,1964,179
20583,65,1964,181
20582,60,1964,183
20583,60,1965,183
20583,65,1965,186
20583,60,1966,176
20583,65,1966,180
20586,60,1967,173
20585,60,1967,176
20585,65,1967,178
20583,60,1967,179
20586,65,1967,179
20583,65,1967,183
20586,60,1968,148
20586,65,1968,155
20582,60,1968,157
20582,65,1968,162
20585,60,1968,174
20585,65,1968,182
20584,60,1969,135
20584,65,1969,140
20586,60,1969,162
20586,65,1969,166
20585,60,1969,169
20585,65,1969,171
20582,60,1969,183
20582,65,1969,188
20586,60,1970,147
20586,65,1970,159
20582,60,1970,182
20582,65,1970,186
20584,60,1971,150
20584,65,1971,156
20586,60,1971,164
20586,65,1971,171
20584,60,1972,153
20586,60,1972,157
20584,65,1972,159
20586,65,1972,164
20582,60,1972,171
20582,65,1972,179
20584,60,1973,161
20584,65,1973,166
20586,60,1973,171
20586,65,1973,178
20584,60,1974,156
20586,60,1974,160
20584,65,1974,163
20586,65,1974,167
20585,60,1974,179
20582,60,1974,182
20585,65,1974,184
20582,65,1974,186
20584,60,1975,150
20584,65,1975,158
20586,60,1975,167
20586,65,1975,172
20582,60,1975,178
20582,65,1975,184
20584,60,1976,160
20584,65,1976,164
20586,60,1976,165
20586,65,1976,171
20582,60,1976,183
20582,65,1976,192
20584,60,1977,149
20584,65,1977,155
20586,60,1977,158
20586,65,1977,167
20582,60,1977,171
20582,65,1977,177
20584,60,1978,156
20586,60,1978,158
20583,60,1978,161
20584,65,1978,161
20586,65,1978,164
20583,65,1978,166
20582,60,1978,175
20582,65,1978,181
20584,60,1979,149
20584,65,1979,154
20583,60,1979,158
20583,65,1979,164
20582,60,1979,169
20582,65,1979,176
20584,60,1980,152
20584,65,1980,158
20586,60,1980,161
20583,60,1980,166
20585,60,1980,167
20586,65,1980,167
20583,65,1980,170
20585,65,1980,174
20582,60,1980,188
20582,65,1980,193
20583,60,1981,152
20586,60,1981,157
20583,65,1981,157
20584,60,1981,158
20586,65,1981,162
20584,65,1981,162
20585,60,1981,169
20582,60,1981,174
20585,65,1981,175
20582,65,1981,179
20586,60,1982,152
20583,60,1982,157
20586,65,1982,158
20584,60,1982,160
20585,60,1982,161
20583,65,1982,165
20585,65,1982,166
20584,65,1982,166
20582,60,1982,179
20582,65,1982,183
20586,60,1983,145
20584,60,1983,148
20586,65,1983,152
20585,60,1983,155
20584,65,1983,156
20583,60,1983,158
20585,65,1983,160
20583,65,1983,164
20582,60,1983,176
20582,65,1983,181
20583,60,1984,161
20586,60,1984,161
20584,60,1984,163
20585,60,1984,166
20583,65,1984,166
20586,65,1984,166
20584,65,1984,168
20585,65,1984,169
20582,60,1984,180
20582,65,1984,184
20586,60,1985,148
20586,65,1985,154
20583,60,1985,155
20584,60,1985,157
20584,65,1985,160
20583,65,1985,161
20582,60,1985,171
20582,65,1985,177
20585,60,1986,145
20586,60,1986,146
20584,60,1986,148
20586,65,1986,150
20585,65,1986,153
20584,65,1986,154
20583,60,1986,155
20583,65,1986,164
20582,60,1986,166
20582,65,1986,176
20584,60,1987,156
20584,65,1987,161
20586,60,1987,165
20585,60,1987,166
20583,60,1987,166
20586,65,1987,169
20585,65,1987,171
20583,65,1987,171
20584,60,1988,148
20584,65,1988,152
20583,60,1988,161
20583,65,1988,166
20585,60,1988,170
20586,60,1988,175
20585,65,1988,180
20586,65,1988,182
20582,60,1988,183
20582,65,1988,188
20585,60,1989,144
20584,60,1989,146
20585,65,1989,148
20584,65,1989,150
20586,60,1989,152
20586,65,1989,158
20583,60,1989,166
20582,60,1989,171
20583,65,1989,176
20582,65,1989,176
20584,60,1990,142
20583,60,1990,144
20586,60,1990,148
20583,65,1990,148
20584,65,1990,148
20586,65,1990,158
20585,60,1990,161
20582,60,1990,171
20585,65,1990,173
20582,65,1990,178
20584,60,1991,153
20584,65,1991,159
20583,60,1991,161
20585,60,1991,161
20586,60,1991,163
20586,65,1991,168
20585,65,1991,169
20583,65,1991,171
20582,60,1991,187
20582,65,1991,196
20585,60,1992,130
20584,60,1992,146
20584,65,1992,154
20586,60,1992,156
20583,60,1992,161
20586,65,1992,163
20585,65,1992,165
20583,65,1992,171
20582,60,1992,184
20582,65,1992,188
20585,60,1993,147
20586,60,1993,154
20585,65,1993,156
20584,60,1993,157
20586,65,1993,159
20584,65,1993,162
20583,60,1993,166
20582,60,1993,174
20583,65,1993,176
20582,65,1993,181
20586,60,1994,142
20584,60,1994,149
20586,65,1994,154
20584,65,1994,154
20585,60,1994,159
20585,65,1994,164
20583,60,1994,166
20582,60,1994,172
20583,65,1994,176
20582,65,1994,178
20586,60,1995,154
20583,60,1995,159
20586,65,1995,159
20584,60,1995,161
20585,60,1995,162
20583,65,1995,165
20584,65,1995,165
20585,65,1995,169
20582,60,1995,172
20582,65,1995,177
20585,60,1997,161
20586,60,1997,163
20583,60,1997,164
20584,60,1997,166
20585,65,1997,167
20586,65,1997,170
20583,65,1997,171
20584,65,1997,171
20582,60,1997,175
20582,65,1997,179
20586,60,1998,154
